"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"H3VS","2015-09-01T06:00:00","22.90","-108.50",,,"1","4","0","0","2","4",,"1","0","210","3","31",,,,"10109",,,"0","310","0","290","284","3","320",,,,"A",,,,,,,,"239","28","992","114","5","1","2","1","111111","11AAA111118AAA","1",,,,,"4"
"H3VS","2015-09-01T09:00:00","23.00","-107.60",,,"1","4","0","0","2","3",,"1","0","220","3","41","98",,"0","10110","4","0","0","300","0","270","260","3","330",,,,"A",,,"2","3",,,,"239","37","992","114","5","1","2","1","311111","111A11111181A1","1","0",,,,"4"
"D5HI9","2015-09-01T12:00:00","20.40","-107.30",,,"1","4","0","0","3","4","1","1","0","30","3","51","98","2","1","10100","4","0","0","284","0","271","267","1","309","5","4","2","4","6","2","8","1",,,,"239","7","992","114","5","1","2","1","111111","111111111111A1","1","1",,,,"4"
"V7ZG7","2015-09-01T12:00:00","20.10","-106.90",,,"1","4","0","0","7","3",,"1","0","250","4","31","98","3","0","10100","4","0","0","290","0","260","249","3","310","2","2","0","9","3","A","3","0","18","10","2","239","6","992","114","5","1","2","1","111111","11111111111111","1","0",,,,"4"
"VQUQ4","2015-09-01T12:00:00","20.20","-107.30",,,"1","4","0","0","7","3",,"1","0","330","4","15","98","3","0","10120",,,"0","260","0","225","207",,,"3",,"5","5","3","1","1","1","29","9","2","239","7","992","114","5","1","2","1","F11111","111111111A111A","1","0",,,,"4"
"V7ZG7","2015-09-01T19:00:00","21.10","-108.40",,,"1","4","0","0","7","3",,"1","0","200","4","26","98","2","0","10120","4","0","0","310","0","285","277","3","309","3",,"2","4","A","A","0","0","18","3","2","239","18","992","114","5","1","2","2","111111","11111111111111","1","0",,,,"4"
"VQUQ4","2015-09-01T21:00:00","21.40","-109.10",,,"1","4","0","0","7","3",,"1","0","200","4","21","98","2","0","10120",,,"0","295","0","250","230",,,"3","2","3","5","A","5","2","0","20","12","3","239","19","992","114","5","1","2","2","F11111","111111111A111A","1","0",,,,"4"
"VQUQ4","2015-09-02T00:00:00","21.80","-109.70",,,"1","4","0","0","7","3",,"1","0","200","4","21","98","3","0","10080",,,"0","290","0","230","199",,,"3",,"1","6","4","1","3","1","32","5","2","239","19","992","114","5","1","2","2","F11112","111111111A111A","1","0",,,,"4"
"9V7954","2015-09-02T06:00:00","22.10","-109.80",,,"1","4","0","0","3","4",,"1","0","150","4","31","98","2","2","10130","4","0","0","270","0","250","241","1","260","7","7","7","3","A","A","8","1",,,,"239","29","992","114","5","1","2","1","111111","111111111111A1","1","2",,,,"4"
"H3VS","2015-09-02T09:00:00","20.90","-105.90",,,"1","4","0","0","4","3",,"1","0","80","3","77","98",,"0","10107","4","0","0","280","0","260","253","3","310",,,,"A",,,"1","3",,,,"239","5","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"A8UC5","2015-09-02T12:00:00","21.30","-109.60",,,"1","4","0","0","3","4",,"1","0",,"4",,"98","3","0","10115","3","5","0","282","0","256","247",,,"6","6","1","4","A","1","0","0","16","8","7","239","19","992","114","5","1","2","1","F1FF11","111111111A1311","1","0",,,,"4"
"VRBH4","2015-09-02T12:00:00","20.70","-107.80",,,"1","4","0","0","7","4",,"1","0","130","1","40","98","3","2","10110","5","0","0","300","0","270","258","3",,"7","7","2","4","6","3","0","0","18","8","1","239","7","992","114","5","1","2","1","611111","11111111191111","1","2",,,,"4"
"A8UC5","2015-09-02T18:00:00","20.40","-107.80",,,"1","4","0","0","3","4",,"1","0",,"4",,"98","3","0","10125","1","5","0","290","0",,,"3","310","6","6","1","A","A","1","0","0","16","8","7","239","7","992","114","5","1","2","2","11FF16","11111119911311","1","0",,,,"4"
"VRBH4","2015-09-02T18:00:00","21.60","-109.40",,,"1","4","0","0","7","4",,"1","0","40","1","30","98",,,"10120","2","10","0","320","0","280","265","3","320","7","1","4","3","1","A",,,"18","4","2","239","19","992","114","5","1","2","2","111111","111AA111111A11","1",,,,,"4"
"DPLE","2015-09-02T21:00:00","21.70","-109.40",,,"1","4","0","0","3","4","1","1","0","190","4","31","98","3","1","10114","8","15","0","310",,,"218","1","310","7","6","2","6","3","2","7","1","19","10","3","239","19","992","114","5","1","2","2","111112","1111111A111111","1","1",,,,"4"
"DPLE","2015-09-03T00:00:00","21.20","-108.60",,,"1","4","0","0","3","4","1","1","0","230","4","31","98","1","0","10104","6","19","0","313",,,"239","1","310","3","1","1","5","0","2",,,"18","10","3","239","18","992","114","5","1","2","2","111111","1111111A111A11","1","0",,,,"4"
"H3VS","2015-09-03T05:00:00","20.70","-106.10",,,"1","4","0","0","7","4",,"1","0","300","3","15",,,,"10120",,"0","0","300","0","280","274","3","310",,,,"A",,,,,,,,"239","6","992","114","5","1","2","1","111111","11AAA111118AA7","1",,,,,"4"
"DPLE","2015-09-03T06:00:00","20.20","-106.90",,,"1","4","0","0","3","4","1","1","0","230","4","26","98","2","1","10123","0","0","0","297",,,"234","1","310","6","4","2","5","3","A",,,,,,"239","6","992","114","5","1","2","1","111111","1111111A111AA1","1","1",,,,"4"
"H3VS","2015-09-03T06:00:00","20.80","-106.20",,,"1","4","0","0","7","4",,"1","0","290","3","15",,,,"10120","4","0","0","300","0","290","287","3","300",,,,"A",,,,,,,,"239","6","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-03T08:00:00","21.20","-106.90",,,"1","4","0","0","7","4",,"1","0","260","3","26","98",,"0","10105","8","20","0","300","0","270","260","3","310",,,,"A",,,"2","3",,,,"239","16","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-03T10:00:00","21.40","-107.50",,,"1","4","0","0","7","4",,"1","0","270","3","21","98",,"0","10100","5","10","0","300","0","270","260","3","310",,,,"A",,,"2","3",,,,"239","17","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-03T12:00:00","21.80","-108.20",,,"1","4","0","0","7","5",,"1","0","330","3","31",,,,"10110","4","0","0","310","0","270","257","3","320",,,,"A",,,"0","0",,,,"239","18","992","114","5","1","2","1","111111","11AAA1111181A1","1",,,,,"4"
"DHBN","2015-09-04T06:00:00","21.10","-108.20",,,"1","4","0","0","7","4","1","1","0","280","3","31","98","2","1","10113","1","12","0","298",,,"233","3","310","2",,,"A",,,,,,,,"239","18","992","114","5","1","2","1","111111","1111111A111AA1","1","1",,,,"4"
"D5CL4","2015-09-05T18:00:00","20.80","-107.70",,,"1","4","0","0","3","4",,"1","0","140","3","41","98","60","6","10120","4","0","0","280","0","250","239","3","290",,,,"A",,,,"1","38","8","2","239","7","992","114","5","1","2","2","111111","11111111118311","1","2",,,,"4"
"D5CL4","2015-09-05T23:00:00","20.10","-106.60",,,"1","4","0","0","3","3",,"1","0","300","4","113","98","2","1","10100","6","5","0","320","0","270","253","3","300","5","2","5","5","6","0","4","1","23","9","2","239","6","992","114","5","1","2","2","113111","14111111111411","1","1",,,,"4"
"V7DM3","2015-09-06T06:00:00","22.10","-109.00",,,"1","4","0","0","3","4",,"1","0",,"4",,"98","2","1","10100",,,"0","290","0","280","276","3","250","5","4","A","4","A","A",,,"0",,,"239","29","992","114","5","1","2","1","11FF11","11111111111A3A","1","1","0",,,"4"
"V7DM3","2015-09-06T14:00:00","20.60","-107.10",,,"1","4","0","0","3","4",,"1","0","110","4","36","98","2","2","10080","4","0","0","280","0","270","266","3","310","6","6","7","3","7","8",,,"11","2","4","239","7","992","114","5","1","2","2","111111","11111111111A11","1","2",,,,"4"
"A8IG3","2015-09-06T19:00:00","21.00","-108.10",,,"1","4","0","0","3","3",,"1","0","90","4","46","98","3","2","10111","8","9","0","307","0","263","248","3","300","6","2","2","3","1","8","10","2","16","16","5","239","18","992","114","5","1","2","2","111111","11111111111111","1","2",,,,"4"
"A8IX8","2015-09-07T18:00:00","20.80","-108.20",,,"1","4","0","0","3","4",,"1","0","150","4","108","98","62","6","10095","4","0","0","275","0","250","241","1","330","8","7","6","2","2","A","2","4",,,,"239","8","992","114","5","1","2","2","311311","111311111111A1","1","6",,,,"4"
"VRBH2","2015-09-07T19:00:00","20.50","-109.60",,,"1","4","0","0","7","3",,"1","0",,"4",,"94","63","6","10164","4","0","0","310","0","280","269","1","300","8",,"7","3","A","A","4","4","14","12","6","239","9","992","114","5","1","2","2","116111","11111111111111","1","2",,,,"4"
"H3VS","2015-09-07T23:00:00","22.30","-109.00",,,"1","4","0","0","2","3",,"1","0","150","4","144","98",,,"10062","7","93","0","300","0","270","260","3","320",,,"4","A","A","2","2","12",,,,"239","29","992","114","5","1","2","2","112511","111AA1111181A1","1",,,,,"4"
"H3VS","2015-09-08T04:00:00","21.60","-107.70",,,"1","4","0","0","3","4",,"1","0",,"4",,"97","80","8","10090","2","23","0","290","0","270","263","3","310",,,,"A",,,"2","10",,,,"239","17","992","114","5","1","2","1","111711","111111111181A1","1","8",,,,"4"
"H3VS","2015-09-08T06:00:00","21.30","-107.20",,,"1","4","0","0","3","4",,"1","0",,"4",,"98",,"0","10095","4","0","0","300","0","280","274","3","310",,,,"A",,,"1","12",,,,"239","17","992","114","5","1","2","1","111711","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-08T10:00:00","20.60","-105.90",,,"1","4","0","0","3","4",,"1","0","180","4","113",,,,"10090","4","0","0","290","0","270","263","3","310",,,,"A",,,,,,,,"239","5","992","114","5","1","2","1","111311","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-08T11:00:00","20.60","-105.60",,,"1","4","0","0","3","4",,"1","0","150","3","77",,,,"10100","4","0","0","290","0","280","277","3","310",,,,"A",,,"0","0",,,,"239","5","992","114","5","1","2","1","111111","14AAA1111184A1","1",,,,,"4"
"4XIM","2015-09-08T12:00:00","20.70","-107.60",,,"1","4","0","0","7","4",,"1","0","160","4","93","98",,,"10100","6","0","0","280","0","265","259","1","290","8",,,"A",,,,,,,,"239","7","992","114","5","1","2","1","111111","111AA111111AA7","1",,,,,"4"
"C6ZI9","2015-09-08T19:00:00","22.00","-109.70",,,"1","4","0","0","3","3",,"1","0",,"4",,"98",,,"10080",,,"0","290",,,,,,,,,"A",,,"12","8",,,,"239","29","992","114","5","1","2","2","F1171F","111AA11AAA81AA","1",,,,,"4"
"C6ZI9","2015-09-08T20:00:00","21.90","-109.50",,,"1","4","0","0","3","3",,"1","0",,"4",,"98",,,"10080",,,"0","300",,,,,,,,,"A",,,"12","8",,,,"239","19","992","114","5","1","2","2","F1171F","111AA11AAA81AA","1",,,,,"4"
"C6ZI9","2015-09-08T21:00:00","21.70","-109.30",,,"1","4","0","0","3","3",,"1","0",,"4",,"98",,,"10080",,,"0","300",,,,,,,,,"A",,,"12","8",,,,"239","19","992","114","5","1","2","2","F1171F","111AA11AAA81AA","1",,,,,"4"
"C6ZI9","2015-09-08T23:00:00","21.40","-108.70",,,"1","4","0","0","3","3",,"1","0","200","4","139","97",,,"10075",,,,,,,,,,,,,"A",,,,,,,,"239","18","992","114","5","1","2","2","FF151F","111AA1AAAA8AAA","1",,,,,"4"
"C6ZI9","2015-09-09T00:00:00","21.20","-108.50",,,"1","4","0","0","3","4",,"1","0",,"4",,"97",,,"10084",,,,,,,,,,,,,"A",,,"10","8",,,,"239","18","992","114","5","1","2","2","FF711F","111AA1AAAA81AA","1",,,,,"4"
"C6ZI9","2015-09-09T01:00:00","21.10","-108.30",,,"1","4","0","0","3","4",,"1","0","210","4","139","98",,,"10087",,,,,,,,,,,,,"A",,,,,,,,"239","18","992","114","5","1","2","2","FF151F","111AA1AAAA8AAA","1",,,,,"4"
"C6ZI9","2015-09-09T02:00:00","21.00","-108.20",,,"1","4","0","0","3","3",,"1","0","200","4","129",,,,"10090",,,"0","280",,,,,,,,,"A",,,,,,,,"239","18","992","114","5","1","2","1","F1151F","11AAA11AAA8AAA","1",,,,,"4"
"C6ZI9","2015-09-09T03:00:00","20.80","-107.80",,,"1","4","0","0","3","4",,"1","0","190","4","118","98",,,"10090",,,"0","280","0","250","239","3","250",,,"7","A","A","A","3","6",,,,"239","7","992","114","5","1","2","1","211511","111AA1111181AA","1",,,,,"4"
"C6ZI9","2015-09-09T04:00:00","20.60","-107.60",,,"1","4","0","0","3","4",,"1","0","190","4","113","98",,,"10092",,,"0","280","0","250","239","3","250",,,"7","A","A","A","3","6",,,,"239","7","992","114","5","1","2","1","211311","111AA1111181AA","1",,,,,"4"
"H3VS","2015-09-09T06:00:00","21.00","-105.80",,,"1","4","0","0","8","4",,"1","0","130","3","41","98",,"0","10110","4","0","0","290","0","260","249","3","300",,,,"A",,,"3","5",,,,"239","15","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"C6ZI9","2015-09-09T07:00:00","20.20","-106.90",,,"1","4","0","0","3","4",,"1","0","180","4","46","98",,,"10120",,,"0","290",,,,,,,,,"A",,,"12","6",,,,"239","6","992","114","5","1","2","1","F1111F","111AA11AAA81AA","1",,,,,"4"
"C6ZI9","2015-09-09T08:00:00","20.00","-106.70",,,"1","4","0","0","3","4",,"1","0","130","4","51","98",,,"10120",,,"0","290",,,,,,,,,"A",,,"12","6",,,,"239","6","992","114","5","1","2","1","F1111F","111AA11AAA81AA","1",,,,,"4"
"H3VS","2015-09-09T10:00:00","22.10","-106.20",,,"1","4","0","0","8","4",,"1","0","100","3","26",,,,"10110","4","0","0","290","0","270","263","3","310",,,,"A",,,"0","0",,,,"239","26","992","114","5","1","2","1","111111","11AAA1111181A1","1",,,,,"4"
"DGAF","2015-09-09T18:00:00","21.30","-108.50",,,"1","4","0","0","7","4","1","1","0","200","4","57","98","1","0","10116","7","3","0","330",,,"231","1","300","2","1","4","5","6","4","5","2","20","16","6","239","18","992","114","5","1","2","2","131112","1111111A111111","1","0",,,,"4"
"DGDD","2015-09-09T18:00:00","21.00","-107.90",,,"1","4","0","0","7","4","1","1","0","200","4","26","98","2","0","10130","2","19","0","320",,,"227","1","290","3","2","5","5","0","4","4","1","22","12","5","239","17","992","114","5","1","2","2","111112","1111111A111111","1","0",,,,"4"
"VRKX8","2015-09-10T02:00:00","20.30","-107.20",,,"1","4","0","0","3","3",,"1","0","180","3","67","98","2","0","10100","4","0","0","290","0","270","262","3","250","3","2","1","6","2","1","7","2","18","10","4","239","7","992","114","5","1","2","1","211111","11111111111111","1","0",,,,"4"
"H3VS","2015-09-10T04:00:00","23.00","-107.30",,,"1","4","0","0","6","4",,"1","0","260","3","51","98",,"0","10100","2","15","0","300","0","270","260","3","310",,,,"A",,,"2","4",,,,"239","37","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"V7IN9","2015-09-10T06:00:00","20.60","-108.70",,,"1","4","0","0","3","3",,"1","0","230","4","67","97","2","2",,"2","20","0","290","0","270","262",,"290","5","5","8","5","7","0","6","3","18","5","4","239","8","992","114","5","1","2","1","111161","11111111111111","1","2",,,,"4"
"H3VS","2015-09-10T09:00:00","22.90","-109.00",,,"1","4","0","0","6","4",,"1","0","240","3","87",,,,"10102",,,"0","300","0","280","274","3","320",,,,"A",,,,,,,,"239","29","992","114","5","1","2","1","111111","11AAA111118AAA","1",,,,,"4"
"H3VS","2015-09-10T11:00:00","22.90","-109.40",,,"1","4","0","0","6","3",,"1","0","260","3","72",,,,"10100","4","0","0","290","0","270","263","3","310",,,,"A",,,"99",,,,,"239","29","992","114","5","1","2","1","111111","11AAA1111187A1","1",,,,,"4"
"DIJY2","2015-09-12T12:00:00","20.80","-109.90",,,"1","4","0","0","2","4",,"1","0","100","4","26","97","1","0","10111","7",,"0","276","0","254","245","3","284","5",,,"A",,,"5","1",,,,"239","9","992","114","5","1","2","1","111111","111111111111A7","1","0",,,,"4"
"A8NQ7","2015-09-12T14:00:00","20.30","-106.90",,,"1","4","0","0","3","4",,"1","0","80","3","36","98","2","2","10120","4","0","0","280","0","258","249","3","280","7","6","2","8","3","3","1","1","27","3","3","239","6","992","114","5","1","2","2","111111","11111111111111","1","2",,,,"4"
"A8JE6","2015-09-14T00:00:00","20.30","-108.60",,,"1","4","0","0","7","4",,"1","0","210","4","62","98","2","1","10065","7","10","0","300","0","255","239","3","295","3","2","2","5","4","1",,"1",,,,"239","8","992","114","5","1","2","2","111111","111111111113A1","1","1",,,,"4"
"H3VS","2015-09-14T21:00:00","22.80","-109.80",,,"1","4","0","0","0","0",,"1","0","180","3","31",,,,"10079",,,"0","300","0","280","274","3","280",,,"2","A","6","1",,,,,,"239","29","992","114","5","1","2","2","111111","11AAA111118AAA","1",,,,,"4"
"H3VS","2015-09-15T06:00:00","22.90","-108.60",,,"1","4","0","0","2","4",,"1","0","180","3","87","98",,"0","10100","2","20","0","290","0","270","263","3","310",,,,"A",,,"1","3",,,,"239","28","992","114","5","1","2","1","111311","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-15T09:00:00","23.00","-107.60",,,"1","4","0","0","2","3",,"1","0","180","3","31",,,,"10104","4","0","0","300","0","280","274","3","310",,,,"A",,,,,,,,"239","37","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-15T12:00:00","23.10","-106.80",,,"1","4","0","0","2","3",,"1","0","160","3","10",,"1",,"10100","4","0","0","300","0","280","274","3","310","3","2","8","5","A","A",,,,,,"239","36","992","114","5","1","2","1","111111","11A1A111111AA1","1",,,,,"4"
