"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"2100892","2015-09-01T00:00:00","27.89","-137.78",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","253",,,,,,,,,,,,"236","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T00:00:00","22.45","-131.24",,,"1","4","2","5",,,"11",,,,,,,,"10157",,,"8",,,,,"9","268",,,,,,,,,,,,"236","21","798","172","7","1","2","2","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T00:00:00","28.10","-135.55",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"WFLH","2015-09-01T00:00:00","26.80","-139.50",,,"1","4","0","0","5","5","1","0","70","3","123","98","2","1","10210","7","8","0","283","0","250","238","1","244","2","2","4","5","6","0","5","3","13","11","4","236","69","992","114","5","1","2","2","151111","11111111111111",,"1","1",,,,"4"
"5100628","2015-09-01T00:30:00","20.79","-138.06",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T00:44:00","20.79","-138.07",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T00:47:00","20.79","-138.07",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T01:00:00","27.89","-137.78",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","253",,,,,,,,,,,,"236","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T01:00:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10152",,,"8",,,,,"9","268",,,,,,,,,,,,"236","21","798","172","7","1","2","2","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T01:00:00","28.10","-135.55",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T02:00:00","27.90","-137.79",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T02:00:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10154",,,"8",,,,,"9","268",,,,,,,,,,,,"236","21","798","172","7","1","2","2","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T02:00:00","28.10","-135.57",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T02:08:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10154",,,"8",,,,,"9","268",,,,,,,,,,,,"236","21","798","172","7","1","2","2","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"2100892","2015-09-01T02:09:00","27.90","-137.79",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T02:14:00","20.79","-138.07",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T02:25:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T02:26:00","20.79","-138.07",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T02:28:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T03:00:00","27.91","-137.82",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T03:00:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10159",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T03:00:00","28.10","-135.58",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T03:05:00","27.91","-137.82",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T03:05:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10162",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T03:06:00","28.10","-135.58",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T03:06:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T03:09:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T03:16:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T03:49:00","20.80","-138.09",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T04:00:00","27.91","-137.82",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T04:00:00","22.45","-131.25",,,"1","4","2","5",,,"11",,,,,,,,"10162",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T04:00:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:01:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600560","2015-09-01T04:46:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:46:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T04:48:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T05:00:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T05:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10169",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T05:00:00","28.11","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T05:19:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2015-09-01T05:22:00","20.81","-138.11",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T06:00:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T06:00:00","22.46","-131.28",,,"1","3","2","5",,,"11",,,,,,,,"10175",,,"0",,,,,,"267",,,,,,,,,,,,"236","21","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4600560","2015-09-01T06:00:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4300508","2015-09-01T06:03:00","22.46","-131.28",,,"1","4","2","5",,,"11",,,,,,,,"10175",,,"8",,,,,"9","267",,,,,,,,,,,,"236","21","798","172","7","1","2","1","3FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"5100628","2015-09-01T06:03:00","20.81","-138.12",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"236","8","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2100892","2015-09-01T06:05:00","27.92","-137.84",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"236","77","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4600560","2015-09-01T06:06:00","28.10","-135.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"236","85","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
