"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2100908","2015-09-01T00:00:00","25.69","-149.69",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T00:00:00","20.11","-142.33",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","2","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T00:00:00","25.54","-145.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T00:00:00","26.57","-141.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,"235","61","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T00:00:00","28.47","-144.69",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T00:00:00","22.00","-149.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T00:30:00","28.47","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T01:00:00","25.69","-149.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T01:00:00","20.10","-142.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","2","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T01:00:00","25.54","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T01:00:00","26.58","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,"235","61","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T01:00:00","22.00","-149.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T01:36:00","28.47","-144.70",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"252",,,,,,,,,,,,"235","84","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T02:00:00","25.69","-149.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T02:00:00","20.10","-142.35",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"271",,,,,,,,,,,,"235","2","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T02:00:00","25.54","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T02:00:00","26.58","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T02:00:00","22.00","-149.49",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T02:07:00","22.05","-149.47",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
