"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2100854","2015-09-01T00:00:00","26.76","-166.02",,,"1","3","2","5",,,"11",,,,,,,,"10155",,,"0",,,,,,,"274",,,,,,,,,,,,"233","66","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4600622","2015-09-01T00:00:00","24.44","-161.30",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","285",,,,,,,,,,,,"233","41","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T00:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","80",,,,"10145","8","14",,"276",,,,"242","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,,,,,,,,"4"
"5100646","2015-09-01T00:00:00","26.02","-168.22",,,"1","3","2","5",,,"11",,,,,,,,,,,"0",,,,,,,"293",,,,,,,,,,,,"233","68","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100741","2015-09-01T00:00:00","25.12","-170.00",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9",,,,,,,,,,,,,"232","50","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T00:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","80",,,,"10144",,,,"276",,,,"243","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T00:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","80",,,,"10141",,,,"276",,,,"241","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T00:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","80",,,,"10141",,,,"276",,,,"243","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T00:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","80",,,,"10141",,,,"276",,,,"244","1","284",,,,,,,"11","5",,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11A1AA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T00:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","80",,,,"10141",,,,"275",,,,"241","1","283",,,,,,,"6","3","14","11","4","233","42","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,,,,,,,,,"4"
"5100101","2015-09-01T00:50:00","24.30","-162.20",,,"1","4",,"0",,,"11","0","80","1","80",,,,"10135","6","16",,"277",,,,,"1","280",,,,,,,"7","3","11","11","4","233","42","793","103","6","1","2","2","11111F","11AAA11AA1A111",,,"6",,,,,,,,,,"4"
"2100854","2015-09-01T01:00:00","26.77","-166.02",,,"1","3","2","5",,,"11",,,,,,,,"10150",,,"0",,,,,,,"275",,,,,,,,,,,,"233","66","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4600622","2015-09-01T01:00:00","24.44","-161.32",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","285",,,,,,,,,,,,"233","41","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T01:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","80",,,,"10140","6","16",,"275",,,,"240","1","283",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,,,,,,,,"4"
"5100646","2015-09-01T01:00:00","26.02","-168.22",,,"1","3","2","5",,,"11",,,,,,,,,,,"0",,,,,,,"293",,,,,,,,,,,,"233","68","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100741","2015-09-01T01:00:00","25.12","-170.00",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9",,,,,,,,,,,,,"232","50","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T01:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10140",,,,"276",,,,"242","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T01:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10140",,,,"276",,,,"239","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100742","2015-09-01T01:26:00","22.93","-165.24",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","295",,,,,,,,,,,,"233","25","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T01:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10140",,,,"276",,,,"237","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"2100854","2015-09-01T01:32:00","26.77","-166.02",,,"1","4","2","5",,,"11",,,,,,,,"10149",,,"8",,,,,,"9","274",,,,,,,,,,,,"233","66","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"5100646","2015-09-01T01:32:00","26.02","-168.22",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,"233","68","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4600622","2015-09-01T01:34:00","24.44","-161.32",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,"233","41","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100741","2015-09-01T01:34:00","25.12","-170.00",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9",,,,,,,,,,,,,"232","50","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100742","2015-09-01T01:36:00","22.93","-165.24",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","294",,,,,,,,,,,,"233","25","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T01:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10138",,,,"277",,,,"239","1","284",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100001","2015-09-01T01:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10138",,,,"276",,,,"238","1","284",,,,,,,"7","3","6","8","4","233","42","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,,,,,,,,,"4"
"5100101","2015-09-01T01:50:00","24.30","-162.20",,,"1","4",,"0",,,"11","0","80","1","70",,,,"10132","6","13",,"277",,,,,"1","280",,,,,,,"6","2","5","9","4","233","42","793","103","6","1","2","2","11111F","11AAA11AA1A111",,,"6",,,,,,,,,,"4"
"2100854","2015-09-01T02:00:00","26.77","-166.02",,,"1","4","2","5",,,"11",,,,,,,,"10149",,,"8",,,,,,"9","274",,,,,,,,,,,,"233","66","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4600622","2015-09-01T02:00:00","24.44","-161.32",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,"233","41","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T02:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10135","6","13",,"276",,,,"238","1","283",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,,,,,,,,,"4"
"5100646","2015-09-01T02:00:00","26.02","-168.22",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,"233","68","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100741","2015-09-01T02:00:00","25.12","-170.00",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9",,,,,,,,,,,,,"232","50","798","172","7","1","2","2","7FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"5100001","2015-09-01T02:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","70",,,,"10136",,,,"276",,,,"239","1","283",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAAA",,,"6",,,,,,,,,,"4"
"5100742","2015-09-01T02:13:00","22.93","-165.24",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","295",,,,,,,,,,,,"233","25","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
