"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"4400613","2015-09-01T00:00:00","28.05","-29.21",,,"1","3","2","5",,,,"11",,,,,,,,"10192","2","13","0",,,,,,,"268",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T00:00:00","25.65","-27.25",,,"1","3","2","5",,,,"11",,,,,,,,"10193","2","11","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T00:00:00","29.81","-23.40",,,"1","3","2","5",,,,"11",,,,,,,,"10210","2","13","0",,,,,,,"264",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T00:00:00","25.72","-27.80",,,"1","3","2","5",,,,"11",,,,,,,,"10194","2","12","0",,,,,,,"265",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T00:00:00","20.40","-23.00",,,"1","4","0","0","4","1","1","1","0","60","1","70",,,,"10159","1","11","0","250",,,,"233","3","262",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"1","0","1"
"1300872","2015-09-01T00:50:00","25.51","-27.18",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","1","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400613","2015-09-01T01:00:00","28.05","-29.21",,,"1","3","2","5",,,,"11",,,,,,,,"10191","2","6","0",,,,,,,"268",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T01:00:00","25.66","-27.25",,,"1","3","2","5",,,,"11",,,,,,,,"10188","7","1","0",,,,,,,"262",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T01:00:00","29.81","-23.39",,,"1","3","2","5",,,,"11",,,,,,,,"10208","2","2","0",,,,,,,"263",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T01:00:00","25.72","-27.80",,,"1","3","2","5",,,,"11",,,,,,,,"10190","2","3","0",,,,,,,"264",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T01:00:00","20.40","-23.00",,,"1","4","0","0","5","1","1","1","0","70","1","70",,,,"10157","0","8","0","249",,,,"235","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300872","2015-09-01T01:50:00","25.51","-27.18",,,"1","3","2","5",,,,"11",,,,,,,,"10191","7","12","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T02:00:00","20.46","-23.10",,,"1","4","2","5",,,,"11","0","80","4","72",,,,,,,"0","255",,,"1","250",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","1","1111F3","11AAAA1A11AAAA",,,,,,,,,
"4400613","2015-09-01T02:00:00","28.05","-29.21",,,"1","3","2","5",,,,"11",,,,,,,,"10188","7","3","0",,,,,,,"267",,,,,,,,,,,,"247","89","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400624","2015-09-01T02:00:00","25.67","-27.24",,,"1","3","2","5",,,,"11",,,,,,,,"10183","7","13","0",,,,,,,"261",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"4400837","2015-09-01T02:00:00","29.80","-23.38",,,"1","3","2","5",,,,"11",,,,,,,,"10204","7","6","0",,,,,,,"263",,,,,,,,,,,,"247","93","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"6200681","2015-09-01T02:00:00","25.72","-27.80",,,"1","3","2","5",,,,"11",,,,,,,,"10184","7","11","0",,,,,,,"264",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"DBBH","2015-09-01T02:00:00","20.40","-23.00",,,"1","4","0","0","0","0","1","1","0","80","1","90",,,,"10153","8","6","0","249",,,,"236","3","260",,,,"A",,,,,,,,"247","3","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4",,
"1300002","2015-09-01T02:13:00","20.47","-23.09",,,"1","5","2","5",,,,"11","5","57",,"72",,,,,,,"8","254",,,,,"9","256",,,,,,,,,,,,"247","3","798","172","6","0",,"1","1111F3","11AAAA1AA1AAAA",,,,,,,,,
"1300872","2015-09-01T02:50:00","25.52","-27.16",,,"1","3","2","5",,,,"11",,,,,,,,"10187","7","13","0",,,,,,,"263",,,,,,,,,,,,"247","57","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,
"1300002","2015-09-01T03:00:00","20.47","-23.09",,,"1","4","2","5",,,,"11","0","60","4","72",,,,,,,"0","254",,,"1","251",,"256",,,,,,,,,,,,"247","3","794","103","6","1","2","1","1111F3","11AAAA1A11AAAA",,,,,,,,,
