"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1300519","2015-09-01T00:00:00","22.77","-39.91",,,"1","3","2","5",,,,"11",,,,,,,,"10175","2","10","0",,,,,,,"279",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300869","2015-09-01T00:00:00","23.01","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10175","2","10","0",,,,,,,"280",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T00:00:00","27.02","-39.41",,,"1","3","2","5",,,,"11",,,,,,,,"10178","2","14","0",,,,,,,"282",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100139","2015-09-01T00:00:00","20.01","-37.85",,,"1","4","2","5",,,,"11","0","40","4","93",,,,"10172",,,"0","257",,,"1","236",,,,,,,,,,,,,,"246","7","794","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,,
"4100502","2015-09-01T00:00:00","29.00","-31.29",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100564","2015-09-01T00:00:00","29.27","-32.56",,,"1","4","2","5",,,,"11",,,,,,,,"10185",,,"8",,,,,,"9","270",,,,,,,,,,,,"246","92","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300519","2015-09-01T00:16:00","22.76","-39.91",,,"1","4","2","5",,,,"11",,,,,,,,"10175",,"10","8",,,,,,"9","279",,,,,,,,,,,,"246","29","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAA7","4",,,
"1300628","2015-09-01T00:16:00","22.43","-35.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T00:16:00","29.47","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T00:17:00","22.43","-35.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T00:17:00","29.47","-39.07",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300909","2015-09-01T00:18:00","24.44","-33.33",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","275",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"2100942","2015-09-01T00:18:00","27.02","-39.41",,,"1","4","2","5",,,,"11",,,,,,,,,,"14","8",,,,,,"9","282",,,,,,,,,,,,"246","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAA7","4",,,
"1300871","2015-09-01T00:50:00","25.16","-32.69",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","7","0",,,,,,,"277",,,,,,,,,,,,"246","52","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100139","2015-09-01T00:55:00","20.01","-37.85",,,"1","5","2","5",,,,"11","5","57",,"47",,,,"10163",,,"8","268",,,,,"9","274",,,,,,,,,,,,"246","7","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,
"1300909","2015-09-01T00:57:00","24.44","-33.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"246","43","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T00:58:00","22.75","-39.93",,,"1","4","2","5",,,,"11",,,,,,,,"10174",,"6","8",,,,,,"9","278",,,,,,,,,,,,"246","29","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAA7","4",,,
"1300628","2015-09-01T00:58:00","22.43","-35.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"2100942","2015-09-01T00:58:00","27.02","-39.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","280",,,,,,,,,,,,"246","79","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100592","2015-09-01T00:58:00","29.99","-36.92",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","96","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"4100604","2015-09-01T00:58:00","29.46","-39.06",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,"246","99","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300628","2015-09-01T00:59:00","22.43","-35.16",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","276",,,,,,,,,,,,"246","25","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
"1300519","2015-09-01T01:00:00","22.75","-39.93",,,"1","3","2","5",,,,"11",,,,,,,,"10174","2","6","0",,,,,,,"278",,,,,,,,,,,,"246","29","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"1300569","2015-09-01T01:00:00","27.64","-32.83",,,"1","4","2","5",,,,"11",,,,,,,,"10182",,,"8",,,,,,"9","274",,,,,,,,,,,,"246","72","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,
"1300869","2015-09-01T01:00:00","23.01","-38.75",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","5","0",,,,,,,"279",,,,,,,,,,,,"246","38","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"2100942","2015-09-01T01:00:00","27.02","-39.41",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","7","0",,,,,,,"281",,,,,,,,,,,,"246","79","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,
"4100502","2015-09-01T01:00:00","29.00","-31.29",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","267",,,,,,,,,,,,"246","91","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,
