"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300515","2015-09-01T00:00:00","25.05","-48.92",,,"1","4","2","5",,,,"11",,,,,,,,"10185",,,"8",,,,,"9","295",,,,,,,,,,,,"245","58","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"1300660","2015-09-01T00:00:00","27.92","-44.04",,,"1","3","2","5",,,,"11",,,,,,,,"10173","2","20","0",,,,,,"284",,,,,,,,,,,,"245","74","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4100580","2015-09-01T00:00:00","23.23","-49.71",,,"1","3","2","5",,,,"11",,,,,,,,"10191","2","8","0",,,,,,"296",,,,,,,,,,,,"245","39","794","103","7","1","2","1","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4100635","2015-09-01T00:00:00","22.41","-41.59",,,"1","3","2","5",,,,"11",,,,,,,,"10182","2","10","0",,,,,,"281",,,,,,,,,,,,"245","21","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400546","2015-09-01T00:00:00","26.41","-45.33",,,"1","3","2","5",,,,"11",,,,,,,,"10178","2","10","0",,,,,,"287",,,,,,,,,,,,"245","65","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400843","2015-09-01T00:00:00","29.34","-44.92",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,"245","94","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400868","2015-09-01T00:00:00","27.98","-40.84",,,"1","3","2","5",,,,"11",,,,,,,,"10166","2","11","0",,,,,,"284",,,,,,,,,,,,"245","70","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400891","2015-09-01T00:00:00","25.41","-44.74",,,"1","3","2","5",,,,"11",,,,,,,,"10178","2","10","0",,,,,,"288",,,,,,,,,,,,"245","54","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
"4400893","2015-09-01T00:00:00","26.31","-43.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,"245","63","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"4400896","2015-09-01T00:00:00","29.47","-45.47",,,"1","3","2","5",,,,"11",,,,,,,,"10171","2","7","0",,,,,,"282",,,,,,,,,,,,"245","95","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,,
