"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"3100515","2015-09-01T00:00:00","22.67","-65.81",,,"1","4","2","5",,,,"11",,,,,,,,"10187",,,"8",,,,,"9","296",,,,,,,,,,,,"243","25","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"3FUU","2015-09-01T00:00:00","24.80","-64.40",,,"1","4","0","0","0","3",,"1","0","90","4","41","98","1","0","10180","4","0","0","290","0","260","248","1","290",,,"A","A","A","3","8","2",,,,"243","44","992","114","5","1","2","1","111111","111111111181A1",,,"1","0",,,,,,,,,"4"
"4100596","2015-09-01T00:00:00","23.22","-66.52",,,"1","3","2","5",,,,"11",,,,,,,,"10188","2","9","0",,,,,,"297",,,,,,,,,,,,"243","36","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100607","2015-09-01T00:00:00","24.82","-69.51",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"243","49","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100632","2015-09-01T00:00:00","24.08","-65.25",,,"1","3","2","5",,,,"11",,,,,,,,"10190","2","7","0",,,,,,"299",,,,,,,,,,,,"243","45","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100970","2015-09-01T00:00:00","29.44","-66.60",,,"1","3","2","5",,,,"11",,,,,,,,"10201","7","3","0",,,,,,"298",,,,,,,,,,,,"243","96","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"C6LU3","2015-09-01T00:00:00","26.90","-65.40",,,"1","4","0","0","5","4",,"1","0","320","3","41","97","3","1","10170","7","10","3","290","0","270","260",,,"5","5","4","4","4","0","2","1",,,,"243","65","992","114","5","1","2","1","F11111","111111111A11A1",,,"1","2",,,,,,,,,"4"
"1300626","2015-09-01T00:18:00","29.32","-67.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"243","97","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100571","2015-09-01T00:19:00","24.22","-65.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","45","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100572","2015-09-01T00:19:00","29.80","-67.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300520","2015-09-01T00:20:00","28.93","-61.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100565","2015-09-01T00:20:00","29.43","-62.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"243","92","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100688","2015-09-01T00:20:00","27.37","-69.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300626","2015-09-01T00:21:00","29.32","-67.36",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","298",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100934","2015-09-01T00:21:00","28.89","-66.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"243","86","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100043","2015-09-01T00:50:00","21.00","-64.90",,,"1","4",,"0",,,,"11","0","80","1","60",,,,"10178","3","12",,"287",,,"250","1","291",,,,,,,"5","2","5","9","2","243","14","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100046","2015-09-01T00:50:00","23.90","-68.40",,,"1","4",,"0",,,,"11","0","70","1","50",,,,"10195","3","7",,"285",,,"242","1","301",,,,,,,"4","1","4","10","2","243","38","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100049","2015-09-01T00:50:00","27.50","-62.90",,,"1","4",,"0",,,,"11","0","60","1","20",,,,"10200","2","4",,"290",,,"241","1","302",,,,,,,"9","2","6","9","2","243","72","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100597","2015-09-01T00:50:00","23.23","-61.82",,,"1","3","2","5",,,,"11",,,,,,,,"10192","2","9","0",,,,,,"297",,,,,,,,,,,,"243","31","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100600","2015-09-01T00:50:00","20.30","-64.10",,,"1","3","2","5",,,,"11",,,,,,,,"10181","2","9","0",,,,,,"292",,,,,,,,,,,,"243","4","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100565","2015-09-01T00:57:00","29.44","-62.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"243","92","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300520","2015-09-01T00:58:00","28.92","-61.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300626","2015-09-01T00:58:00","29.32","-67.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"3100515","2015-09-01T00:58:00","22.68","-65.81",,,"1","4","2","5",,,,"11",,,,,,,,"10194",,,"8",,,,,"9","296",,,,,,,,,,,,"243","25","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4100571","2015-09-01T00:58:00","24.23","-65.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","45","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100572","2015-09-01T00:58:00","29.80","-67.03",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","97","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,
"4100607","2015-09-01T00:58:00","24.84","-69.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","49","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100688","2015-09-01T00:58:00","27.37","-69.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","79","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100934","2015-09-01T00:58:00","28.90","-66.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"243","86","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300626","2015-09-01T00:59:00","29.32","-67.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100559","2015-09-01T00:59:00","23.42","-67.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","37","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100572","2015-09-01T00:59:00","29.79","-67.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","97","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100650","2015-09-01T00:59:00","28.03","-68.41",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"243","88","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100688","2015-09-01T00:59:00","27.37","-69.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100934","2015-09-01T00:59:00","28.89","-66.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"243","86","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"3100515","2015-09-01T01:00:00","22.68","-65.81",,,"1","4","2","5",,,,"11",,,,,,,,"10194",,,"8",,,,,"9","296",,,,,,,,,,,,"243","25","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4100596","2015-09-01T01:00:00","23.22","-66.52",,,"1","3","2","5",,,,"11",,,,,,,,"10193","2","12","0",,,,,,"297",,,,,,,,,,,,"243","36","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100607","2015-09-01T01:00:00","24.84","-69.52",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","49","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100632","2015-09-01T01:00:00","24.08","-65.25",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","10","0",,,,,,"298",,,,,,,,,,,,"243","45","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100970","2015-09-01T01:00:00","29.45","-66.60",,,"1","3","2","5",,,,"11",,,,,,,,"10208","2","7","0",,,,,,"297",,,,,,,,,,,,"243","96","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100571","2015-09-01T01:06:00","24.23","-65.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","45","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300520","2015-09-01T01:07:00","28.92","-61.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","81","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"1300626","2015-09-01T01:07:00","29.32","-67.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100572","2015-09-01T01:07:00","29.79","-67.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","97","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100650","2015-09-01T01:07:00","28.03","-68.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"243","88","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100688","2015-09-01T01:07:00","27.37","-69.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100565","2015-09-01T01:08:00","29.44","-62.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"243","92","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100934","2015-09-01T01:08:00","28.90","-66.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,"243","86","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100043","2015-09-01T01:50:00","21.00","-64.90",,,"1","4",,"0",,,,"11","0","70","1","60",,,,"10182","2","13",,"287",,,"254","1","291",,,,,,,"4","1","6","8","2","243","14","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100046","2015-09-01T01:50:00","23.90","-68.40",,,"1","4",,"0",,,,"11","0","80","1","50",,,,"10196","1","9",,"287",,,"238","1","301",,,,,,,"4","1","6","9","2","243","38","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100049","2015-09-01T01:50:00","27.50","-62.90",,,"1","4",,"0",,,,"11","0","90","1","20",,,,"10200","2","3",,"290",,,"237","1","302",,,,,,,"10","2","6","10","2","243","72","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,,"4"
"4100597","2015-09-01T01:50:00","23.23","-61.81",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","11","0",,,,,,"297",,,,,,,,,,,,"243","31","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"4100600","2015-09-01T01:50:00","20.30","-64.11",,,"1","3","2","5",,,,"11",,,,,,,,"10186","2","12","0",,,,,,"292",,,,,,,,,,,,"243","4","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,
"3100515","2015-09-01T01:52:00","22.69","-65.81",,,"1","4","2","5",,,,"11",,,,,,,,"10195",,,"8",,,,,"9","296",,,,,,,,,,,,"243","25","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4100571","2015-09-01T01:53:00","24.23","-65.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","45","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100559","2015-09-01T01:54:00","23.40","-67.94",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","37","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100565","2015-09-01T01:54:00","29.45","-62.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"243","92","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100650","2015-09-01T01:55:00","28.03","-68.41",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"243","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100688","2015-09-01T01:56:00","27.38","-69.72",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","79","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100559","2015-09-01T01:58:00","23.40","-67.94",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","37","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"4100571","2015-09-01T01:59:00","24.23","-65.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"243","45","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"3100515","2015-09-01T02:00:00","22.69","-65.81",,,"1","4","2","5",,,,"11",,,,,,,,"10195",,,"8",,,,,"9","296",,,,,,,,,,,,"243","25","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
