"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4100709","2015-09-01T00:00:00","28.65","-71.87",,,"1","3","2","5",,,,"11",,,,,,,,"10202","2","5","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T00:00:00","25.31","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","303",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"9VIJ3","2015-09-01T00:00:00","27.70","-79.20",,,"1","4","0","0","5","3",,"1","0","240","4","77","98","50","5","10160","6","10","0","290","0","270","262","1","290","6","4","7","6","7","8","6","1","23","7","2","242","79","992","114","5","1","2","1","111111","11111111111111",,"1","2",,,,,,,,,,,"4"
"H3GR","2015-09-01T00:00:00","25.20","-79.80",,,"1","4","0","0","4","3",,"1","0","180","4","46",,,"0","10180","2","10","0","290","0","270","263","3","290","6",,"A","8","A","7","5","1","17","5","1","242","59","992","114","5","1","2","1","111111","11AA1111111111",,"1","0","18","5","1",,,,,,,,"4"
"SPGF1","2015-09-01T00:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","160","4","15",,,,"10187","3","9",,"290",,,"247",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T00:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","30",,,,"10181",,,,"292",,,"245","1","298",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T00:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","40",,,,"10184","2","5",,"293",,,"241","1","298",,,,,,,"4","1","11","9","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T00:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","50",,,,"10193","3","9",,"291",,,"251","1","298",,,,,,,"4","1","7","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T00:59:00","25.29","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","303",,,,,,,,,,,,"242","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-01T01:00:00","28.65","-71.87",,,"1","3","2","5",,,,"11",,,,,,,,"10209","2","10","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T01:00:00","25.29","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","303",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T01:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","170","4","15",,,,"10190","3","12",,"289",,,"247",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T01:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","40",,,,"10186",,,,"293",,,"242","1","298",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T01:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","30",,,,"10190","3","10",,"293",,,"248","1","298",,,,,,,"4","1","10","9","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T01:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","40",,,,"10196","2","12",,"292",,,"251","1","297",,,,,,,"4","1","7","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T01:55:00","25.28","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"242","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
