"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"TBWUK31","2016-09-01T10:00:00","15.20","-18.80",,,"1","4","0","0","4","2",,"1","0","361","4","0",,"98","3","1","10138","2","8","0","278","0","212","174","1","272","7","7","0","8","7","8","0","0",,,,"284","58","992","114","5","1","2","2","111114","111111111113A1",,"1","1",,,,,,,,,"4",,
"TBWUK31","2016-09-01T17:00:00","14.10","-18.80",,,"1","4","0","0","4","2",,"1","0","180","4","5",,"98","5","2","10114","8","10","0","285","0","261","251","1","280","5","5","3","6","6","2","0","0","18","5","3","284","48","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,,,,,,"4",,
"A8ZU9","2016-09-02T00:00:00","18.00","-19.90",,,"1","4","0","0","5","4","1","1","0","30","4","93",,"98","3","1","10136",,,"0","270","0","250","243","3","270","2","1","1","4","1","A","4","4",,,,"284","89","992","114","5","1","2","1","111111","111111111111AA",,"1","1",,,,,,,,,"4",,
"DGZN","2016-09-02T00:00:00","18.90","-17.70",,,"1","4","0","0",,,,"1","0","30","3","36",,"98",,,"10155","1","10","0","270",,,"228",,,"2",,,"7",,,,,,,,"284","87","992","114","5","1","2","1","F11111","111AA11A1A1AA1",,"1",,,,,,,,,,"4",,
"V7RI7","2016-09-02T04:00:00","19.00","-19.80",,,"1","4","0","0","1","3",,"1","0","120","4","98",,"96",,"1","10160","4","0","0","310","0","300","297","1","280","3","3","7","3","2","0","20","4","10","16","2","284","99","992","114","5","1","2","1","132311","111A1111111331",,"1","1",,,,"0","A","0","A","A","4",,
"TBWUK31","2016-09-02T09:00:00","11.60","-18.80",,,"1","4","0","0","4","3",,"1","0","340","4","21",,"97","25","2","10134","2","4","0","237","0","211","197","1","282","8","8","8","5","A","A","2","3",,,,"284","18","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,,,,,,,,"4",,
"DGZN","2016-09-02T12:00:00","16.20","-17.70",,,"1","4","0","0",,,,"1","0","170","3","87",,"97","3","8","10160","8",,"0","260",,,"232",,,"7",,,"7",,,,,,,,"284","67","992","114","5","1","2","2","F11511","1111111A1A1AA7",,"1","2",,,,,,,,,"4",,
"DGZN","2016-09-02T15:00:00","15.50","-17.70",,,"1","4","0","0","4","3",,"1","0","130","3","36",,"98","3","1","10145","7","15","0","284",,,"249","1","270","8","5","6","3","7","8","3","2","1","6","2","284","57","992","114","5","1","2","2","111111","1111111A111111",,"1","1",,,,,,,,,"4",,
"TBWUK31","2016-09-02T18:00:00","10.20","-18.80",,,"1","4","0","0","4","2",,"1","0","220","4","77",,"98","2","2","10119","4","0","0","261","0","240","230","1","280","6","6","3","6","7","A","3","2","22","5","3","284","8","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,,,,,,"4",,
"DGZN","2016-09-03T00:00:00","13.30","-17.70",,,"1","4","0","0",,,,"1","0","160","3","51",,"98","1","0","10152","1","10","0","280",,,"232",,,"2",,,"7",,,,,,,,"284","37","992","114","5","1","2","1","F11111","1111111A1A1AA1",,"1","0",,,,,,,,,"4",,
"TBWUK54","2016-09-03T11:00:00","19.20","-18.10",,,"1","4","0","0","4","2",,"1","0","100","4","51",,"97","5","0","10152","3","15","0","280","0","250","237",,,"0","0","0","9","0","0","2","2",,,,"284","98","992","114","5","1","2","2","F11111","111111111A11A1",,"1","0",,,,,,,,,"4",,
"DGZN","2016-09-03T12:00:00","10.40","-16.90",,,"1","4","0","0",,,,"1","0","180","3","31",,"98","3","2","10160","1","5","0","290",,,"235",,,"6",,,"7",,,,,,,,"284","6","992","114","5","1","2","2","F11111","1111111A1A1AA1",,"1","2",,,,,,,,,"4",,
"TBWUK54","2016-09-03T16:00:00","18.30","-18.10",,,"1","4","0","0","4","2",,"1","0","180","4","41",,"98","2","0","10143","4","0","0","310","0","280","269",,,"3","2","1","2","4","0","7","1","0",,,"284","88","992","114","5","1","2","2","F31311","111111111A1131",,"1","0","0",,,,,,,,"4",,
