"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"4600761","2016-09-01T00:00:00","22.98","-170.38",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","280",,,,,,,,,,,,"232","20","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100677","2016-09-01T00:00:00","27.21","-175.60",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","273",,,,,,,,,,,,"232","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100719","2016-09-01T00:00:00","20.37","-178.51",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","292",,,,,,,,,,,,"232","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T00:00:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,"10116",,,,"258",,,,,,,,,,,,,,,,,,"232","87","797","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,,,,,
"SNDP5","2016-09-01T00:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","260",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","260",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","261",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:24:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,,,,,,,,,,,"262",,,,,,,,,,,,"232","87","797","103","16","1","2","2","1FFFFF","1AAAAAAAA1AAAA","31",,,,,,
"SNDP5","2016-09-01T00:30:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,"10110",,,,"264",,,,,,,,,,,,,,,,,,"232","87","797","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,,,,,
"SNDP5","2016-09-01T00:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","265",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","265",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","266",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T00:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10108",,,"0","267",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"4600761","2016-09-01T01:00:00","22.98","-170.38",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","279",,,,,,,,,,,,"232","20","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100677","2016-09-01T01:00:00","27.21","-175.60",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"232","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100719","2016-09-01T01:00:00","20.37","-178.51",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,"232","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100768","2016-09-01T01:00:00","20.12","-179.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","296",,,,,,,,,,,,"232","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T01:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10109",,,"0","260",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T01:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10109",,,"0","256",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"5100628","2016-09-01T01:12:00","24.33","-175.55",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,"232","45","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100677","2016-09-01T01:12:00","27.21","-175.60",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,"232","75","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100719","2016-09-01T01:12:00","20.37","-178.51",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","294",,,,,,,,,,,,"232","8","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T01:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10109",,,"0","257",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"4600761","2016-09-01T01:13:00","22.98","-170.38",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","280",,,,,,,,,,,,"232","20","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100768","2016-09-01T01:13:00","20.12","-179.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","296",,,,,,,,,,,,"232","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100768","2016-09-01T01:15:00","20.12","-179.61",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","296",,,,,,,,,,,,"232","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100628","2016-09-01T01:17:00","24.33","-175.55",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,"232","45","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T01:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10108",,,"0","259",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31","6",,,,,"4"
"5100628","2016-09-01T01:20:00","24.33","-175.55",,,"1","4","2","5",,,"11",,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,"232","45","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"SNDP5","2016-09-01T01:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,"10106",,,"0",,,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","1FFF1F","1AAAA1AAA18AAA","31","6",,,,,"4"
"SNDP5","2016-09-01T01:30:00","28.21","-177.36",,,"1","3","2","5",,,"5",,,,,,,,"10107",,,,"262",,,,,,,,,,,,,,,,,,"232","87","797","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,,,,,
"SNDP5","2016-09-01T01:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,,,"0","262",,,,,"1","263",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FFFF","1AAAAA1AA18AAA","31","6",,,,,"4"
