"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"5301504","2016-09-01T00:00:00","20.27","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10052",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8MW9","2016-09-01T00:00:00","22.70","116.60",,,"1","4","0","0","5","3",,"1","0","270","4","93",,"97","25","8","10040","4","0","0","310","0","280",,"269",,,"5","5","7","A","5","A",,,,,,,"225","26","992","114","5","1","2","2","F13111","111111111A1AA1",,,"1","8",,,,,,,,,,"4"
"A8OU4","2016-09-01T00:00:00","22.00","114.20",,,"1","4","0","0","0","0",,"1","0","210","4","113",,"95","62","6","10040",,,"0","290",,,,,"3","300","7",,"7","3","0","0",,"10","3",,,,"225","24","992","114","5","1","2","2","11131F","1111111AA111AA",,,"1","6",,,,,,,,,,"4"
"5301504","2016-09-01T01:00:00","20.27","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10056",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T02:00:00","20.27","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10058",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T03:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10057",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T04:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10054",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T05:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10048",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T06:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10037",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8MW9","2016-09-01T06:00:00","22.40","115.50",,,"1","4","0","0","6","2",,"1","0","270","1","90",,"97","62",,"10030","7","10","0","300","0","280",,"273",,,"4","4","4","5","A","A",,,,,,,"225","25","992","114","5","1","2","2","F13111","1113A1111A1AA1",,,"1",,,,,,,,,,,"4"
"A8OU4","2016-09-01T06:00:00","22.10","114.20",,,"1","4","0","0","0","0",,"1","0","220","4","98",,"95","29","9","10020",,"20","0","305","0","265",,"251","3","300","8",,"7","2","A","A",,"99","4","0",,,"225","24","992","114","5","1","2","2","111111","11111111111337",,,"1","2","0",,,,,,,,,"4"
"A8PA8","2016-09-01T06:00:00","21.10","114.20",,,"1","4","0","0","4","3",,"1","0","240","4","103",,"97","3","6","10040","6","10","0","300","0","280",,"273","1","290","7","7","7","3","6","8",,"5","3",,,,"225","14","992","114","5","1","2","2","111111","111111111111A1",,,"1","2",,,,,,,,,,"4"
"VRGW3","2016-09-01T06:00:00","20.60","116.10",,,"1","4","0","0","8","4","1","1","0","220","3","123",,"98","3","2","10019","7","23","0","310","0","280",,"269","1","300","6","5","2","4","A","A",,"5","6","21","9","4","225","6","992","114","5","1","2","2","111111","11111111111111",,,"1","2",,,,,,,,,,"4"
"5301504","2016-09-01T07:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10028",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T08:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10026",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
