"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"DARU","2016-09-01T00:00:00","27.20","34.20",,,"1","4","0","0","4","5","1","1","0","320","4","77",,"97","1","0","10060","4","0","0","280","0","240","221","1","270","0","0","0","9","0","0",,"5","2",,,,"217","74","992","114","5","1","2","1","111111","111111111111A1",,"1","0",,"4"
"WMPP","2016-09-01T00:00:00","23.30","37.00",,,"1","4","0","0","3","3",,"1","0","320","3","67",,"97","2","0","10037","7","14","0","289","0","281","278","1","306","0","0","0","9","0","0",,"4","1",,,,"217","37","992","114","5","1","2","1","111111","111111111111A1",,"1","0",,"4"
"TBWUK76","2016-09-01T02:00:00","24.50","36.20",,,"1","4","0","0","7","4",,"1","0","340","4","62",,"97","31","0","10050","5","2","0","290","0","270","262",,,"1","1","1","4","0","0",,"5","2",,,,"217","46","992","114","5","1","2","1","F11111","111111111A11A1",,"1","0",,"4"
"DARU","2016-09-01T06:00:00","25.40","35.60",,,"1","4","0","0","3","5","1","1","0","160","4","93",,"97","3","2","10066","1",,"0","285",,,,"1","295","6","6","6","6","1","2",,"6","2","16","5","2","217","55","992","114","5","1","2","2","11151F","1111111AA11117",,"1","2",,"4"
"V7YW5","2016-09-01T06:00:00","27.30","34.10",,,"1","4","0","0","3","3",,"1","0",,"4",,,"97","2","0","10080","4","0","0","260","0","240","231",,,"0","0","A","9","A","A",,"5","4","23","8","4","217","74","992","114","5","1","2","2","F13711","111111111A1111",,"1","0",,"4"
"WMPP","2016-09-01T06:00:00","22.30","37.70",,,"1","4","0","0","3","3",,"1","0","350","3","77",,"98","2","1","10058","2","11","0","360","0","308","291","1","309","6","4","6","2","7","4",,"4","2","35","7","3","217","27","992","114","5","1","2","2","151111","11111111111111",,"1","0",,"4"
"TBWUK76","2016-09-01T08:00:00","26.20","35.10",,,"1","4","0","0","7","4",,"1","0",,"4",,,"97",,"0","10070","3",,"0","270","0","230","210",,,"1","1","A","A","A","A",,,,,,,"217","65","992","114","5","1","2","2","F17111","111A11111A1AA7",,"1","0",,"4"
"DARU","2016-09-01T12:00:00","23.40","36.80",,,"1","4","0","0","3","5","1","1","0","330","4","82",,"97","1","0","10050","1","10","0","340","0","290","272","1","290","0","0","0","9","0","0",,"7","3",,,,"217","36","992","114","5","1","2","2","111111","111111111111A1",,"1","0",,"4"
"WLMQ","2016-09-01T12:00:00","27.00","35.00",,,"1","4","0","0","3","3",,"1","0","300","4","98",,"97","5","0","10039","7","20","0","317","0","269","250","1","290","0","0","0","9","0","0",,"3","4","31","7","6","217","75","992","114","5","1","2","2","111111","11111111111111",,"1","0",,"4"
"WMPP","2016-09-01T12:00:00","20.80","38.40",,,"1","4","0","0","3","3",,"1","0","340","3","62",,"97","5","0","10033","7","22","0","331","0","287","271","1","317","1","1","1","5","0","0",,"3","1","34","5","2","217","8","992","114","5","1","2","2","111111","11111111111111",,"1","0",,"4"
"TBWUK76","2016-09-01T14:00:00","27.70","33.80",,,"1","4","0","0","7","4",,"1","0","320","4","154",,"97","31","0","10053","5","8","0","290","0","245","224","1","310","0","0","0","9","0","0",,"4","7","38","5","6","217","73","992","114","5","1","2","2","511111","11111111111111",,"1","0",,"4"
"DARU","2016-09-01T18:00:00","21.50","37.90",,,"1","4","0","0","4","5","1","1","0","280","4","77",,"97","3","2","10043","6",,"0","300",,,,"1","270","5","5","1","6","8","8",,"99",,,,,"217","17","992","114","5","1","2","1","21111F","1111111AA117A7",,"1","2",,"4"
