"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"VQHO7","2016-09-01T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","60","3","26",,"97","2","0","10004","8","5","0","320","0","300","293","1","318",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11111111118AA1",,"1","0",,,,"4"
"WDE9586","2016-09-01T00:00:00","28.00","50.60",,,"1","4","0","0","3","3",,"1","0","140","4","41",,"96","6",,"9990","5",,"0","330","0","290","276","1","350","0","0","0","9","A","A",,,,,,,"219","80","992","114","5","1","2","1","511121","1111A111111AA7",,"1",,,,,"4"
"TBWUK74","2016-09-01T03:00:00","25.20","56.50",,,"1","4","0","0","0","0",,"1","0","180","4","41",,"97",,"2","10024","3","30","0","320","0","300","293","1","330","3","3","4","5","5","4",,,,,,,"219","56","992","114","5","1","2","2","111111","111A1111111AA1",,"1","2",,,,"4"
"DGHX","2016-09-01T06:00:00","23.20","59.90",,,"1","4","0","0","3","4","1","1","0","150","3","77",,,"2","2",,"1","4","0","280","0","250","237","1","250","1","1","1","4","2","2",,"4","2",,,,"219","39","992","114","5","1","2","2","1111F1","11A11A111111A1",,"1","2",,,,"4"
"DIXJ2","2016-09-01T06:00:00","25.10","54.80",,,"1","4","0","0","0","0","1","1","0","210","3","21",,"97","2","0","10033","2","12","0","343",,,"248","1","338","0","0","0","9","0","0",,"99","1",,,,"219","54","992","114","5","1","2","2","111111","1111111A1113A1",,"1","0",,,,"4"
"WDE9586","2016-09-01T06:00:00","27.20","51.70",,,"1","4","0","0","3","3",,"1","0","180","4","31",,"96","5","2","10020","1",,"0","340","0","310","300","1","350","5","5","A","8","A","9",,,,,,,"219","71","992","114","5","1","2","2","111111","11111111111AA7",,"1","2",,,,"4"
"VQHO7","2016-09-01T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","110","3","26",,"96","5","0","10016","8","4","0","328","0","294","282","1","312","1","1","6","2","0","0",,"0","0","0",,,"219","56","992","114","5","1","2","2","111111","11111111111131",,"1","0","0",,,"4"
"TBWUK71","2016-09-01T11:00:00","24.90","57.20",,,"1","4","0","0","7","3",,"1","0","40","3","51",,"97","2","1","9993","0","10","0","340","0","300","286",,"330","4","3","2","5","4","A",,"5","2","16","5","1","219","47","992","114","5","1","2","2","111111","11111111111111",,"1","1",,,,"4"
"VQHO7","2016-09-01T12:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","90","3","62",,"97","5","1","10000","8","14","0","320","0","300","293","1","319","5","2","1","4","2","8",,,,"0",,,"219","56","992","114","5","1","2","2","111111","11111111111A31",,"1","1","0",,,"4"
"VQHO7","2016-09-01T14:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","150","3","46",,"97","5","0","9999","6","2","0","315","0","293","285","1","307","2","2","0","9","1","0",,"99","1","0",,,"219","56","992","114","5","1","2","2","111111","11111111111331",,"1","0","0",,,"4"
