"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"DCZP2","2016-09-01T06:00:00","20.40","70.70",,,"1","4","0","0","2","3",,"1","0","260","4","51","97","3","1","10070","4","0","0","300","0","255","239","1","270","2","2","0","9","6","0","6","2","26","14","6","221","0","992","114","5","1","2","2","111111","11111111111111","1","1","4"
"A8KY7","2016-09-05T06:00:00","20.10","71.30",,,"1","4","0","0","2","3",,"1","0","250","4","93","96","16","8","10115","2","12","0","272",,,"233",,,"7","6","7","2","7","A","5","4","25","8","5","221","1","992","114","5","1","2","2","F11111","1111111A1A1111","1","6","4"
"A8KY7","2016-09-05T18:00:00","20.80","72.60",,,"1","4","0","0","0","0",,"1","0","230","4","93","97","1","8","10110","1","8","0","270",,,"234",,,"0","0","0","9","0","0","5","5","22","8","6","221","2","992","114","5","1","2","1","F11111","1111111A1A1111","1","6","4"
"CQII","2016-09-09T06:00:00","20.60","70.20",,,"1","4","0","0","2","3",,"1","0","230","4","62","98","19","2","10125","0","3",,,,,,,,"6","6","4","5","6","A","4","4","23","5","4","221","0","992","114","5","1","2","2","FF111F","111111AAAA1111","1","2","4"
"CQII","2016-09-09T12:00:00","20.10","71.60",,,"1","4","0","0","2","3",,"1","0","180","4","62","97",,,"10098","3","7","0","290",,,,,,"1",,"1","A","1","A",,,,,,"221","1","992","114","5","1","2","2","F1111F","111AA11AAA1AA1","3",,"4"
"CQII","2016-09-10T12:00:00","20.50","72.40",,,"1","4","0","0","4","3",,"1","0","270","4","72","98","2","0","10083","6","2","0","282",,,"194","3","290","2","2","1","4","4","0","3","1","25","8","2","221","2","992","114","5","1","2","2","111114","1111111A111111","1","0","4"
"MASKSTID","2016-09-10T12:20:00","20.50","70.70",,,"1","4",,"0","2","4",,"2","0","270","4","77","97","0","0","10004","1","2",,"310","0","280","271","1","291","3",,"A","5","A","A",,,,,,"221","0","792","103","5","1","2","2","111111","11111111111AA1","1","2","4"
"V7YW5","2016-09-10T14:00:00","22.70","70.00",,,"1","4","0","0","0","0",,"1","0","280","4","93","97","2","2","10080",,"0","0","280","0","270","266",,,"2",,"1","2","A","A","4","4","28","8","4","221","20","992","114","5","1","2","1","F11111","111111111A1117","1","2","4"
"AUYQ","2016-09-14T00:00:00","21.60","72.40",,,"1","4","0","0","0","0",,"1","0","300","4","36","97","2","0",,"4","0","0","260",,,"253",,,"1",,,"A",,,,,,,,"221","12","992","114","5","1","2","1","F111F1","11111A1A1A1AA1","2","2","4"
"CQIV","2016-09-16T18:00:00","20.40","70.70",,,"1","4","0","0","2","4",,"1","0","300","4","77","97","1","1","10070","4","0","0","255","0","230","220","3","270",,,,"A",,,"10","1",,,,"221","0","992","114","5","1","2","1","111111","111111111181A1","1","1","4"
"3FMV6","2016-09-23T06:00:00","20.30","72.40",,,"1","4","0","0","4","4",,"1","0","320","3","41","98","3","2","10078","6","10","0","290","0","260","249","3","282","7","6","6","5","7","6","1","0","32","13","1","221","2","992","114","5","1","2","2","111111","11111111111131","1","2","4"
"V7OE5","2016-09-28T06:00:00","20.30","70.00",,,"1","4","0","0","2","3","1","1","0","290","4","77","98","2","0","10109","6","4","0","280","0","260","253","3",,"3","3","2","4","6","2","5","1",,,,"221","0","992","114","5","1","2","2","711111","111111111611A1","1","0","4"
"V7OE5","2016-09-28T09:00:00","20.20","70.90",,,"1","4","0","0","2","3","1","1","0","320","4","77","98","2","1","10097","5",,"0","298","0","293","292","3",,"3","3","1","1","8","4","3","4","32","3","4","221","0","992","114","5","1","2","2","711113","11111111191117","1","1","4"
"V7OE5","2016-09-30T17:00:00","20.10","70.30",,,"1","4","0","0","6","3","1","1","0","270","4","67","98","2","0","10088","2","33","0","270","0","255","250","3",,"2","2","1","3","4","2","4","1",,,,"221","0","992","114","5","1","2","1","711111","111111111611A1","1","0","4"
