"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"VTWS","2016-09-01T00:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T06:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T09:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T12:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T15:10:00","22.50","88.30",,,"1","4","2","0","2","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T18:10:00","22.50","88.30",,,"1","4","2","0","6","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-01T21:10:00","22.50","88.30",,,"1","4","2","0","3","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T00:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"MASKSTID","2016-09-02T06:10:00","22.50","88.30",,,"1","4",,"0","8","0","2","0",,"1",,,,,,,,,,,,"1",,,,,,,"A",,,"222","28","792","103","5","1","2","2","FCFFCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T12:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T15:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T18:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-02T21:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T00:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","12AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T06:10:00","22.50","88.30",,,"1","4","2","0","4","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T09:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T12:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T15:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T18:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","12AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-03T21:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T00:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","12AAA11A1A8AAA","6",,"4"
"9V9574","2016-09-04T06:00:00","21.00","87.90",,,"1","4","0","0","0","0","1","0","180","4","62","97","2","2","10070","6","10","3","310","0","270",,"260","3","300","8","8","6","6","2","2","222","17","992","114","5","1","2","2","111111","11111111111AA1","1","2","4"
"VTWS","2016-09-04T06:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T09:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T12:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T15:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"9V9574","2016-09-04T18:00:00","21.00","87.90",,,"1","4","0","0","0","0","1","0","320","4","93","97","2","2","10070","4","0","3","280","0","250",,"240","3","310","8","8","3","6","4","0","222","17","992","114","5","1","2","1","111211","11111111111AA1","1","2","4"
"VTWS","2016-09-04T18:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-04T21:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-05T00:00:00","22.50","88.30",,,"1","4","0","0",,,"1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","0",,"1","FCCCFC","11AAAA1A1A8AAA","6",,"4"
"MASKSTID","2016-09-05T00:10:00","22.50","88.30",,,"1","4",,"0","8","0","2","0",,"1",,,,,,,,,,,,"1",,,,,,,"A",,,"222","28","792","103","5","0",,"2","FCCCFC","11AAAA1A1A8AAA","6",,"4"
"VTWS","2016-09-05T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"9V9574","2016-09-05T06:00:00","21.00","87.90",,,"1","4","0","0","0","0","1","0",,"4",,"96","63","6","10070","4","0","3","280","0","250",,"240","3","300","8","8","3","4","7","0","222","17","992","114","5","1","2","2","115611","11111111111AA1","1","2","4"
"VTWS","2016-09-05T06:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-05T09:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-05T12:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-05T15:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-05T18:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-05T21:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-06T00:10:00","22.50","88.30",,,"1","4","2","0","4","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-06T03:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"9V9574","2016-09-06T06:00:00","21.00","87.90",,,"1","4","0","0","0","0","1","0","280","4","62","97","2","2","10090","1","20","3","300","0","260",,"250","3","300","8","7","3","4","7","3","222","17","992","114","5","1","2","2","111111","11111111111AA1","1","2","4"
"VTWS","2016-09-06T06:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-06T09:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-06T15:10:00","22.50","88.30",,,"1","4","2","0",,,"1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"VTWS","2016-09-06T18:10:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,"0",,,,,,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCFF","11AAAA1AAA8AAA","6",,"4"
"VTWS","2016-09-06T21:10:00","22.50","88.30",,,"1","4","2","0","4","0","1","0",,"1",,,,,,,,"0",,,,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA11A1A8AAA","6",,"4"
"9V9574","2016-09-06T22:00:00","21.00","87.90",,,"1","4","0","0","0","0","1","0","270","4","103","97","60","5","10090","4","0","3","280","0",,,,"3","300","8","8","3","4","4","7","222","17","992","114","5","0",,"1","113116","11111111911AA1","1","2","4"
