"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2ICJ3","2017-09-01T11:00:00","26.90","-116.10",,,"1","6","2","5","3","3",,"1",,"320","3","31","1","98","2","0","10083","4","0","8","240",,"210","194","3","217","0","0","0","9","0","0",,"5","2",,,,"238","66","798","172","5","1","2","1","111111","111111111111A1","5",,"0",,,,,,
"V7EG5","2017-09-01T11:00:00","25.00","-117.70",,,"1","6","2","5","3","3",,"1",,"350",,"77","1","96","3","2","10080","8","10","8","220","0","210","206","3","250","7","7","7","2","9","A","35","12","3","36","12","3","238","57","798","172","5","1","2","1","111111","11141111111111","5",,"2",,,,,,
"A8LP6","2017-09-01T15:00:00","21.20","-112.60",,,"1","6","2","5","7","4",,"1",,"230","4","154","1","98","2","2","10050","5","0","8","270",,,,"3","266","8","8","7","2","A","A",,"5","4","20","10","5","238","12","798","172","5","1","2","2","11551F","1111111AA11111","5",,"2",,,,,,
"A8LP6","2017-09-01T17:00:00","21.80","-113.40",,,"1","6","2","5","7","4",,"1",,"230","4","144","1","96","2","1","10060","0","10","8","260",,"250","246","3","260","3","3","6","3","1","0",,,"8","20","1","4","238","13","798","172","5","1","2","2","115511","11141111111311","5",,"1",,,,,,
"V7EG5","2017-09-01T18:00:00","24.10","-116.60",,,"1","6","2","5","3","3",,"1",,"330",,"67","1","98","3","2","10090","4","0","8","280","0","260","253","3","260","6","3","6","2","5","5","33","2","3","7","2","3","238","46","798","172","5","1","2","2","131111","11111111111111","5",,"2",,,,,,
"2ICJ3","2017-09-01T19:00:00","25.10","-115.20",,,"1","6","2","5","3","3",,"1",,"310","3","77","1","97","2","2","10078","4","0","8","241",,"232","228","3","226","6","5","7","3","7","A",,"3","1",,,,"238","55","798","172","5","1","2","2","111111","111111111111A1","5",,"2",,,,,,
"2ICJ3","2017-09-01T23:00:00","24.20","-114.70",,,"1","6","2","5","3","3",,"1",,"320","4","31","1","97","2","2","10058","7","5","8","230",,"210","199","3","227","8","8","7","2","A","A",,"5","2",,,,"238","44","798","172","5","1","2","2","111111","111111111111A1","5",,"2",,,,,,
"A8LP6","2017-09-02T00:00:00","22.90","-114.70",,,"1","4","0","0","7","4",,"1","0","250","4","103",,"98","2","1","10040","4","0","0","270",,,,"3","260","6","6","6","2","1","A",,"4","4","38","10","4","238","24","992","114","5","1","2","2","11312F","1111111AA11111",,"1","1",,,,,,"4"
"BKIF","2017-09-02T00:00:00","22.50","-117.50",,,"1","6","2","5","7","3",,"1",,"270","4","77","1","98",,"0","10090",,,"8","260",,"230","215","1","270","6","6","1","4","7","3",,"3","4","12","3","4","238","27","798","172","5","1","2","2","113111","111A111111111A","5",,"0",,,,"0","0",
"LAQQ7","2017-09-02T00:00:00","26.60","-118.40",,,"1","6","2","5","3","3",,"1",,"310","4","51","1","96","2","2","10105","7","10","8","240",,"220","211","1","230","7","7","4","1","8","8",,"12","2","35","10","2","238","68","798","172","5","1","2","2","111111","11141111111111","5",,"2",,,,,,
