"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"2100911","2017-09-01T00:00:00","24.10","-145.55",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,,"9","253",,,,,,,,,,,,,"235","45","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T00:00:00","26.67","-145.14",,,"1","4","2","5",,,"11",,,,,,,,,"10199",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T00:00:00","29.12","-145.86",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,,"235","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"WFLH","2017-09-01T00:00:00","27.30","-143.40",,,"1","6","2","5","2","4","1",,"90","4","67","1","98","2","0","10220","4","0","8","267",,"217","194","1","244","3",,"2","6","A","A",,"4","1","9","7","2","235","73","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,,,
"2100915","2017-09-01T00:10:00","26.36","-143.77",,,"1","4","2","5",,,"11",,,,,,,,,"10192",,,"8",,,,,"9","257",,,,,,,,,,,,,"235","63","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100575","2017-09-01T00:20:00","25.01","-149.23",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,,"9","266",,,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T00:30:00","26.67","-145.14",,,"1","4","2","5",,,"11",,,,,,,,,"10198",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100911","2017-09-01T01:00:00","24.10","-145.55",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,"9","253",,,,,,,,,,,,,"235","45","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201529","2017-09-01T01:00:00","26.68","-145.14",,,"1","4","2","5",,,"11",,,,,,,,,"10197",,,"8",,,,,"9","256",,,,,,,,,,,,,"235","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5100540","2017-09-01T01:00:00","29.12","-145.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"235","95","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2100915","2017-09-01T01:10:00","26.36","-143.78",,,"1","4","2","5",,,"11",,,,,,,,,"10191",,,"8",,,,,"9","257",,,,,,,,,,,,,"235","63","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2100575","2017-09-01T01:20:00","25.01","-149.23",,,"1","4","2","5",,,"11",,,,,,,,,"10179",,,"8",,,,,"9","265",,,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
