"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300869","2017-09-01T00:00:00","24.37","-59.60",,,"1","4","2","5",,,,"11",,,,,,,,,"10179",,,"8",,,,,"9","293",,,,,,,,,,,,,"244","49","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4100044","2017-09-01T00:00:00","21.60","-58.60",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10174","1","8","8","284",,,"234",,,,,,,,,,,,,,,"244","18","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,,,,,
"4101702","2017-09-01T00:00:00","26.76","-54.73",,,"1","4","2","5",,,,"11",,,,,,,,,"10179",,,"8",,,,,"9","288",,,,,,,,,,,,,"244","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101703","2017-09-01T00:00:00","25.66","-57.64",,,"1","4","2","5",,,,"11",,,,,,,,,"10184",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","57","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101713","2017-09-01T00:00:00","28.59","-57.54",,,"1","4","2","5",,,,"11",,,,,,,,,"10166",,,"8",,,,,"9","291",,,,,,,,,,,,,"244","87","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4101741","2017-09-01T00:00:00","23.65","-58.47",,,"1","4","2","5",,,,"11",,,,,,,,,"10184",,,"8",,,,,"9","293",,,,,,,,,,,,,"244","38","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4300577","2017-09-01T00:00:00","21.69","-53.94",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","283",,,,,,,,,,,,,"244","13","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"4400768","2017-09-01T00:00:00","26.73","-55.85",,,"1","4","2","5",,,,"11",,,,,,,,,"10182",,,"8",,,,,"9","288",,,,,,,,,,,,,"244","65","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"4400848","2017-09-01T00:00:00","28.60","-59.47",,,"1","4","2","5",,,,"11",,,,,,,,,"10167",,,"8",,,,,"9","293",,,,,,,,,,,,,"244","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,,
"DJQC2","2017-09-01T00:00:00","29.30","-56.60",,,"1","6","2","5","5","4",,"1",,"290","3","62","1","98","3","8","10162","3","9","8","277",,,"243","1","280","7",,"8","5","6","5",,"6","2","4","10","5","244","96","798","172","5","1","2","1","111111","1111111A111111",,"5",,"2",,,,,,,,,,,,
