"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"3201557","2017-09-01T00:00:00","22.56","-65.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","298",,,,,,,,,,,,,"243","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"3201560","2017-09-01T00:00:00","25.98","-64.26",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T00:00:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"60","1","50",,,,,"10170","3","7","8","287",,,"244",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,
"4100046","2017-09-01T00:00:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","100","1","10",,,,,"10182","3","7",,"289",,,"234","1","302",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,"4"
"4201510","2017-09-01T00:00:00","23.47","-65.99",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","303",,,,,,,,,,,,,"243","35","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201511","2017-09-01T00:00:00","26.22","-68.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,,"243","68","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201515","2017-09-01T00:00:00","25.26","-64.74",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400843","2017-09-01T00:00:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4401527","2017-09-01T00:00:00","22.11","-60.62",,,"1","4","2","5",,,,"11",,,,,,,,,"10178",,,"8",,,,,"9","293",,,,,,,,,,,,,"243","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401529","2017-09-01T00:00:00","25.15","-68.50",,,"1","4","2","5",,,,"11",,,,,,,,,"10181",,,"8",,,,,"9","301",,,,,,,,,,,,,"243","58","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
