"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"1301502","2017-09-01T00:00:00","23.18","-71.86",,,"1","4","2","5",,,,"11",,,,,,,,,"10174",,,"8",,,,,,"9","295",,,,,,,,,,,,,"242","31","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"3201555","2017-09-01T00:00:00","23.43","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","299",,,,,,,,,,,,,"242","30","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100010","2017-09-01T00:00:00","29.50","-78.10",,,"1","4",,"0",,,,"11","0","70","1","10",,,,,"10165","4","0",,"291",,,,"227","1","302",,,,,,,,,,,,,"242","98","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,"4"
"4100047","2017-09-01T00:00:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","40","1","30",,,,,"10179","4","0",,"290",,,,"248","1","304",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,"4"
"4100543","2017-09-01T00:00:00","25.58","-70.58",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","299",,,,,,,,,,,,,"242","50","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100544","2017-09-01T00:00:00","28.89","-72.99",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","82","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100545","2017-09-01T00:00:00","27.83","-71.84",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","300",,,,,,,,,,,,,"242","71","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4100730","2017-09-01T00:00:00","28.82","-72.84",,,"1","4","2","5",,,,"11",,,,,,,,,"10181",,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","82","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"4101540","2017-09-01T00:00:00","28.44","-78.51",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","309",,,,,,,,,,,,,"242","88","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101545","2017-09-01T00:00:00","28.82","-75.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","294",,,,,,,,,,,,,"242","85","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101547","2017-09-01T00:00:00","27.57","-78.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101548","2017-09-01T00:00:00","27.83","-78.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,,"242","78","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4101550","2017-09-01T00:00:00","28.49","-77.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","305",,,,,,,,,,,,,"242","87","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4201518","2017-09-01T00:00:00","26.25","-79.85",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,,"9","305",,,,,,,,,,,,,"242","69","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4400863","2017-09-01T00:00:00","29.49","-76.90",,,"1","4","2","5",,,,"11",,,,,,,,,"10162",,,"8",,,,,,"9","300",,,,,,,,,,,,,"242","96","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
