"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"1300001","2018-09-01T00:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","214",,"101",,,,,"10106",,,"8","267",,,,"9","272",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T00:00:00","17.29","-28.63",,,"1","3","2","5",,,"11",,,,,,,,,"10131",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T00:00:00","17.50","-25.17",,,"1","5","2","5","1","4","1",,,,,,,,,"10106","2","17","8","256",,,"232",,,,,,,,,,,,,,,"283","75","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"PCBZ","2018-09-01T00:00:00","10.60","-25.10",,,"1","4","0","0","2","3","1","0","280","4","62",,"98","25","8",,"4","0","0","235","0","225","221","1","250","8",,"5","6","A","A",,,,,,,"283","5","992","114","5","1","2","1","221161","11111111111AA1",,,"1","2",,,,,,,,,"4"
"1300001","2018-09-01T01:00:00","11.48","-22.98",,,"1","5","2","5",,,"11","5","217",,"117",,,,,"10099",,,"8","268",,,,"9","272",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111311","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T01:00:00","17.28","-28.64",,,"1","3","2","5",,,"11",,,,,,,,,"10125",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T01:00:00","17.71","-25.02",,,"1","5","2","5","1","4","1",,,,,,,,,"10106","2","17","8","255",,,"230",,,,,,,,,,,,,,,"283","75","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
"1300001","2018-09-01T02:00:00","11.48","-22.98",,,"1","5","2","5",,,"11",,"220",,"109",,,,,"10098",,,"8","267",,,,"9","271",,,,,,,,,,,,,"283","12","798","172","6","0",,"1","111111","11AAA11AA1AAAA",,,,,,,,,,,,,
"4101709","2018-09-01T02:00:00","17.28","-28.66",,,"1","3","2","5",,,"11",,,,,,,,,"10120",,,,,,,,,,,,,,,,,,,,,,"283","78","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"EUCDE18","2018-09-01T02:00:00","17.91","-24.87",,,"1","5","2","5","1","4","1",,,,,,,,,"10100","7","1","8","253",,,"225",,,,,,,,,,,,,,,"283","74","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,,
