"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"5102534","2018-09-01T00:00:00","23.18","-179.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","283",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T00:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140","8","9","0","278",,,"1","268",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","282",,,"1","268",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10140",,,"0","280",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","281",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","281",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10139",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10138",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137",,,"0","281",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T00:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137",,,"0","283",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T01:00:00","23.18","-179.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","284",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T01:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137","6","11","0","286",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10138",,,"0","286",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137",,,"0","284",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137",,,"0","289",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10137",,,"0","286",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","289",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","290",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","283",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","284",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T01:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","285",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T02:00:00","23.18","-179.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","285",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T02:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135","6","8","0","282",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","282",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","284",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","287",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","285",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","286",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","287",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","286",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","288",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T02:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","286",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T03:00:00","23.17","-179.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","284",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T03:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134","6","6","0","286",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","287",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","284",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","283",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","282",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","280",,,"1","269",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,"0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0",,,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","1FFF1F","1AAAA1AAA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T03:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","281",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T04:00:00","23.17","-179.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","285",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"SNDP5","2018-09-01T04:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135","4","0","0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","280",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","276",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","276",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","275",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","270",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10135",,,"0","274",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","274",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"SNDP5","2018-09-01T04:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10136",,,"0","275",,,"1","271",,,,"A",,,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,,"4"
"5102534","2018-09-01T05:00:00","23.17","-179.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","284",,,,,,,,,,,,,"232","39","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
