"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2201566","2018-09-01T00:00:00","21.11","117.31",,,"1","4","2","5",,,"11",,,,,,,,,"10102",,,"8",,,,,,"9","282",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"DGZL","2018-09-01T00:00:00","23.70","118.40",,,"1","6","2","5","1","4","1",,,,"0","1","98","1","2","10114","2","11","8","275","0","249",,"238","1","250","7","7","8","5","A","A","36","0","0","23","10","3","225","38","798","172","5","1","2","2","111111","12111111111111",,"5",,"2",,,,,
"2201566","2018-09-01T01:00:00","21.12","117.32",,,"1","4","2","5",,,"11",,,,,,,,,"10106",,,"8",,,,,,"9","282",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T02:00:00","21.12","117.33",,,"1","4","2","5",,,"11",,,,,,,,,"10107",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T03:00:00","21.12","117.34",,,"1","4","2","5",,,"11",,,,,,,,,"10103",,,"8",,,,,,"9","283",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"DGZL","2018-09-01T03:00:00","24.50","119.30",,,"1","6","2","5","1","4","1",,"210",,"62","1","97","60","6","10122","1","8","8","270","0","260",,"256","1","270","8","8","7","2","A","A","21","8","2",,,,"225","49","798","172","5","1","2","2","111111","111111111111A1",,"5",,"2",,,,,
"2201566","2018-09-01T04:00:00","21.12","117.34",,,"1","4","2","5",,,"11",,,,,,,,,"10097",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T05:00:00","21.12","117.32",,,"1","4","2","5",,,"11",,,,,,,,,"10092",,,"8",,,,,,"9","285",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"2201566","2018-09-01T06:00:00","21.14","117.28",,,"1","4","2","5",,,"11",,,,,,,,,"10087",,,"8",,,,,,"9","284",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"DEBE2","2018-09-01T06:00:00","22.10","119.20",,,"1","6","2","5","2","4","1",,"200","4","21","1","97","3","1","10110","4","0","8","310","0","290",,"284","1","290","6","6","5","5","7","6",,"2","1",,,,"225","29","798","172","5","1","2","2","111111","111111111111A1",,"5",,"1",,,,,
