"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"2201552","2018-09-01T00:00:00","21.26","138.14",,,"1","4","2","5",,,"11",,,,,,,,,"10009",,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T00:00:00","23.99","135.33",,,"1","4","2","5",,,"11",,,,,,,,,"10100",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","35","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T00:00:00","28.76","138.83",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","287",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T00:00:00","25.92","134.83",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T00:02:00","20.81","130.11",,,"1","4","2","5",,,"11",,,,,,,,,"10101",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T01:00:00","21.25","138.13",,,"1","4","2","5",,,"11",,,,,,,,,"9995",,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF2F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T01:00:00","24.00","135.34",,,"1","4","2","5",,,"11",,,,,,,,,"10098",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T01:00:00","20.83","130.11",,,"1","4","2","5",,,"11",,,,,,,,,"10101",,,"8",,,,,,"9","292",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T01:00:00","28.77","138.81",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T01:00:00","25.92","134.85",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201553","2018-09-01T02:00:00","24.00","135.34",,,"1","4","2","5",,,"11",,,,,,,,,"10095",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T02:00:00","20.85","130.11",,,"1","4","2","5",,,"11",,,,,,,,,"10098",,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T02:00:00","28.78","138.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T02:00:00","25.91","134.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","286",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T03:00:00","20.87","130.12",,,"1","4","2","5",,,"11",,,,,,,,,"10090",,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T03:00:00","28.79","138.79",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T03:00:00","25.90","134.88",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","287",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"C6AB8","2018-09-01T03:00:00","27.50","133.30",,,"1","6","2","5","1","3","1",,"70","4","51","1","98","3","0","10098","1","10","8","320",,"270",,"250","7","270","4","2","2","5","2","2",,"5","3","18","5","2","227","73","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,
"2201553","2018-09-01T03:01:00","24.01","135.35",,,"1","4","2","5",,,"11",,,,,,,,,"10089",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T03:02:00","21.24","138.10",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","290",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF6F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T04:00:00","24.02","135.36",,,"1","4","2","5",,,"11",,,,,,,,,"10083",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T04:00:00","20.88","130.13",,,"1","4","2","5",,,"11",,,,,,,,,"10083",,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T04:00:00","28.81","138.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","295",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T04:00:00","25.89","134.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","287",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201552","2018-09-01T04:02:00","21.24","138.08",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","289",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF6F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T05:00:00","24.02","135.36",,,"1","4","2","5",,,"11",,,,,,,,,"10075",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T05:00:00","28.82","138.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T05:00:00","25.88","134.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","287",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201554","2018-09-01T05:01:00","20.90","130.13",,,"1","4","2","5",,,"11",,,,,,,,,"10079",,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T05:02:00","21.23","138.06",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","289",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF6F","1AAAA1AAA1AAAA","4",,,,,,,
"2201552","2018-09-01T06:00:00","21.23","138.03",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","288",,,,,,,,,,,,,"227","18","798","172","7","0",,"2","1FFF6F","1AAAA6AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T06:00:00","20.92","130.14",,,"1","4","2","5",,,"11",,,,,,,,,"10071",,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T06:00:00","28.85","138.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","293",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"5201628","2018-09-01T06:00:00","25.87","134.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","287",,,,,,,,,,,,,"227","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
"2201553","2018-09-01T06:01:00","24.03","135.37",,,"1","4","2","5",,,"11",,,,,,,,,"10065",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201553","2018-09-01T07:00:00","24.04","135.37",,,"1","4","2","5",,,"11",,,,,,,,,"10059",,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","45","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"2201554","2018-09-01T07:00:00","20.93","130.15",,,"1","4","2","5",,,"11",,,,,,,,,"10070",,,"8",,,,,,"9","294",,,,,,,,,,,,,"227","0","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,
"5201625","2018-09-01T07:00:00","28.87","138.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","291",,,,,,,,,,,,,"227","88","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,
