"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2301633","2018-09-01T00:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","300",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T01:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","298",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T02:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,,"219","38","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T03:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T04:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T05:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","328",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T06:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","334",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T07:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","345",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","5FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T08:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","335",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"2301633","2018-09-01T09:00:00","23.69","58.16",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","329",,,,,,,,,,,,,"219","38","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
