"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"V7DW6","2018-09-01T06:00:00","21.90","65.70",,,"1","6","2","5","3","3","1",,"260","4","72","1","96","3","0","10060","4","0","8","260",,"245",,"238","3","270","8",,"7","2","7","7",,"5","4","20","10","5","220","15","798","172","5","1","2","2","111111","11141111111111","5",,"0",,,,,,,,
"9V9375","2018-09-01T09:00:00","21.00","60.00",,,"1","6","2","5","8","3","1",,"230","3","93","1","96","3","1","10040",,,"8","240",,"220",,"210","7","255","6",,"A","A","A","A",,"5","8","19","10","3","220","10","798","172","5","1","2","2","111111","1114111111111A","5",,"1",,,,,,,,
"WMKN","2018-09-01T12:00:00","24.40","64.50",,,"1","6","2","5","3","3","1",,"270","4","103","1","97",,,"10062","7","4","8","300",,"260",,"243","1","270",,,"A",,"A","A",,"1","5","22","3","6","220","44","798","172","5","1","2","2","111111","111AA111118111","5",,,,,,,,,,
"VRGM8","2018-09-01T20:00:00","21.30","60.60",,,"1","6","2","5","9","4","1",,"200","4","108","1","98","0","0","10046","7","10","8","240",,,,,"1","250","0","0","0","9","0","0",,"7","5","16","6","5","220","10","798","172","5","1","2","1","11111F","1111111AA11111","5",,"0",,,,,,,,
"VRGM8","2018-09-02T00:00:00","22.20","60.10",,,"1","6","2","5","1","4","1",,"220","4","123","1","98","2","0","10034","6","2","8","250",,"232",,"223","1","230","2","2","1","4","0","0",,"4","3",,,,"220","20","798","172","5","1","2","1","211111","111111111111A1","5",,"0",,,,,,,,
"DJNY2","2018-09-02T04:00:00","24.70","62.30",,,"1","5","2","5","6","3","1",,"240","4","62","1","97","2","1","10060","7","5",,,,,,,,,"4","4","0","8","4","0",,"2","1","21","4","3","220","42","798","172","5","1","2","2","FF111F","111111AAAA1111","5",,"1",,,,,,,,
"9HSJ7","2018-09-03T00:00:00","21.90","67.30",,,"1","6","2","5","7","4","1",,"230","4","108","1","97","1","2","9991","2","3","8","270",,"250",,"240","1","273","4","4","4","5","9","A",,"7","4",,,,"220","17","798","172","5","1","2","1","111111","111111111111A1","5",,"0",,,,,,,,
"9HSJ7","2018-09-03T06:00:00","22.60","65.60",,,"1","6","2","5","7","4","1",,"280","4","134","1","97","2","0","10015","0","14","8","290",,"260",,"250","1","277","4","5","9","5","9","A",,"5","5","24","6","5","220","25","798","172","5","1","2","2","113111","11111111114111","5",,"2","24",,,,,,,
"VRZA8","2018-09-03T08:00:00","24.10","62.70",,,"1","4","0","0",,,"1","0","140","3","62",,,"2",,"10090",,,"0","280",,,,,"3","290","3",,,"A",,,,,"2","16",,"4","220","42","992","114","5","1","2","2","11111F","11A1A11AA1133A",,"1",,,,,,,,,"4"
"AVWF","2018-09-03T12:00:00","21.60","65.30",,,"1","5","2","5","5","3","1",,"260",,"21","1","96","1","0","10070","2","40","8","270",,,,"240",,,"5","5","A","5","A","A",,,,,,,"220","15","798","172","5","1","2","2","F11111","1114111A1A1AA1","5",,"0",,,,,,,,
