"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"V7CS8","2018-09-08T21:00:00","22.60","70.00",,,"1","6","2","5","9","0","1",,"250","4","62","1","97","2","0","10020",,,"8","270",,"260","256","1",,"7","7","7","7","7","8","0","3","0","27","3","1","221","20","798","172","5","0",,"1","611111","1111111116131A","5",,"0",,
"VRGM8","2018-09-08T22:00:00","20.40","70.80",,,"1","6","2","5","2","4","1",,"240","3","72","1","98","2","0","10070","3","3","8","260",,"230","215","1","263","2","2","2","4","0","0",,"3","1",,,,"221","0","798","172","5","0",,"1","111111","111111111111A1","5",,"0",,
"V7CS8","2018-09-09T21:00:00","22.60","70.00",,,"1","6","2","5","9","0","1",,"230","4","51","1","97","2","2","10050",,,"8","270",,"260","256","1",,"7","7","7","7","7","7","0","3","0","23","3","1","221","20","798","172","5","0",,"1","611111","1111111111131A","5",,"2",,
"VRGM8","2018-09-09T22:00:00","20.00","72.30",,,"1","6","2","5","1","3","1",,"220","3","46","1","98","2","0","10101","3","3","8","278",,"248","235","1","285","0","0","0","9","0","0",,"3","1",,,,"221","2","798","172","5","0",,"1","111111","111111111111A1","5",,"0",,
"VRGM8","2018-09-10T06:00:00","20.80","72.60",,,"1","6","2","5","9","0","1",,"210","3","62","1","98","3","1","10102","4","0","8","290",,,,"1","280","4","4","3","4","2","1",,"6","3","22","5","2","221","2","798","172","5","1","2","2","11111F","1111111AA11111","5",,"1",,
"VRGM8","2018-09-11T13:00:00","20.70","72.50",,,"1","6","2","5","4","3","1",,"280","3","51","1","97","2","2","10112","4","0","8","290",,"250","232","1","287","7","3","1","5","0","9",,"3","2","23","4","1","221","2","798","172","5","1","2","2","111111","11111111111111","5",,"2",,
"TBWUK89","2018-09-13T10:00:00","22.70","70.00",,,"1","6","2","5","9","0","1",,"270","4","77","1","98","2",,"10053","8","23","8","290",,"270","262","1","280","3","3","1","4","4","7",,"7","1","26","7","1","221","20","798","172","5","1","2","2","111111","1111A111111111","5",,,,
"TBWUK89","2018-09-14T13:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","51",,"97","2","0","10088","3","3","0","270","0","260","256",,,"1","0","0","9","0","5",,"6","2","0",,,"221","20","992","114","5","1","2","2","F11111","111111111A1131",,"1","0","0","4"
"TBWUK89","2018-09-15T04:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","260","4","41",,"97","3",,"10124","2",,"0","290","0","270","262",,,"3","2","6","2","7","0",,"4","1","0",,,"221","20","992","114","5","1","2","2","F11111","1111A1111A1137",,"1",,"0","4"
"TBWUK89","2018-09-15T08:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","51",,"98","1",,"10102","8","24","0","310","0","280","269","1","280","2","2","1","3","4","7",,,,"0",,,"221","20","992","114","5","1","2","2","111111","1111A111111A31",,"1",,"0","4"
"TBWUK89","2018-09-15T17:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","250","4","93",,"97","2","0","10114","0",,"0","270","0","260","256",,,"1","1","6","2","0","0",,"2","1","0",,,"221","20","992","114","5","1","2","1","F11111","111111111A1137",,"1","0","0","4"
"TBWUK89","2018-09-17T05:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","51",,"97","2",,"10104","0",,"0","270","0","260","256",,,"2","2","6","2","0","0",,"5","1","0",,,"221","20","992","114","5","1","2","2","F11111","1111A1111A1137",,"1",,"0","4"
"TBWUK89","2018-09-17T10:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","62",,"98","0",,"10051","7",,"0","310","0","280","269","1","280","0","0","0","9","0","0",,"8","1","0",,,"221","20","992","114","5","1","2","2","111111","1111A111111137",,"1",,"0","4"
"TBWUK89","2018-09-17T17:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","72",,"97","2","0","10094","0",,"0","280","0","265","259",,,"2","2","6","2","0","0",,"4","1","0",,,"221","20","992","114","5","1","2","1","F11111","111111111A1137",,"1","0","0","4"
"TBWUK89","2018-09-18T13:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","82",,"97","2","0","10086","3","6","0","290","0","270","262",,,"0","0","0","9","0","0",,"6","3","0",,,"221","20","992","114","5","1","2","2","F11111","111111111A1131",,"1","0","0","4"
"TBWUK89","2018-09-19T11:00:00","22.70","70.00",,,"1","5","2","5","9","0","1",,"260","4","57","1","97","2","0","10077","5","19","8","280",,"270","266",,,"0","0","0","9","0","0",,"4","3",,,,"221","20","798","172","5","1","2","2","F11111","111111111A11A1","5",,"0",,
"TBWUK89","2018-09-19T17:00:00","22.70","70.00",,,"1","4","0","0","0","0","1","0","270","4","87",,"97","2","0","10094","0",,"0","280","0","270","266",,,"1","1","6","2","0","0",,"3","1","0",,,"221","20","992","114","5","1","2","1","F11111","111111111A1137",,"1","0","0","4"
"TBWUK89","2018-09-20T06:00:00","22.70","70.10",,,"1","5","2","5","9","0","1",,"80","4","5","1","97","2","0","10104",,,"8","300",,"280","273",,,"0","0","0","9","0","0",,,,,,,"221","20","798","172","5","1","2","2","F11111","111111111A1AAA","5",,"0",,
