"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"VVFH","2018-09-01T00:00:00","20.90","88.20",,,"1","5","2","5","9","0","1",,"240","4","72","1","98","3","2","10017","1","1","8","300",,"290",,,"6","5","1","5","3","1","222","8","798","172","5","1","2","1","F11111","1111111A1A1AA1",,"5",,"2",
"VTGB","2018-09-01T03:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"VTGB","2018-09-01T09:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"VTGB","2018-09-01T15:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"MASKSTID","2018-09-01T20:55:00","20.00","86.60",,,"1","4",,"0",,,"2","0",,"1",,,,,,"10020",,,,"281","1","248",,,,,,"A",,,"222","6","792","103","5","1","2","1","F1FF11","11AAA11A1A8AAA",,,"6",,"4"
"VTGB","2018-09-01T21:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"AVEY","2018-09-02T00:00:00","20.90","87.70",,,"1","5","2","5","9","0","1",,"210","3","82","1","96",,,"10028","1","10","8","280",,"253",,,"5","3","8","6","5","9","222","7","798","172","5","1","2","1","F11111","111AA11A1A1AA1",,"5",,,
"VVFH","2018-09-02T00:00:00","20.90","88.20",,,"1","5","2","5","9","0","1",,"220","4","62","1","98","3","2","10027","4","0","8","280",,"270",,,"5","4","6","6","2","0","222","8","798","172","5","1","2","1","F11111","1111111A1A1AA1",,"5",,"6",
"VTGB","2018-09-02T03:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"VWSM","2018-09-02T08:45:00","20.30","86.70",,,"1","4","2","0",,,"1","0","340","1","40",,,,,"10024",,,"0","262","1","251",,,,,,"A",,,"222","6","992","114","5","1","2","2","F11111","11AAA11A1A8AAA",,,"6",,"4"
"VTGB","2018-09-02T09:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,,,,,,,,"A",,,"222","28","992","114","5","1","2","2","FCCCFF","11AAAA9AAA8AAA",,,"6",,"4"
"VTGB","2018-09-02T15:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,"1",,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCCC","11AAA19A9A8AAA",,,"6",,"4"
"VTGB","2018-09-02T21:09:00","22.50","88.30",,,"1","4","2","0","8","0","1","0",,"1",,,,,,,,,"0",,,,,,,,,"A",,,"222","28","992","114","5","1","2","1","FCCCFF","11AAAA9AAA8AAA",,,"6",,"4"
