"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"OWWS2","2019-09-01T00:00:00","23.10","-111.40",,,"1","4","0","0","3","4","1","0","330","3","57",,"98","2","0","10161","7","25","0","280",,,,"3","270","3","3","4","5","6","0",,"4","2","32","6","3","238","31","992","114","5","1","2","2","11111F","1111111AA11111",,,"1","0",,,,,,,,,,"4"
"D5HE9","2019-09-01T13:00:00","22.30","-110.50",,,"1","5","2","5","3","4","1",,"230","3","26","1","97","19","2","10180","1","10","8","260",,"230","215",,,"6",,"7","2","A","A",,"9","3",,,,"238","20","798","172","5","1","2","1","F11131","111111111A11A1",,"5",,"2",,,,,,,,,,
"3EUS","2019-09-01T16:00:00","28.30","-115.90",,,"1","4","0","0","4","4","1","0","60","4","10",,"98","2",,"10120","4","0","0","190","0","180","174",,"190","8","8","A","A","A","A",,"1","0","33","6","2","238","85","992","114","5","1","2","2","111111","1111A111111111",,,"1",,,,,,,,,,,"4"
"3EED2","2019-09-02T06:00:00","24.60","-118.50",,,"1","6","2","5","7","3","1",,"210","4","77","1","98","3",,"10134","0","13","8","220",,"200","190","3",,"2",,"A","8","A","A",,,,,,,"238","48","798","172","5","1","2","1","711511","1111A111111AA1",,"5",,,,,,,,,,,,
"3EUS","2019-09-02T07:00:00","24.50","-112.50",,,"1","4","0","0","3","4","1","0","240","4","41",,"98","2",,"10120","4","0","0","240","0","230","225",,"250",,,,"A",,,,"2","0",,,,"238","42","992","114","5","1","2","1","111111","1111A1111181A1",,,"1",,,,,,,,,,,"4"
"OYRO2","2019-09-02T08:00:00","26.70","-118.00",,,"1","6","2","5","7","4","1",,"70","4","51","1","98","2","0","10125",,,"8","250",,,,"7","210","3","3","1","5","A","A",,,,,,,"238","68","798","172","5","1","2","1","11111F","1111111AA11AAA",,"5",,"0",,,,,,,,,,
"3EUS","2019-09-02T09:00:00","23.90","-111.90",,,"1","6","2","5","3","5","1",,"220","4","36","1","98",,,"10120",,,"8","250",,"220","205","7","200","3","3","1","4","4","4",,"1","2",,,,"238","31","798","172","5","1","2","1","411111","111AA1111111AA",,"5",,,,,,,,,,,,
"OYRO2","2019-09-02T12:00:00","27.30","-119.00",,,"1","4","0","0","7","4","1","0","340","4","51",,"98","0","0","10145",,,"0","205","0","180","164",,"210",,,,"A",,,,"2","1","24","10","3","238","79","992","114","5","1","2","1","111111","1111111111811A",,,"1","0",,,,,,,,,,"4"
"WDDI","2019-09-02T12:00:00","22.00","-111.20",,,"1","6","2","5","7","4","1",,"30","3","51","1","98","2",,"10127","7","4","8","260",,"250","246","1","273",,,"A",,"A","A",,"3","1",,,,"238","21","798","172","5","1","2","1","111111","1111A1111181A1",,"5",,,,,,,,,,,,
"WDDI","2019-09-02T18:00:00","23.10","-112.30",,,"1","4","0","0","7","4","1","0","10","3","26",,"98","1","0","10146","4","0","0","280","0","260","252","1","270","2",,"0","9","0","8",,"1","0","31","4","1","238","32","992","114","5","1","2","2","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
"WDDI","2019-09-03T00:00:00","24.50","-113.30",,,"1","4","0","0","7","4","1","0","280","3","15",,"98","2","2","10133","7","7","0","282","0","243","225","1","264","6","6","1","5","0","0",,"1","0","38","14","1","238","43","992","114","5","1","2","2","111111","11111111111131",,,"1","2",,,,,,,,,,"4"
"WDI3177","2019-09-03T00:00:00","29.10","-116.80",,,"1","4","0","0","2","1","1","0","240","4","15",,"98","1","0","10157","6","19","0","250","0","220","204","1","210","1","1","0","9","4","0",,"1","1","38","12","3","238","96","992","114","5","1","2","2","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
