"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","IND_FOR_PRECIP"
"SNDP5","2019-09-01T00:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10187","4","0","0","295",,,"1","292",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,"4"
"WTEF","2019-09-01T00:00:00","26.00","-174.00",,,"1","4","0","0",,,"1","0","130","4","51",,,,,"10180",,,"0","282",,"233",,,,,,"A",,,,,,,,"232","64","992","114","5","1","2","2","F11111","11AAA11A1A8AAA",,,"3",,,,"4"
"SNDP5","2019-09-01T00:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10187",,,"0","299",,,"1","292",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10186",,,"0","300",,,"1","292",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"9V5027","2019-09-01T00:18:00","22.77","-178.00",,,"1","5","2","5","2","3","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232","28","798","172","5","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,"5",,,,,
"SNDP5","2019-09-01T00:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10186",,,"0",,,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","1FFF1F","1AAAA1AAA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10186",,,"0","303",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10186",,,"0","303",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10186",,,"0","302",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10185",,,"0","303",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T00:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10184",,,"0","303",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"2100915","2019-09-01T00:50:00","29.74","-170.20",,,"1","4","2","5",,,"11",,,,,,,,,"10188",,,"8",,,,"9","288",,,,,,,,,,,,"232","90","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"SNDP5","2019-09-01T00:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10184",,,"0","303",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","13FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10183","8","7","0","303",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","13FF1F","1AAAA11AA18AA1","31",,"6",,,,"4"
"WTEF","2019-09-01T01:00:00","26.10","-174.00",,,"1","4","0","0",,,"1","0","110","4","46",,,,,"10177",,,"0","294",,"238",,,,,,"A",,,,,,,,"232","64","992","114","5","1","2","2","F11111","11AAA11A1A8AAA",,,"3",,,,"4"
"SNDP5","2019-09-01T01:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10183",,,"0","299",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","295",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","293",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","292",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","291",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","291",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:42:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10182",,,"0","289",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T01:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10181",,,"0","289",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"2100915","2019-09-01T01:50:00","29.74","-170.20",,,"1","4","2","5",,,"11",,,,,,,,,"10185",,,"8",,,,"9","290",,,,,,,,,,,,"232","90","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"SNDP5","2019-09-01T01:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","289",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:00:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180","8","9","0","290",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AA1","31",,"6",,,,"4"
"WTEF","2019-09-01T02:00:00","26.00","-174.10",,,"1","4","0","0",,,"1","0","110","4","51",,,,,"10172",,,"0","288",,"230",,,,,,"A",,,,,,,,"232","64","992","114","5","1","2","2","F11111","11AAA11A1A8AAA",,,"3",,,,"4"
"SNDP5","2019-09-01T02:06:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","289",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:12:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","288",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:18:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10181",,,"0","292",,,"1","293",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:24:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","291",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:30:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","291",,,"1","294",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"SNDP5","2019-09-01T02:36:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","292",,,"1","296",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"9V5027","2019-09-01T02:40:00","22.69","-177.50",,,"1","5","2","5","2","3","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232","27","798","172","5","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,"5",,,,,
"SNDP5","2019-09-01T02:48:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","274",,,"1","296",,,,"A",,,,,,,,"232","87","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"2100915","2019-09-01T02:50:00","29.74","-170.20",,,"1","4","2","5",,,"11",,,,,,,,,"10183",,,"8",,,,"9","291",,,,,,,,,,,,"232","90","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"SNDP5","2019-09-01T02:54:00","28.22","-177.36",,,"1","4","2","5",,,"5",,,,,,,,,"10180",,,"0","273",,,"1","296",,,,"A",,,,,,,,"232","87","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,"4"
"1401675","2019-09-01T03:00:00","28.28","-179.19",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","298",,,,,,,,,,,,"232","89","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"3201562","2019-09-01T03:00:00","22.74","-178.48",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","293",,,,,,,,,,,,"232","28","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
