"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"4600929","2020-09-01T00:00:00","25.57","-160.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","246",,,,,,,,,,,,"233","50","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5100001","2020-09-01T00:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","90","1","90",,,,,"10180","8","11",,"271",,"230","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100101","2020-09-01T00:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","90","1","100",,,,,"10172","8","11",,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100001","2020-09-01T00:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10179",,,,"271",,"228","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T00:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10172",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T00:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10179",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T00:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10171",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T00:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10178",,,,"271",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T00:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10170",,,,"271",,"228","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T00:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10176",,,,"271",,"230","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T00:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10169",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T00:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10175",,,,"272",,"230","1","271",,,,,,,"8","4","9","11","2","233","42","793","103","6","0",,"2","111111","11AAA11A11A11A",,,"6",,"4"
"5100101","2020-09-01T00:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10167",,,,"271",,"227","1","271",,,,,,,"8","4","19","14","1","233","42","793","103","6","0",,"2","111111","11AAA11A11A13A",,,"6",,"4"
"4600929","2020-09-01T01:00:00","25.55","-160.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","246",,,,,,,,,,,,"233","50","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5100001","2020-09-01T01:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10174","8","13",,"270",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100101","2020-09-01T01:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10167","7","16",,"271",,"227","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100001","2020-09-01T01:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10174",,,,"270",,"233","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T01:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","90","1","90",,,,,"10166",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T01:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10174",,,,"269",,"234","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T01:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10166",,,,"271",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T01:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10173",,,,"270",,"234","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T01:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10166",,,,"271",,"228","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T01:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","90","1","90",,,,,"10172",,,,"271",,"234","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T01:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10165",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T01:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","90","1","90",,,,,"10172",,,,"271",,"233","1","271",,,,,,,"8","4","9","13","1","233","42","793","103","6","0",,"2","111111","11AAA11A11A13A",,,"6",,"4"
"5100101","2020-09-01T01:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10164",,,,"271",,"226","1","271",,,,,,,"8","4","15","15","2","233","42","793","103","6","0",,"2","111111","11AAA11A11A13A",,,"6",,"4"
"4600929","2020-09-01T02:00:00","25.56","-160.91",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","246",,,,,,,,,,,,"233","50","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5100001","2020-09-01T02:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10171","6","15",,"271",,"234","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100101","2020-09-01T02:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","90","1","90",,,,,"10164","6","13",,"271",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100001","2020-09-01T02:10:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10171",,,,"270",,"233","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T02:10:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10164",,,,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T02:20:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10171",,,,"271",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T02:20:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10164",,,,"271",,"231","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T02:30:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","90",,,,,"10172",,,,"270",,"232","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T02:30:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10163",,,,"270",,"233","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100001","2020-09-01T02:40:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10172",,,,"270",,"230","1","271",,,,,,,,,,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11AAAA",,,"6",,"4"
"5100101","2020-09-01T02:40:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10164",,,,"271",,"231",,,,,,,,,,,,,,"233","42","793","103","6","0",,"2","F11111","11AAA11A1AAAAA",,,"6",,"4"
"5100001","2020-09-01T02:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10172",,,,"270",,"230","1","271",,,,,,,"7","4","9","8","3","233","42","793","103","6","0",,"2","111111","11AAA11A11A11A",,,"6",,"4"
"5100101","2020-09-01T02:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","80","1","100",,,,,"10164",,,,"270",,"232","1","271",,,,,,,"8","5",,,,"233","42","793","103","6","0",,"2","111111","11AAA11A11A1AA",,,"6",,"4"
"1401675","2020-09-01T03:00:00","29.83","-166.62",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","272",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"2101528","2020-09-01T03:00:00","24.10","-162.14",,,"1","4","2","5",,,"11",,,,,,,,,"10164",,,"8",,,,"9","272",,,,,,,,,,,,"233","42","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"3201764","2020-09-01T03:00:00","27.26","-161.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","272",,,,,,,,,,,,"233","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4301608","2020-09-01T03:00:00","29.40","-168.91",,,"1","4","2","5",,,"11",,,,,,,,,"10206",,,"8",,,,"9","276",,,,,,,,,,,,"233","98","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4301611","2020-09-01T03:00:00","27.58","-163.38",,,"1","4","2","5",,,"11",,,,,,,,,"10199",,,"8",,,,"9","274",,,,,,,,,,,,"233","73","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4600929","2020-09-01T03:00:00","25.57","-160.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","246",,,,,,,,,,,,"233","50","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4601655","2020-09-01T03:00:00","20.40","-166.83",,,"1","4","2","5",,,"11",,,,,,,,,"10133",,,"8",,,,"9","282",,,,,,,,,,,,"233","6","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601712","2020-09-01T03:00:00","24.85","-160.75",,,"1","4","2","5",,,"11",,,,,,,,,"10177",,,"8",,,,"9","270",,,,,,,,,,,,"233","40","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601779","2020-09-01T03:00:00","23.02","-163.53",,,"1","4","2","5",,,"11",,,,,,,,,"10155",,,"8",,,,"9","274",,,,,,,,,,,,"233","33","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"5100001","2020-09-01T03:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","100",,,,,"10172","6","7",,"271",,"229","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100101","2020-09-01T03:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","100",,,,,"10164","6","9",,"270",,"233","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5102598","2020-09-01T03:00:00","25.47","-167.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","274",,,,,,,,,,,,"233","57","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5102704","2020-09-01T03:00:00","28.05","-161.03",,,"1","4","2","5",,,"11",,,,,,,,,"10209",,,"8",,,,"9","271",,,,,,,,,,,,"233","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"5102733","2020-09-01T03:00:00","28.01","-161.05",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,"9","275",,,,,,,,,,,,"233","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601714","2020-09-01T03:03:00","24.90","-163.42",,,"1","4","2","5",,,"11",,,,,,,,,"10174",,,"8",,,,"9","274",,,,,,,,,,,,"233","43","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"5100001","2020-09-01T03:10:00","24.45","-162.00",,,"1","5","2","5",,,"11","5","78",,"101",,,,,"10173",,,"8","271",,"230","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100101","2020-09-01T03:10:00","24.36","-162.07",,,"1","5","2","5",,,"11","5","69",,"101",,,,,"10164",,,"8","270",,"232","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100001","2020-09-01T03:20:00","24.45","-162.00",,,"1","5","2","5",,,"11","5","79",,"101",,,,,"10172",,,"8","271",,"227","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100101","2020-09-01T03:20:00","24.36","-162.07",,,"1","5","2","5",,,"11","5","69",,"100",,,,,"10164",,,"8","269",,"231","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100001","2020-09-01T03:30:00","24.45","-162.00",,,"1","5","2","5",,,"11","5","78",,"101",,,,,"10173",,,"8","271",,"227","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100101","2020-09-01T03:30:00","24.36","-162.07",,,"1","5","2","5",,,"11","5","69",,"105",,,,,"10165",,,"8","270",,"229","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100001","2020-09-01T03:40:00","24.45","-162.00",,,"1","5","2","5",,,"11","5","78",,"101",,,,,"10173",,,"8","271",,"223","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100101","2020-09-01T03:40:00","24.36","-162.07",,,"1","5","2","5",,,"11","5","69",,"101",,,,,"10165",,,"8","270",,"229","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
"5100001","2020-09-01T03:50:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","80","1","90",,,,,"10174",,,,"271",,"228","1","271",,,,,,,"8","4","14","15","2","233","42","793","103","6","1","2","2","111111","11AAA11A11A13A",,,"6",,"4"
"5100101","2020-09-01T03:50:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","90",,,,,"10166",,,,"270",,"230","1","271",,,,,,,"5","3","10","8","4","233","42","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,"4"
"1401675","2020-09-01T04:00:00","29.82","-166.62",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","271",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"2101528","2020-09-01T04:00:00","24.10","-162.15",,,"1","4","2","5",,,"11",,,,,,,,,"10167",,,"8",,,,"9","272",,,,,,,,,,,,"233","42","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"3201764","2020-09-01T04:00:00","27.25","-161.28",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","272",,,,,,,,,,,,"233","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4301608","2020-09-01T04:00:00","29.41","-168.91",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,"9","275",,,,,,,,,,,,"233","98","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4301611","2020-09-01T04:00:00","27.59","-163.39",,,"1","4","2","5",,,"11",,,,,,,,,"10202",,,"8",,,,"9","274",,,,,,,,,,,,"233","73","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4600929","2020-09-01T04:00:00","25.55","-160.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","246",,,,,,,,,,,,"233","50","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4601655","2020-09-01T04:00:00","20.40","-166.84",,,"1","4","2","5",,,"11",,,,,,,,,"10135",,,"8",,,,"9","281",,,,,,,,,,,,"233","6","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601712","2020-09-01T04:00:00","24.86","-160.76",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,"9","270",,,,,,,,,,,,"233","40","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601714","2020-09-01T04:00:00","24.92","-163.42",,,"1","4","2","5",,,"11",,,,,,,,,"10177",,,"8",,,,"9","273",,,,,,,,,,,,"233","43","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4601779","2020-09-01T04:00:00","23.02","-163.53",,,"1","4","2","5",,,"11",,,,,,,,,"10159",,,"8",,,,"9","273",,,,,,,,,,,,"233","33","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"5100001","2020-09-01T04:00:00","24.50","-162.00",,,"1","4",,"0",,,"11","0","70","1","100",,,,,"10175","5","0",,"271",,"227","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5100101","2020-09-01T04:00:00","24.40","-162.10",,,"1","4",,"0",,,"11","0","70","1","90",,,,,"10166","5","0",,"270",,"230","1","271",,,,,,,,,,,,"233","42","793","103","6","1","2","2","111111","11AAA11A11AAA1",,,"6",,"4"
"5102598","2020-09-01T04:00:00","25.47","-167.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","273",,,,,,,,,,,,"233","57","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5102704","2020-09-01T04:00:00","28.05","-161.03",,,"1","4","2","5",,,"11",,,,,,,,,"10210",,,"8",,,,"9","271",,,,,,,,,,,,"233","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"5100001","2020-09-01T04:10:00","24.45","-162.00",,,"1","5","2","5",,,"11","5","78",,"102",,,,,"10176",,,"8","271",,"222","9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,
