"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"PINX","2021-09-01T02:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,"220","4","31","1","98",,,"10075","2","7","8","280",,,,,,"7","7","A","3","A","A",,,,,,,"239","5","798","172","5","1","2","1","F1111F","111AA11AAA1AA1","5",,,,,
"PINX","2021-09-01T10:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","21",,"98","0","2","10080","7","12","0","257",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","2","0",,"4"
"PINX","2021-09-01T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","50","4","26",,"98","0","2","10080","7","9","0","252",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11111F","1111111AA18131",,"1","2","0",,"4"
"PINX","2021-09-01T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10080","7","6","0","252",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-01T13:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","350","4","31",,"98","2","2","10085","2","7","0","248",,,,"1","300","6","4","3","6","7","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11131",,"1","2","0",,"4"
"PINX","2021-09-01T15:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","10",,"98","2","1","10090","2",,"0","270",,,"173","1","250","3",,"1","6","7","A",,"0","0","0",,,"239","5","992","114","5","1","2","2","411114","1111111A611137",,"1","1","0",,"4"
"PINX","2021-09-01T22:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","260","4","77",,"98","2","2","10078",,"14","0","302",,,,"1","300","6","5","3","6","0","8",,"4","1","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11137",,"1","2","0",,"4"
"PINX","2021-09-01T23:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","260","4","46",,"98","3","2","10077","7","7","0","302",,,,"1","300","7","7","3","6","0","0",,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11131",,"1","2","0",,"4"
"DFDG2","2021-09-02T00:00:00","20.50","-107.30",,,"1","6","2","5","7","5","1",,"30","4","57","1","99","2","0","10076","5","7","8","290",,"250","235","1","300","4","3","1","5","4","0",,"2","1","16","12","2","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"0",,,
"DFDG2","2021-09-02T06:00:00","21.60","-109.10",,,"1","6","2","5","7","4","1",,"240",,"67","1","98","2",,"10100","1","10","8","270",,,"206","1","290","2",,"1","5","A","A","24","12","1",,,,"239","19","798","172","5","0",,"1","111111","1111A11A1113A1","5",,,,,
"PINX","2021-09-02T10:00:00","20.60","-105.20",,,"1","5","2","5","9","0","1",,,"4",,"1","98","0","2","10094","7","14",,,,,,,,,,"A",,"A","A","0","0","0",,,,"239","5","798","172","5","1","2","1","FFFF1F","121111AAAA81A1","5",,"2",,,
"PINX","2021-09-02T11:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10095","7","7","0","252",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-02T12:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0",,"4",,,"98","0","2","10094","7","3","0","254",,,,"1","300",,,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","1","11FF1F","1111111AA18331",,"1","2","0",,"4"
"PINX","2021-09-02T13:00:00","20.60","-105.20",,,"1","4","0","0","0","0","1","0","10","4","31",,"98","0","2","10097","2","3","0","254",,,,"1","300","7",,,"A",,,,"0","0","0",,,"239","5","992","114","5","1","2","2","11111F","1111111AA11131",,"1","2","0",,"4"
