"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"4602710","2021-09-01T00:00:00","23.69","-121.31",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","235",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T00:00:00","28.81","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10103",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T00:00:00","29.11","-123.64",,,"1","4","2","5",,,"11",,,,,,,,,"10105",,,"8",,,,,"9","200",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T00:00:00","22.65","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","231",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"9V9923","2021-09-01T00:00:00","24.30","-121.60",,,"1","6","2","5","9",,"1",,"300","3","41","1","98","2",,"10150",,,"8","270",,,,"3","273","7",,"A","A","A","A",,,"1",,,,"237","41","798","172","5","1","2","2","53111F","1111A11AA113AA",,"5",,,,
"4602715","2021-09-01T01:00:00","28.81","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10102",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T01:00:00","29.11","-123.64",,,"1","4","2","5",,,"11",,,,,,,,,"10104",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T01:00:00","22.65","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","231",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T02:00:00","28.81","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10101",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T02:00:00","29.11","-123.64",,,"1","4","2","5",,,"11",,,,,,,,,"10105",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T02:00:00","22.65","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","230",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602710","2021-09-01T03:00:00","23.66","-121.32",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","234",,,,,,,,,,,,,"237","31","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T03:00:00","28.80","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10105",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T03:00:00","29.11","-123.63",,,"1","4","2","5",,,"11",,,,,,,,,"10110",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T03:00:00","22.65","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","230",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T04:00:00","28.80","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10114",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T04:00:00","29.11","-123.63",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T04:00:00","22.65","-127.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T05:00:00","28.80","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10116",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T05:00:00","29.11","-123.62",,,"1","4","2","5",,,"11",,,,,,,,,"10117",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T05:00:00","22.64","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602710","2021-09-01T06:00:00","23.63","-121.33",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","234",,,,,,,,,,,,,"237","31","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T06:00:00","28.79","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10116",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T06:00:00","29.10","-123.62",,,"1","4","2","5",,,"11",,,,,,,,,"10117",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T06:00:00","22.64","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"H3BV","2021-09-01T06:00:00","29.40","-120.40",,,"1","6","2","5","3","4","1",,"280","4","46","1","98","2","1","10100","1","10","8","190",,"170","157","1","200","7","5","7","4","7","8",,"4","1",,,,"237","90","798","172","5","1","2","1","111111","111111111111A1",,"5",,"1",,
"4602715","2021-09-01T07:00:00","28.79","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T07:00:00","29.10","-123.62",,,"1","4","2","5",,,"11",,,,,,,,,"10115",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T07:00:00","22.64","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T08:00:00","28.79","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T08:00:00","29.09","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10114",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T08:00:00","22.64","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"9V9923","2021-09-01T08:00:00","25.60","-124.10",,,"1","6","2","5","9",,"1",,"330","3","51","1","98",,,"10180",,,"8","200",,,,"3","216","8",,"A","A","A","A",,,"1",,,,"237","54","798","172","5","1","2","1","11111F","111AA11AA113AA",,"5",,,,
"4602710","2021-09-01T09:00:00","23.62","-121.34",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","233",,,,,,,,,,,,,"237","31","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T09:00:00","28.78","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10109",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T09:00:00","29.09","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T09:00:00","22.64","-127.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T10:00:00","28.78","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10109",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T10:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10112",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T10:00:00","22.64","-127.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T11:00:00","28.78","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10109",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T11:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10111",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T11:00:00","22.64","-127.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602710","2021-09-01T12:00:00","23.62","-121.36",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","233",,,,,,,,,,,,,"237","31","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T12:00:00","28.77","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10108",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T12:00:00","22.64","-127.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602718","2021-09-01T12:01:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10111",,,"8",,,,,"9","199",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602715","2021-09-01T13:00:00","28.77","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10113",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T13:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10114",,,"8",,,,,"9","198",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T13:00:00","22.64","-127.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T14:00:00","28.77","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10117",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T14:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10119",,,"8",,,,,"9","198",,,,,,,,,,,,,"237","93","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T14:00:00","22.64","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","228",,,,,,,,,,,,,"237","27","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602710","2021-09-01T15:00:00","23.63","-121.36",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","233",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T15:00:00","28.76","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10123",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T15:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10125",,,"8",,,,,"9","198",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T15:00:00","22.65","-127.26",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","228",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602715","2021-09-01T16:00:00","28.76","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10129",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T16:00:00","22.64","-127.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","228",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"9V9923","2021-09-01T16:00:00","26.80","-126.60",,,"1","6","2","5","9",,"1",,"20","3","62","1","98","2",,"10170",,,"8","220",,,,"3","212","8",,"A","A","A","A",,,"2",,,,"237","66","798","172","5","1","2","2","11111F","1111A11AA113AA",,"5",,,,
"4602718","2021-09-01T16:01:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10131",,,"8",,,,,"9","198",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602715","2021-09-01T17:00:00","28.75","-121.72",,,"1","4","2","5",,,"11",,,,,,,,,"10132",,,"8",,,,,"9","204",,,,,,,,,,,,,"237","81","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602718","2021-09-01T17:00:00","29.08","-123.61",,,"1","4","2","5",,,"11",,,,,,,,,"10135",,,"8",,,,,"9","198",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5102629","2021-09-01T17:00:00","22.64","-127.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","228",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602710","2021-09-01T18:00:00","23.64","-121.36",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","234",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
