"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","IND_FOR_PRECIP"
"2101599","2021-09-01T00:00:00","22.43","-157.22",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","277",,,,,,,,,,,,,"234","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"3201761","2021-09-01T00:00:00","22.18","-154.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","266",,,,,,,,,,,,,"234","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4601767","2021-09-01T00:00:00","27.35","-155.18",,,"1","4","2","5",,,"11",,,,,,,,,"10163",,,"8",,,,,,"9","258",,,,,,,,,,,,,"234","75","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"4601768","2021-09-01T00:00:00","25.86","-153.92",,,"1","4","2","5",,,"11",,,,,,,,,"10150",,,"8",,,,,,"9","259",,,,,,,,,,,,,"234","53","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"4601772","2021-09-01T00:00:00","29.27","-151.82",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,,"9","249",,,,,,,,,,,,,"234","91","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"4601834","2021-09-01T00:00:00","20.88","-156.67",,,"1","3","2","5",,,"11",,,,,,,,,"10099",,,,,,,,,,,,,,,,,,,,,,,"234","6","798","172","7","0",,"2","FFFF2F","1AAAA1AAAAAAAA","4",,,,,,,,,,
"4601841","2021-09-01T00:00:00","26.63","-158.55",,,"1","4","2","5",,,"11",,,,,,,,,"10149",,,"8",,,,,,"9","270",,,,,,,,,,,,,"234","68","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"5100000","2021-09-01T00:00:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"90",,"51",,,,,"10138",,,"8","249",,,,"205","9","259",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,,,
"5100201","2021-09-01T00:00:00","21.70","-158.10",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,,"1","264",,,,"A",,,,"7","1",,,,"234","18","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,,,"4"
"5100205","2021-09-01T00:00:00","21.00","-156.40",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,,"1","265",,,,"A",,,,"8","2",,,,"234","16","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,,,"4"
