"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1301697","2021-09-01T00:00:00","21.22","-47.79",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","277",,,,,,,,,,,,,"245","17","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4101546","2021-09-01T00:00:00","24.20","-49.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","277",,,,,,,,,,,,,"245","49","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4101644","2021-09-01T00:00:00","29.53","-46.58",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","284",,,,,,,,,,,,,"245","96","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4102620","2021-09-01T00:00:00","28.65","-43.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","279",,,,,,,,,,,,,"245","83","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4401763","2021-09-01T00:00:00","26.81","-44.72",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","285",,,,,,,,,,,,,"245","64","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4401764","2021-09-01T00:00:00","28.96","-44.48",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","279",,,,,,,,,,,,,"245","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"5102617","2021-09-01T00:00:00","28.52","-47.70",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,"9","282",,,,,,,,,,,,,"245","87","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"6203730","2021-09-01T00:00:00","25.75","-42.98",,,"1","4","2","5",,,"11",,,,,,,,,"10195",,,"8",,,,"9","279",,,,,,,,,,,,,"245","52","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"6203737","2021-09-01T00:00:00","29.41","-41.35",,,"1","4","2","5",,,"11",,,,,,,,,"10203",,,"8",,,,"9","275",,,,,,,,,,,,,"245","91","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"V7WS5","2021-09-01T00:00:00","28.30","-48.00",,,"1","6","2","5","8","3","1",,"200","3","26","1","97",,,"10162","4","0","8","270","250","241","3","300","5","4","8","7","4","0",,"8","4","36","11","4","245","88","798","172","5","1","2","1","311111","111AA111111111",,"5",,,
