"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"9V5905","2021-09-01T00:00:00","27.40","34.10",,,"1","6","2","5","3","4","1",,"320","3","154","1","97","2",,"10040","7","40","8","290",,"250","232","1","290",,,"0",,"0","0",,,,,,,"217","74","798","172","5","0",,"1","113111","1111A111118AA1","5",,,,,,,,
"WMKA","2021-09-01T00:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10093","6","4","8","258",,"233","223",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T01:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10095","7","5","8","261",,,"220",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T01:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10091","6","5","8","254",,"231","222",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T02:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10097","7","2","8","257",,,"222",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T02:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10095","5","0","8","249",,"228","219",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T03:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10099","2","2","8","255",,,"222",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T03:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10097","1","6","8","246",,"227","219",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T04:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10101","2","5","8","256",,,"221",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-01T04:00:00","26.20","34.70",,,"1","5","2","5","9",,"1",,,,,,,,,"10038","0","3",,,,,,,,,,"A",,"A","A",,,,,,,"217","64","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T05:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10100","2","3","8","259",,,"220",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T05:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10097","8","0","8","256",,"233","224",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA7","5",,,,,,,,
"WSEP","2021-09-01T05:00:00","26.00","34.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10038","0","5",,,,,,,,,,"A",,"A","A",,,,,,,"217","64","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"9HA4902","2021-09-01T06:00:00","23.80","37.00",,,"1","6","2","5","3","2","1",,"340","4","77","1","97",,,"10100",,,"8","310",,"270","257","7","280",,,"1",,"A","A",,,"3",,,,"217","37","798","172","5","1","2","2","111111","111AA1111183AA","5",,,,,,,,
"EUMDE50","2021-09-01T06:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10104","2","4","8","263",,,"221",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"9V5905","2021-09-01T07:00:00","25.60","35.40",,,"1","6","2","5","3","4","1",,"300","3","154","1","96","10",,"10040","2","20","8","290",,"270","262","1","290",,,,,,,,,,"38",,,"217","55","798","172","5","0",,"2","115111","1111A11111AA71","5",,,"38",,,,,
"EUMDE50","2021-09-01T07:00:00","29.81","32.55",,,"1","5","2","5","0","0","1",,,,,,,,,"10103","2","3","8","268",,,"216",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T07:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10099","0","1","8","295",,"253","237",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WSEP","2021-09-01T07:00:00","25.60","35.20",,,"1","5","2","5","9",,"1",,,,,,,,,"10043","1","8",,,,,,,,,,"A",,"A","A",,,,,,,"217","55","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T08:00:00","29.81","32.55",,,"1","5","2","5","1","0","1",,,,,,,,,"10102","2","2","8","281",,,"217",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T08:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10096","8","3","8","313",,"261","242",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T09:00:00","29.82","32.55",,,"1","5","2","5","8","1","1",,,,,,,,,"10096","7","6","8","295",,,"202",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T09:00:00","29.80","32.50",,,"1","5","2","5","9","0","1",,,,,,,,,"10089","8","11","8","328",,"262","238",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,,,,,
"WSEP","2021-09-01T09:00:00","25.10","35.50",,,"1","5","2","5","3","3","1",,,,,,,,,"10038","8","3",,,,,,,,,,"A",,"A","A",,,,,,,"217","55","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE50","2021-09-01T10:00:00","29.95","32.58",,,"1","5","2","5","1","2","1",,"10",,"69",,,,,"10090","7","12","8","320",,,"185",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F31112","11AAA11A1AAAA1","5",,,,,,,,
"WMKA","2021-09-01T10:00:00","29.80","32.50",,,"1","5","2","5","7","1","1",,,,,,,,,"10082","8","16","8","339",,"266","239",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,,,,,
"9V5905","2021-09-01T12:00:00","25.00","35.90",,,"1","6","2","5","3","4","1",,"320","3","98","1","96","10",,"10040","0","10","8","320",,"290","279","1","300",,,"1",,"0","0",,"8","3",,,,"217","55","798","172","5","0",,"2","111111","1111A1111181A1","5",,,,,,,,
"WSEP","2021-09-01T12:00:00","24.50","35.90",,,"1","6","2","5","3","3","1",,"350","4","77","1","97",,,"10028","8","10","8","300",,"300","300","1","300",,,"A",,"A","A",,"5","6","33","5","6","217","45","798","172","5","1","2","2","111113","111AA111118111","5",,,,,,,,
"9V5905","2021-09-01T15:00:00","23.70","36.60",,,"1","6","2","5","3","4","1",,"320","3","82","1","96","10","2","10020","4","0","8","320",,"300","293","1","310","6","6","6","2","A","A",,,"2",,,,"217","36","798","172","5","0",,"2","111111","111111111113A1","5",,"2",,,,,,
"WLZ9WHS","2021-09-01T16:00:00","21.40","39.10",,,"1","6","2","5","9","0","1",,"50","3","10",,,,,"10029","3","1","8","320",,"280","265","7","326",,,"A",,"A","A",,,,,,,"217","19","798","172","5","1","2","1","111111","11AAA111118AA1","5",,,,,,,,
"9HA4902","2021-09-01T18:00:00","22.20","38.10",,,"1","6","2","5","3","2","1",,"50","4","15","1","97",,,"10070",,,"8","310",,"270","257","7","280",,,"1",,"A","A",,,"2",,,,"217","28","798","172","5","1","2","1","111111","111AA1111183AA","5",,,,,,,,
"9V5905","2021-09-01T19:00:00","22.70","37.20",,,"1","6","2","5","3","4","1",,"310","3","57",,,,,"10010","2","10","8","300",,"290","287","1","320",,,,,,,,,,"38",,,"217","27","798","172","5","0",,"1","111121","11AAA11111AA71","5",,,"38",,,,,
"WSEP","2021-09-01T20:00:00","22.90","36.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10029","0","8",,,,,,,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE46","2021-09-01T22:00:00","29.91","32.55",,,"1","5","2","5","5","2","1",,"10",,"51",,,,,"10101","7","7","8","263",,,"211",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-01T22:00:00","22.60","37.10",,,"1","5","2","5","3","3","1",,,,,,,,,"10027","8","0",,,,,,,,,,"A",,"A","A",,,,,,,"217","27","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AA7","5",,,,,,,,
"9V5905","2021-09-01T23:00:00","21.70","37.70",,,"1","6","2","5","3","4","1",,"100","3","41","1","96","10",,"10030","2","20","8","310",,"300","297","1","320",,,"0",,"0","0",,,,,,,"217","17","798","172","5","0",,"1","111111","1111A111118AA1","5",,,,,,,,
"EUMDE46","2021-09-01T23:00:00","29.72","32.53",,,"1","5","2","5","4","4","1","5","355",,"91",,,,,"10099","7","10","8","263",,,"210",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"9HA3538","2021-09-02T00:00:00","20.00","39.00",,,"1","4","0","0",,,"1","0","160","4","62",,"97","1",,"10020",,,"0","310",,,,"1","317","3",,,"A",,,,,"1","34",,"1","217","9","992","114","5","1","2","1","11111F","1111A11AA1133A",,"3",,,,,,,"4"
"EUMDE46","2021-09-02T00:00:00","29.45","32.58",,,"1","5","2","5","3","4","1",,"340",,"88",,,,,"10093","7","16","8","263",,,"222",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T01:00:00","29.19","32.72",,,"1","5","2","5","3","4","1",,"350",,"115",,,,,"10077","7","24","8","260",,,"219",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T02:00:00","28.92","32.84",,,"1","5","2","5","4","4","1",,"350",,"146",,,,,"10072","7","27","8","257",,,"217",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F11411","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T02:00:00","21.80","37.50",,,"1","6","2","5","3","3","1",,"290","4","62",,,,,"10025","0","2","8",,,,,"1","290",,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","1","1F111F","11AAA1AAA18AA1","5",,,,,,,,
"9V5905","2021-09-02T03:00:00","20.70","38.20",,,"1","6","2","5","4","4","1",,"220","3","87","1","97","3","2","10030","4","0","8","310",,"290","283","1","320","8","8","6","3","A","A",,,"2","38",,,"217","8","798","172","5","0",,"1","111311","11111111111371","5",,"2","38",,,,,
"EUMDE46","2021-09-02T03:00:00","28.65","32.95",,,"1","5","2","5","3","4","1","5","335",,"134",,,,,"10072","7","20","8","260",,,"217",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F11211","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T03:00:00","21.60","37.60",,,"1","6","2","5","3","3","1",,"240","4","41","1","97",,,"10038","3","9","8","250",,"240","236","1","320",,,"6",,"1","A",,"2","4",,,,"217","17","798","172","5","1","2","1","141111","111AA1111181A1","5",,,,,,,,
"9V7989","2021-09-02T04:00:00","20.90","38.30",,,"1","6","2","5","7","4","1",,"240","4","67","1","97","2","2","10069",,,"8","300",,"280","274","7","300","6","6","6","3","1","7","0","2","0","33","6","1","217","8","798","172","5","0",,"2","111111","1111111111131A","5",,"2",,,,,,
