"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"XCBJ8","2022-09-01T00:00:00","24.90","-109.70",,,"1","5","2","5","1","4","1",,,,,,,,,"10068","6","17","8","292",,"257","244",,,,,"A",,"A","A",,,,,,,"239","49","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T01:00:00","25.10","-109.50",,,"1","5","2","5","1","4","1",,,,,,,,,"10065","8","9","8","294",,"258","245",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T02:00:00","25.30","-109.30",,,"1","5","2","5","1","4","1",,"130","4","57","1","98","0",,"10062","8","7","8","280",,"251","240",,,"6",,"A","A","A","6",,"6","1","9","12","1","239","59","798","172","5","1","2","1","F11111","1111A1111A1131","5",,,,,,
"XCBJ8","2022-09-01T03:00:00","25.50","-109.10",,,"1","5","2","5","1","4","1",,,,,,,,,"10077","3","9","8","272",,"245","235",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T04:00:00","25.50","-109.00",,,"1","5","2","5","1","3","1",,,,,,,,,"10091","3","26","8","267",,"241","230",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBR6","2022-09-01T04:00:00","23.20","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10079","3","10","8","296",,"260","247",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T05:00:00","25.50","-109.00",,,"1","5","2","5","1","2","1",,,,,,,,,"10089","0","27","8","269",,"240","228",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T06:00:00","25.50","-109.00",,,"1","5","2","5","1","1","1",,,,,,,,,"10086","0","9","8","269",,"241","230",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBR6","2022-09-01T06:00:00","23.20","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10089","0","16","8","283",,"259","250",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
"XCBJ8","2022-09-01T07:00:00","25.50","-109.00",,,"1","5","2","5","9","0","1",,,,,,,,,"10085","6","6","8","277",,"245","233",,,,,"A",,"A","A",,,,,,,"239","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,
