"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"1301573","2022-09-01T00:00:00","28.86","-75.39",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,,"242","85","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"1301578","2022-09-01T00:00:00","28.03","-73.51",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,,"242","83","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"1501654","2022-09-01T00:00:00","22.34","-73.96",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242","23","798","172","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"1501723","2022-09-01T00:00:00","25.88","-71.47",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","51","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,
"3EBL5","2022-09-01T00:00:00","20.00","-70.80",,,"1","5","2","5","8","1","1",,,,,,,,,"10144","3","1","8","281",,"270",,"267",,,,,"A",,"A","A",,,,,,,"242","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"3ETA7","2022-09-01T00:00:00","25.20","-75.70",,,"1","5","2","5","8","3","1",,,,,,,,,"10171","3","4","8","283",,"259",,"250",,,,,"A",,"A","A",,,,,,,"242","55","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"3FOC5","2022-09-01T00:00:00","29.40","-80.00",,,"1","5","2","5","7","3","1",,,,,,,,,"10147","5","2","8","287",,"259",,"250",,,,,"A",,"A","A",,,,,,,"241","90","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"4100010","2022-09-01T00:00:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","178",,"25",,,,,"10151",,,"8","293",,,,"251","9","305",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,
"4100047","2022-09-01T00:00:00","27.50","-71.50",,,"1","4","2","0","0","0","11","0","361","1","0",,,,,"10152",,,"0","285",,,,"229","1","300",,,,"A",,,,,,,,,"242","71","993","114","6","1","2","1","111111","11AAA11A118AAA",,,"6",,,,,,"4"
"4101726","2022-09-01T00:00:00","22.64","-70.38",,,"1","4","2","5",,,"11",,,,,,,,,"10152",,,"8",,,,,,"9","296",,,,,,,,,,,,,"242","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"4102636","2022-09-01T00:00:00","26.75","-74.36",,,"1","4","2","5",,,"11",,,,,,,,,"10164",,,"8",,,,,,"9","301",,,,,,,,,,,,,"242","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"4401556","2022-09-01T00:00:00","21.20","-73.02",,,"1","3","2","5",,,"11",,,,,,,,,"10141",,,,,,,,,,,,,,,,,,,,,,,"242","13","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,
"4401854","2022-09-01T00:00:00","23.46","-73.39",,,"1","4","2","5",,,"11",,,,,,,,,"10151",,,"8",,,,,,"9","295",,,,,,,,,,,,,"242","33","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"6202613","2022-09-01T00:00:00","29.43","-78.07",,,"1","4","2","5",,,"11",,,,,,,,,"10149",,,"8",,,,,,"9","303",,,,,,,,,,,,,"242","98","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"6202614","2022-09-01T00:00:00","21.00","-70.83",,,"1","3","2","5",,,"11",,,,,,,,,"10146",,,,,,,,,,,,,,,,,,,,,,,"242","10","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,
"6203631","2022-09-01T00:00:00","21.73","-71.54",,,"1","3","2","5",,,"11",,,,,,,,,"10149",,,,,,,,,,,,,,,,,,,,,,,"242","11","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,
"6203635","2022-09-01T00:00:00","25.58","-76.34",,,"1","4","2","5",,,"11",,,,,,,,,"10157",,,"8",,,,,,"9","298",,,,,,,,,,,,,"242","56","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"6203636","2022-09-01T00:00:00","23.18","-75.11",,,"1","3","2","5",,,"11",,,,,,,,,"10158",,,,,,,,,,,,,,,,,,,,,,,"242","35","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,
"C6FA2","2022-09-01T00:00:00","20.20","-70.60",,,"1","5","2","5","8","2","1",,,,,,,,,"10133","3","4","8","297",,"277",,"271",,,,,"A",,"A","A",,,,,,,"242","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6FG4","2022-09-01T00:00:00","26.10","-77.80",,,"1","5","2","5","6","2","1",,,,,,,,,"10142","5","2","8","297",,"263",,"251",,,,,"A",,"A","A",,,,,,,"242","67","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6FN4","2022-09-01T00:00:00","25.40","-77.00",,,"1","5","2","5","9",,"1",,,,,,,,,"10175","0","2","8","285",,"263",,"256",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6FN5","2022-09-01T00:00:00","25.90","-77.80",,,"1","5","2","5","6","4","1",,,,,,,,,"10154","5","4","8","292",,"265",,"256",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6FV9","2022-09-01T00:00:00","25.90","-78.10",,,"1","5","2","5","7","1","1",,,,,,,,,"10146","5","0","8","288",,"252",,"239",,,,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6UZ7","2022-09-01T00:00:00","26.20","-76.10",,,"1","5","2","5","1","2","1",,,,,,,,,"10167","3","1","8","269",,"249",,"242",,,,,"A",,"A","A",,,,,,,"242","66","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6WW4","2022-09-01T00:00:00","25.20","-77.30",,,"1","5","2","5","8","1","1",,,,,,,,,"10148","3","1","8","277",,"252",,"243",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6XS7","2022-09-01T00:00:00","25.80","-77.30",,,"1","5","2","5","2","3","1",,,,,,,,,"10152","5","2","8","292",,"264",,"254",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"C6YR6","2022-09-01T00:00:00","25.30","-77.20",,,"1","5","2","5","1","2","1",,,,,,,,,"10161","3","1","8","269",,"244",,"234",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"HPYE","2022-09-01T00:00:00","24.80","-76.00",,,"1","5","2","5","1","1","1",,,,,,,,,"10165","3","3","8","281",,"269",,"265",,,,,"A",,"A","A",,,,,,,"242","46","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"KPDL","2022-09-01T00:00:00","25.60","-74.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10164","3","7","8","303",,"268",,"256",,,,,"A",,"A","A",,,,,,,"242","54","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"KS1078","2022-09-01T00:00:00","28.40","-71.40",,,"1","4","0","0","2","1","1","0","230","4","21",,,,,"10168","5","5","0","287","1","249",,"235",,,,,,"A",,,,,,,"8","2","242","81","992","114","5","1","2","1","F11111","11AAA1111A8A71",,,"3",,,,,,"4"
"NWS1968","2022-09-01T00:00:00","28.60","-78.90",,,"1","6","2","5","7","4","1",,"170","3","26",,,,,"10155","5","1","8","293",,"253",,"238","1","302",,,"A",,"A","A",,,,,,,"242","88","798","172","5","1","2","1","111111","11AAA111118AA1",,"5",,,,,,,
"SPGF1","2022-09-01T00:00:00","26.70","-79.00",,,"1","4","2","5",,,"5","0","180","4","26",,,,,"10153","5","0","0","290",,,,,,,,,,"A",,,,,,,,,"242","69","995","114","13","0",,"1","F1111F","11AAA11AAA8AA1","31",,"6",,,,,,"4"
"VREO2","2022-09-01T00:00:00","25.70","-79.80",,,"1","6","2","5","2","1","1",,"190","4","21","1","97",,,"10140","4","0","8","280",,"260",,"252","1","300",,,"A",,"A","A",,,,,,,"242","59","798","172","5","1","2","1","111111","111AA111118AA1",,"5",,,,,,,
"WBX9UMX","2022-09-01T00:00:00","22.09","-73.47",,,"1","5","2","5","9",,"1","5","68",,"42",,,,,"10213",,,"8","287",,,,,,,,,,,,,,,,,,,"242","23","798","172","5","0",,"1","F1113F","11AAA11AAAAAAA",,"5",,,,,,,
"WMKQ","2022-09-01T00:00:00","25.70","-79.80",,,"1","5","2","5","9",,"1",,,,,,,,,"10151","3","3","8","289",,"258",,"247",,,,,"A",,"A","A",,,,,,,"242","59","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
"WTDO","2022-09-01T00:00:00","27.10","-79.90",,,"1","6","2","5","9",,"1",,"150","4","51",,,,,"10148",,,"8","303",,,,"240","3","305",,,"A",,"A","A",,,,,,,"242","79","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,
"WTOI","2022-09-01T00:00:00","27.40","-77.00",,,"1","5","2","5","7","5","1",,,,,,,,,"10146","5","4","8","294",,"252",,"236",,,,,"A",,"A","A",,,,,,,"242","77","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,
