"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"EUCDE44","2022-09-01T00:00:00","20.70","38.30",,,"1","5","2","5","3","4","1",,,,,,,,,"10025","7","8","8","306",,,"279",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T00:00:00","25.45","35.62",,,"1","5","2","5","7","4","1","5","315",,"31",,,,,"10025","7","10","8","302",,,"261",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T00:00:00","23.30","36.60",,,"1","5","2","5","3","3","1",,,,,,,,,"10027","6","11","8","293",,"284","281",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"BARFR01","2022-09-01T00:55:00","20.41","38.25",,,"1","5","2","5","4","2","1",,,,,,,,,"10036","7","2",,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1",,"5",,,,,,,,,,
"BARFR01","2022-09-01T01:00:00","20.40","38.20",,,"1","4","0","0","4","2","1",,,,,,,,,"10036","7","2",,,,,,,,,,,"A",,,,,,,,,"217","8","992","114","5","0",,"1","FFFF1F","1AAAA1AAAA8AA1",,,"6",,,,,,,,,"4"
"EUCDE44","2022-09-01T01:00:00","20.42","38.48",,,"1","5","2","5","3","4","1",,,,,,,,,"10026","7","2","8","304",,,"283",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T01:00:00","25.71","35.42",,,"1","5","2","5","7","4","1",,"320",,"42",,,,,"10026","7","6","8","298",,,"266",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T01:00:00","23.10","36.70",,,"1","5","2","5","3","3","1",,,,,,,,,"10028","5","8","8","292",,"287","285",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1",,"5",,,,,,,,,,
"BARFR01","2022-09-01T01:55:00","20.24","38.34",,,"1","5","2","5","4","2","1",,,,,,,,,"10040","2","1",,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1",,"5",,,,,,,,,,
"9V5456","2022-09-01T02:00:00","21.00","38.40",,,"1","6","2","5","7","3","1",,"210","3","51","1","98","1","0",,"4","0","8","290",,"280","276","1","310","5","5","4","7","4","4",,"6","1","23","8","1","217","18","798","172","5","1","2","1","111171","11111611111111",,"5",,"0",,,,,,,,
"EUCDE44","2022-09-01T02:00:00","20.15","38.65",,,"1","5","2","5","3","4","1",,,,,,,,,"10030","2","4","8","307",,,"277",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T02:00:00","25.98","35.25",,,"1","5","2","5","7","4","1",,"320",,"54",,,,,"10026","7","3","8","299",,,"263",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T02:00:00","22.90","36.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10029","8","0","8","293",,"289","288",,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA7",,"5",,,,,,,,,,
"BARFR01","2022-09-01T02:55:00","20.07","38.42",,,"1","5","2","5","4","2","1",,,,,,,,,"10041","2","4",,,,,,,,,,,,,,,,,,,,"217","8","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T03:00:00","26.25","35.09",,,"1","5","2","5","7","4","1",,"320",,"72",,,,,"10027","2","2","8","292",,,"257",,,,,,,,,,,,,,,"217","65","798","172","5","0",,"1","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T03:00:00","22.70","36.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10031","0","3","8","294",,"289","287",,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T04:00:00","26.49","34.91",,,"1","5","2","5","7","4","1","5","345",,"50",,,,,"10035","2","9","8","283",,,"253",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
