"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"9V6408","2022-09-01T00:00:00","26.30","55.00",,,"1","6","2","5","6","3","1",,"220","4","31","1","97","0",,"9970","0","0","8","310",,"300","297","7","310",,,"A",,"A","A",,"3","1",,,,"219","65","798","172","5","1","2","1","111111","1111A1111181A1",,"5",,,,,,,,,,,,,
"V7DJ5","2022-09-01T00:00:00","25.50","54.90",,,"1","6","2","5","9","0","1",,"10","3","26","1","97","2",,"10040",,,"8","390",,"270","218","1","330",,,"A",,"A","A",,,,,,,"219","54","798","172","5","1","2","1","151114","1111A111118AAA",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T00:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,"4","0","1","98",,,"10042","6","3","8","310",,"279","269",,,"1","1","0","0","0","0","0","0","0",,,,"219","51","798","172","5","1","2","1","F11111","121AA1111A11A1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T00:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10024",,,"8",,,,,"9","285",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T01:00:00","26.30","54.80",,,"1","6","2","5","6","3","1",,"210","4","26","1","97","0",,"9970","0","0","8","310",,"300","297","7","310",,,"A",,"A","A",,"3","1",,,,"219","64","798","172","5","1","2","1","111111","1111A1111181A1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T01:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10045","3","2","8","310",,"278","268",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T01:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10030",,,"8",,,,,"9","283",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T01:10:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10030",,,"8",,,,,"9","283",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T02:00:00","26.30","54.50",,,"1","6","2","5","6","3","1",,"250","4","21","1","96","5","4","9970","0","0","8","310",,"300","297","7","310",,,"A",,"A","A",,"3","1",,,,"219","64","798","172","5","1","2","1","111111","111111111181A1",,"5",,"4",,,,,,,,,,,
"WDJ4009","2022-09-01T02:00:00","25.00","51.60",,,"1","5","2","5","6","1","1",,,,,,,,,"10045","3","6","8","312",,"269","254",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
