"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"3FXE8","2023-09-01T19:00:00","20.10","-107.60",,,"1","6","2","5","3","3","1",,"280","4","21","1","98","1","2","10145","0","10","8","290","0","260","248",,"310","6","5","1","4","4","1",,"7","1","25","6","1","239","7","798","172","5","1","2","2","111111","11111111111111","5",,"2",,
"VRNF7","2023-09-01T21:00:00","20.60","-107.50",,,"1","6","2","5","3","4","1",,"310","3","41","1","98",,"0","10123","7","20","8","310",,"270","254","1","270","3",,"1","A","A","A",,"3","1","21","10","2","239","7","798","172","5","1","2","2","111111","111A1111111111","5",,"0",,
"V7A6081","2023-09-02T05:00:00","22.90","-109.10",,,"1","6","2","5","5","3","1",,"220","4","26","1","97","2","1","10150","4","0","8","290",,"270","263","1","310",,,"A",,"A","A",,,,,,,"239","29","798","172","5","1","2","1","111111","11111111118AA1","5",,"1",,
"KCHV","2023-09-02T14:00:00","21.70","-110.00",,,"1","5","2","5","3","3","1",,,,,,,,,"10129","3","11","8","270",,"257","252",,,,,"A",,"A","A",,,,,,,"238","10","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KCHV","2023-09-02T15:00:00","21.50","-109.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10133","1","12","8","279",,"259","252",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,
"KCHV","2023-09-02T16:00:00","21.40","-109.50",,,"1","4","0","0","3","3","1",,,,,,,,,"10134","3","8","0","286","0","261","252",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,"1",,,"4"
"KCHV","2023-09-02T17:00:00","21.30","-109.30",,,"1","4","0","0","3","3","1",,,,,,,,,"10137","3","8","0","293","0","266","257",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,"1",,,"4"
"KCHV","2023-09-02T18:00:00","21.10","-109.10",,,"1","4","0","0","3","3","1",,,,,,,,,"10136","3","3","0","319","0","282","270",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,"1",,,"4"
"D5VW4","2023-09-02T19:00:00","20.00","-110.00",,,"1","6","2","5","3","2","1","0","360","3","26",,,"10",,"10130",,,"8","320","0","280","267","7","280",,,"A","A","A","A",,,,,,,"238","0","798","172","5","1","2","2","111111","11AAA111118AAA","5","3",,,"4"
"KCHV","2023-09-02T19:00:00","21.00","-108.90",,,"1","5","2","5","3","3","1",,,,,,,,,"10130","8","3","8","345",,"296","282",,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,
"KCHV","2023-09-02T20:00:00","20.80","-108.70",,,"1","4","0","0","3","3","1",,,,,,,,,"10124","8","13","0","354","0","300","284",,,,,,"A",,,,,,,,,"239","8","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,"4"
"KCHV","2023-09-02T21:00:00","20.70","-108.40",,,"1","5","2","5","3","3","1",,,,,,,,,"10115","8","20","8",,,,,,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F7FF12","1AAAA1999A8AA1","5",,,,
"KCHV","2023-09-02T22:00:00","20.50","-108.20",,,"1","4","0","0","3","4","1",,,,,,,,,"10105","8","25","0",,"0",,,,,,,,"A",,,,,,,,,"239","8","992","114","5","0",,"2","F7FF12","1AAAA1999A8AA1",,"1",,,"4"
"KCHV","2023-09-02T23:00:00","20.40","-108.00",,,"1","4","0","0","3","4","1",,,,,,,,,"10099","6","25","0",,"0",,,,,,,,"A",,,,,,,,,"239","8","992","114","5","0",,"2","F7FF14","1AAAA1999A8AA1",,"1",,,"4"
