"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"WGEB","2023-09-01T00:00:00","28.60","-145.50",,,"1","4","0","0","5","5","1",,,,,,,,,"10299","8","19","0","259","0","213","191",,,,,,"A",,,,,,,,"235","85","992","114","5","0",,"2","F1FF51","1AAAA1111A8AA1",,,"1",,,,,,,"4"
"2101690","2023-09-01T01:00:00","29.21","-147.28",,,"1","4","2","5",,,"11",,,,,,,,,"10232",,,"8",,,,,"9","250",,,,,,,,,,,,"235","97","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201844","2023-09-01T01:00:00","27.58","-140.80",,,"1","4","2","5",,,"11",,,,,,,,,"10209",,,"8",,,,,"9","241",,,,,,,,,,,,"235","70","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201845","2023-09-01T01:00:00","29.89","-144.76",,,"1","4","2","5",,,"11",,,,,,,,,"10238",,,"8",,,,,"9","249",,,,,,,,,,,,"235","94","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601744","2023-09-01T01:00:00","23.59","-141.48",,,"1","4","2","5",,,"11",,,,,,,,,"10165",,,"8",,,,,"9","238",,,,,,,,,,,,"235","31","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601753","2023-09-01T01:00:00","26.11","-142.55",,,"1","4","2","5",,,"11",,,,,,,,,"10197",,,"8",,,,,"9","243",,,,,,,,,,,,"235","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601763","2023-09-01T01:00:00","24.80","-144.50",,,"1","4","2","5",,,"11",,,,,,,,,"10186",,,"8",,,,,"9","246",,,,,,,,,,,,"235","44","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601775","2023-09-01T01:00:00","23.80","-145.86",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","249",,,,,,,,,,,,"235","35","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601777","2023-09-01T01:00:00","29.21","-141.66",,,"1","4","2","5",,,"11",,,,,,,,,"10227",,,"8",,,,,"9","247",,,,,,,,,,,,"235","91","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601840","2023-09-01T01:00:00","21.48","-144.75",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","245",,,,,,,,,,,,"235","14","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602737","2023-09-01T01:00:00","24.62","-147.24",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","248",,,,,,,,,,,,"235","47","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5102612","2023-09-01T01:00:00","27.76","-147.28",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","250",,,,,,,,,,,,"235","77","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5102777","2023-09-01T01:00:00","27.96","-148.33",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","255",,,,,,,,,,,,"235","78","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5103555","2023-09-01T01:00:00","28.38","-146.49",,,"1","4","2","5",,,"11",,,,,,,,,"10223",,,"8",,,,,"9","254",,,,,,,,,,,,"235","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5103561","2023-09-01T01:00:00","27.92","-149.27",,,"1","4","2","5",,,"11",,,,,,,,,"10221",,,"8",,,,,"9","254",,,,,,,,,,,,"235","79","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5103562","2023-09-01T01:00:00","26.85","-141.50",,,"1","4","2","5",,,"11",,,,,,,,,"10202",,,"8",,,,,"9","239",,,,,,,,,,,,"235","61","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5201694","2023-09-01T01:00:00","29.19","-142.85",,,"1","4","2","5",,,"11",,,,,,,,,"10229",,,"8",,,,,"9","249",,,,,,,,,,,,"235","92","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"WGEB","2023-09-01T01:00:00","28.40","-145.80",,,"1","5","2","5","5","5","1",,,,,,,,,"10295","6","19","8","248",,"209","190",,,,,"A",,"A","A",,,,,,"235","85","798","172","5","1","2","2","F1FF51","1AAAA1111A8AA1",,"5",,,,,,,,
"4602714","2023-09-01T01:04:00","23.95","-143.68",,,"1","4","2","5",,,"11",,,,,,,,,"10178",,,"8",,,,,"9","248",,,,,,,,,,,,"235","33","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4602743","2023-09-01T01:04:00","29.00","-140.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","240",,,,,,,,,,,,"235","90","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"2101690","2023-09-01T02:00:00","29.21","-147.28",,,"1","4","2","5",,,"11",,,,,,,,,"10234",,,"8",,,,,"9","250",,,,,,,,,,,,"235","97","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201844","2023-09-01T02:00:00","27.57","-140.79",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,,"9","241",,,,,,,,,,,,"235","70","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"3201845","2023-09-01T02:00:00","29.88","-144.76",,,"1","4","2","5",,,"11",,,,,,,,,"10236",,,"8",,,,,"9","249",,,,,,,,,,,,"235","94","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601744","2023-09-01T02:00:00","23.58","-141.49",,,"1","4","2","5",,,"11",,,,,,,,,"10163",,,"8",,,,,"9","238",,,,,,,,,,,,"235","31","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601753","2023-09-01T02:00:00","26.10","-142.55",,,"1","4","2","5",,,"11",,,,,,,,,"10195",,,"8",,,,,"9","243",,,,,,,,,,,,"235","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601763","2023-09-01T02:00:00","24.81","-144.51",,,"1","4","2","5",,,"11",,,,,,,,,"10186",,,"8",,,,,"9","246",,,,,,,,,,,,"235","44","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601775","2023-09-01T02:00:00","23.80","-145.87",,,"1","4","2","5",,,"11",,,,,,,,,"10176",,,"8",,,,,"9","249",,,,,,,,,,,,"235","35","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601777","2023-09-01T02:00:00","29.21","-141.66",,,"1","4","2","5",,,"11",,,,,,,,,"10226",,,"8",,,,,"9","247",,,,,,,,,,,,"235","91","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601840","2023-09-01T02:00:00","21.49","-144.76",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","245",,,,,,,,,,,,"235","14","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5102612","2023-09-01T02:00:00","27.77","-147.28",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","250",,,,,,,,,,,,"235","77","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5102777","2023-09-01T02:00:00","27.96","-148.34",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","254",,,,,,,,,,,,"235","78","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"5103555","2023-09-01T02:00:00","28.38","-146.48",,,"1","4","2","5",,,"11",,,,,,,,,"10224",,,"8",,,,,"9","254",,,,,,,,,,,,"235","86","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5103561","2023-09-01T02:00:00","27.91","-149.27",,,"1","4","2","5",,,"11",,,,,,,,,"10222",,,"8",,,,,"9","254",,,,,,,,,,,,"235","79","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5103562","2023-09-01T02:00:00","26.84","-141.51",,,"1","4","2","5",,,"11",,,,,,,,,"10202",,,"8",,,,,"9","239",,,,,,,,,,,,"235","61","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5201694","2023-09-01T02:00:00","29.19","-142.85",,,"1","4","2","5",,,"11",,,,,,,,,"10230",,,"8",,,,,"9","248",,,,,,,,,,,,"235","92","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
