"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"3201846","2023-09-01T00:00:00","21.49","-157.85",,,"1","3","2","5",,,"11",,,,,,,,,"10165",,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,
"5100000","2023-09-01T00:00:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"80",,"78",,,,,"10174",,,"8","254",,,"212","9","260",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,
"5100201","2023-09-01T00:00:00","21.70","-158.10",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","266",,,,"A",,,,"7","3",,,,"234","18","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,"4"
"5100202","2023-09-01T00:00:00","21.40","-157.70",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","267",,,,"A",,,,"8","4","8","11","1","234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,,,"4"
"5100207","2023-09-01T00:00:00","21.50","-157.80",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","263",,,,"A",,,,"8","4",,,,"234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,"4"
"5100208","2023-09-01T00:00:00","22.30","-159.60",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","269",,,,"A",,,,"9","3",,,,"234","29","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,"4"
"5100210","2023-09-01T00:00:00","21.50","-157.80",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","260",,,,"A",,,,"8","4",,,,"234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,"4"
"5100211","2023-09-01T00:00:00","21.30","-158.00",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0","276",,,,"1","271",,,,"A",,,,"7","2","14","11","1","234","18","993","114","6","0",,"2","11FFFF","1AAAAA1AA1871A",,,"6",,,,,,"4"
"5100212","2023-09-01T00:00:00","21.30","-158.10",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","273",,,,"A",,,,"9","2","16","10","1","234","18","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,,,"4"
"5100213","2023-09-01T00:00:00","20.80","-157.00",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","271",,,,"A",,,,"6","2","18","17","1","234","7","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1873A",,,"6",,,,,,"4"
