"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"5100001","2023-09-01T00:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","99",,"74",,,,,"10186",,,"8","266",,,"221","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T00:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","91",,"76",,,,,"10186",,,"8","267",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5201669","2023-09-01T00:00:00","26.46","-160.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2023-09-01T00:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"100","1","80",,,,,"10184",,,"8","267",,,"223",,,,,,,,,,"5","11","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T00:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"100","1","70",,,,,"10184",,,"8","267",,,,,,,,,,,,,"4","11","8","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T00:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","93",,"78",,,,,"10182",,,"8","267",,,"225","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T00:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","95",,"77",,,,,"10183",,,"8","267",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T00:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","91",,"76",,,,,"10183",,,"8","267",,,"223","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T00:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","96",,"81",,,,,"10183",,,"8","267",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T00:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"90","1","80",,,,,"10183",,,"8","267",,,"224",,,,,,,,,,"5","11","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T00:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"100","1","80",,,,,"10183",,,"8","267",,,,,,,,,,,,,"4","12","9","2","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T01:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","94",,"78",,,,,"10182",,,"8","267",,,"223","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T01:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","91",,"79",,,,,"10183",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2023-09-01T01:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5201669","2023-09-01T01:00:00","26.43","-160.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602563","2023-09-01T01:04:00","28.84","-169.19",,,"1","3","2","5",,,"11",,,,,,,,,"10315",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"2","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T01:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","89",,"72",,,,,"10183",,,"8","267",,,"224","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T01:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","92",,"80",,,,,"10183",,,"8","267",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T01:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"90","1","70",,,,,"10182",,,"8","267",,,"223",,,,,,,,,,"4","11","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T01:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"90","1","80",,,,,"10182",,,"8","268",,,,,,,,,,,,,"5","11","8","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T01:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","93",,"70",,,,,"10181",,,"8","268",,,"224","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T01:30:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"90",,"75",,,,,"10181",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T01:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","92",,"65",,,,,"10180",,,"8","268",,,"227","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T01:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","92",,"76",,,,,"10180",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T01:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"90","1","70",,,,,"10180",,,"8","267",,,"225",,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T01:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"90","1","70",,,,,"10180",,,"8","268",,,,,,,,,,,,,"5","11","8","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T02:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","90","1","70",,,,,"10180","6","11","0","267",,,"222","1","272",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","111111","11AAA11A118AA1",,,"6",,,"4"
"5100101","2023-09-01T02:00:00","24.40","-162.10",,,"1","4","2","0","0","0","11","0","90","1","70",,,,,"10180","6","12","0","268",,,,"1","272",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","11111F","11AAA11AA18AA1",,,"6",,,"4"
"5102629","2023-09-01T02:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5201669","2023-09-01T02:00:00","26.39","-160.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602563","2023-09-01T02:04:00","28.84","-169.15",,,"1","3","2","5",,,"11",,,,,,,,,"10307",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"2","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T02:10:00","24.45","-162.01",,,"1","5","2","5",,,"11",,"90",,"67",,,,,"10179",,,"8","269",,,"226","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
