"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"BHJG","2023-09-01T00:00:00","26.50","35.90",,,"1","5","2","5","7","4","1",,"180","4","15","1","98","0","0","10142","4","0","8","300",,"270","260",,,,,"A",,"A","A",,,,,,,"217","65","798","172","5","1","2","1","F11111","111111111A8AA1","5",,"0",,,,,,,,,,,
"EUMDE57","2023-09-01T00:00:00","29.79","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10124","7","3","8","272",,,"237",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T00:00:00","27.83","33.72",,,"1","5","2","5","3","4","1",,"320",,"103",,,,,"10087","7","13","8","280",,,"242",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-01T01:00:00","20.80","38.50",,,"1","6","2","5","7","3","1",,"360","3","51","1","99","2","0","10085",,,"8","320",,"300","293","1","340","5","3","1","4","8","5",,"3","1","35","5","1","217","8","798","172","5","1","2","1","311111","1111111111111A","5",,"0",,,,,,,,,,,
"EUMDE57","2023-09-01T01:00:00","29.79","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10123","7","5","8","269",,,"238",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T01:00:00","27.65","33.90",,,"1","5","2","5","3","4","1",,"320",,"95",,,,,"10086","7","9","8","277",,,"248",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-01T02:00:00","21.00","38.40",,,"1","6","2","5","7","3","1",,"320","3","46",,,"3","2","10085",,,"8","310",,"290","283","1","340","7",,"6","2","7","A",,,,,,,"217","18","798","172","5","1","2","1","311111","11A11111111AAA","5",,"2",,,,,,,,,,,
"EUMDE57","2023-09-01T02:00:00","29.79","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10128","2","2","8","268",,,"237",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T02:00:00","27.48","34.07",,,"1","5","2","5","3","3","1",,"320",,"84",,,,,"10092","7","1","8","279",,,"252",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE57","2023-09-01T03:00:00","29.79","32.56",,,"1","5","2","5","8","0","1",,,,,,,,,"10128","2","3","8","265",,,"235",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T03:00:00","27.27","34.19",,,"1","5","2","5","3","3","1",,"330",,"73",,,,,"10093","2","6","8","282",,,"246",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE57","2023-09-01T04:00:00","29.87","32.55",,,"1","5","2","5","8","2","1",,"320",,"61",,,,,"10132","2","9","8","264",,,"234",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T04:00:00","27.06","34.32",,,"1","5","2","5","3","4","1","5","325",,"84",,,,,"10094","2","8","8","286",,,"245",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE57","2023-09-01T05:00:00","29.98","32.59",,,"1","5","2","5","8","2","1",,"340",,"73",,,,,"10136","2","7","8","261",,,"232",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T05:00:00","26.84","34.45",,,"1","5","2","5","3","4","1","5","325",,"102",,,,,"10093","2","1","8","291",,,"245",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T06:00:00","26.63","34.58",,,"1","5","2","5","3","3","1","5","325",,"110",,,,,"10095","2","3","8","301",,,"247",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T07:00:00","26.43","34.70",,,"1","5","2","5","3","3","1",,"320",,"97",,,,,"10096","2","2","8","312",,,"254",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"TBWUK49","2023-09-01T07:00:00","21.68","38.07",,,"1","6","2","5","3","3","1","5","275",,"67","1","98","2","0","10089","0","15","8","341",,"301","288","1","330","3","2","1","6","0","0",,"5","2",,,,"217","18","798","172","5","1","2","2","111111","111111111111A1","5",,"0",,,,,,,,,,,
"EUMDE60","2023-09-01T08:00:00","26.23","34.82",,,"1","5","2","5","3","3","1",,"320",,"91",,,,,"10095","2","2","8","314",,,"259",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"CQDD","2023-09-01T09:00:00","22.40","37.50",,,"1","6","2","5","7","4","1",,"280","3","82","1","97","2",,"10090","0","0","8","350","0","320","312","3","330","6",,"A","A","A","A",,,,,,,"217","27","798","172","5","0",,"2","131111","1111A111111AA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T09:00:00","26.04","34.95",,,"1","5","2","5","3","3","1",,"320",,"91",,,,,"10089","7","6","8","325",,,"257",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T10:00:00","25.86","35.08",,,"1","5","2","5","3","3","1",,"330",,"78",,,,,"10085","7","10","8","329",,,"258",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T11:00:00","25.67","35.21",,,"1","5","2","5","3","3","1",,"330",,"75",,,,,"10082","7","12","8","332",,,"261",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-01T12:00:00","23.20","37.10",,,"1","6","2","5","7","3","1",,"230","3","77","1","99","2","0","10085",,,"8","350",,"290","268","1","330","3","2","1","6","2","5",,"4","1","23","6","1","217","37","798","172","5","1","2","2","131311","1111111111111A","5",,"0",,,,,,,,,,,
"EUMDE60","2023-09-01T12:00:00","25.49","35.35",,,"1","5","2","5","3","3","1",,"330",,"72",,,,,"10076","7","13","8","328",,,"261",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T13:00:00","25.31","35.48",,,"1","5","2","5","3","3","1",,"330",,"70",,,,,"10071","7","14","8","326",,,"263",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T14:00:00","25.13","35.60",,,"1","5","2","5","3","3","1","5","335",,"64",,,,,"10067","7","15","8","318",,,"263",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T15:00:00","24.96","35.73",,,"1","5","2","5","3","3","1","5","345",,"66",,,,,"10060","7","16","8","309",,,"268",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
