"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","ICE_SIT_TREND","IND_FOR_PRECIP"
"8JGV5XF","2023-09-01T00:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","126",,"32",,,,,"10044",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"9V3776","2023-09-01T00:00:00","25.80","51.80",,,"1","4","0","0",,,"1","0","120","4","57",,"97",,,"9990",,,"0","320",,,,,,,,,"A",,,,,,,,,"219","51","992","114","5","0",,"1","F1112F","111AA11AAA8AAA",,"3",,,,,,,,,,,"4"
"WMHA","2023-09-01T00:00:00","23.10","59.60",,,"1","5","2","5","7","3","1",,,,,,,,,"10046","5","8","8","269",,"264","262",,,,,"A",,"A","A",,,,,,,"219","39","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T01:00:00","24.51","56.61",,,"1","5","2","5","9",,"1",,"130",,"43",,,,,"10048",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"V7DR9","2023-09-01T01:00:00","26.60","51.20",,,"1","6","2","5","1","2","1",,"310","3","113","1","98","3","2","10060","4","0","8","340",,"280","261","3","350","3","3","7","A","1","7",,"3","1",,,,"219","61","798","172","5","1","2","1","113111","141111111114A1","5",,"2",,,,,,,,,,
"WMHA","2023-09-01T01:00:00","23.20","59.40",,,"1","5","2","5","7","3","1",,,,,,,,,"10051","3","2","8","275",,"270","268",,,,,"A",,"A","A",,,,,,,"219","39","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T02:00:00","24.51","56.61",,,"1","5","2","5","9",,"1",,"100",,"47",,,,,"10053",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-01T02:00:00","23.40","59.30",,,"1","4","0","0","7","3","1",,,,,,,,,"10059","3","14","0","278","0","275","273",,,,,,"A",,,,,,,,,"219","39","992","114","5","0",,"2","F1FF13","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-01T03:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","93",,"40",,,,,"10057",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"V7DR9","2023-09-01T03:00:00","26.60","51.20",,,"1","6","2","5","9","0","1",,"340","3","72",,,,,"10070",,,"8","340",,"330","328","3","347",,,"A",,"A","A",,,,,,,"219","61","798","172","5","1","2","2","111111","11AAA111118AAA","5",,,,,,,,,,,,
"WMHA","2023-09-01T03:00:00","23.60","59.10",,,"1","5","2","5","7","3","1",,,,,,,,,"10063","3","17","8","285",,"276","273",,,,,"A",,"A","A",,,,,,,"219","39","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T04:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","77",,"34",,,,,"10058",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK48","2023-09-01T04:00:00","25.82","51.88",,,"1","6","2","5","0","0","1",,"330",,"113","1","98","0","2","10048","3","9","8","351",,"331","325","1","345","1","1","1","4","4","4",,"5","2","32","5","2","219","51","798","172","5","0",,"2","111411","11111111111111","5",,"2","31","3","1",,,,,,,
"TBWUK70","2023-09-01T04:00:00","25.82","51.90",,,"1","5","2","5","0","0","1",,,,,"1","98",,,"10060","3","13","8","361",,"321","309","1",,"0","0",,"9",,,,,,,,,"219","51","798","172","5","0",,"2","61FF11","171AA111191AA1","5",,,,,,,,,,,,
"WMHA","2023-09-01T04:00:00","23.80","58.90",,,"1","5","2","5","7","3","1",,,,,,,,,"10071","3","19","8","300",,"281","276",,,,,"A",,"A","A",,,,,,,"219","38","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T05:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","82",,"36",,,,,"10061",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK63","2023-09-01T05:00:00","25.85","51.80",,,"1","6","2","5","0","0","1","5",,,,,,,,"10054","3","16","8","351",,"311","298","1","350",,,,,,,,,,,,,"219","51","798","172","5","0",,"2","11FF11","17AAA11111AAA1","5",,,,,,,,,,,,
"WMHA","2023-09-01T05:00:00","23.90","58.80",,,"1","5","2","5","7","3","1",,,,,,,,,"10071","1","12","8","306",,"282","274",,,,,"A",,"A","A",,,,,,,"219","38","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T06:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","89",,"65",,,,,"10061",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"VRLA2","2023-09-01T06:00:00","22.10","59.90",,,"1","6","2","5","4","3","1",,"220","4","103","1","97","2","0","10069",,,"8","270",,"230","210","1","245","1","0","0","9","0","5",,"4","2","19","6","2","219","29","798","172","5","1","2","2","111111","1111111111111A","5",,"0",,,,,,,,,,
"WMHA","2023-09-01T06:00:00","24.10","58.60",,,"1","4","0","0","7","3","1",,,,,,,,,"10072","1","10","0","320","0","287","277",,,,,,"A",,,,,,,,,"219","48","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-01T07:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","85",,"72",,,,,"10060",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"OVXO2","2023-09-01T07:00:00","24.70","56.90",,,"1","6","2","5","4","3","1",,"90","4","103","1","97","5","1","10066","0","2","8","300","0","269","257","3","320","3","3","6","2","0","0",,"1","2",,,,"219","46","798","172","5","0",,"2","114111","111111111111A1","5",,"1",,,,,,,,,,
"8JGV5XF","2023-09-01T08:00:00","24.51","56.61",,,"1","5","2","5","9",,"1",,"80",,"82",,,,,"10057",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T08:00:00","24.72","56.85",,,"1","6","2","5","3","3","1",,,,,"1","97","5",,"10064","8","3","8","312",,"283","272","1","326",,,,,,,,,"5",,"6","3","219","46","798","172","5","0",,"2","11FF11","1711A11111A371","5",,,,,,,,,,,,
"3EZM3","2023-09-01T09:00:00","26.80","51.60",,,"1","6","2","5","7","4","1",,"350","4","10",,,,,"10000","4","0","8","380","0","360","355","1","340",,,,,,,,,,,,,"219","61","798","172","5","0",,"2","131111","11AAA11111AAA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T09:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","95",,"86",,,,,"10051",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"VTMV","2023-09-01T09:00:00","27.10","52.10",,,"1","6","2","5","2","3","1",,"260","4","82",,,,,"10058","0",,"8","360","0","300","279","1","360",,,,,,,,,,,,,"219","72","798","172","5","0",,"2","311111","11AAA11111AAA7","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T10:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","83",,"75",,,,,"10046",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T11:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","107",,"74",,,,,"10043",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK70","2023-09-01T11:00:00","25.82","51.90",,,"1","5","2","5","0","0","1",,,,,"1","97",,,"10045","8","16","8","356",,"301","282","1",,"1",,,"A",,,,,,,,,"219","51","798","172","5","0",,"2","61FF11","171AA111191AA1","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T11:00:00","24.35","57.38",,,"1","6","2","5","2","3","1","5",,,,"1","97","2","0","10053","6","12","8","321",,"286","273","1","318",,,,,,,,,"2",,,,"219","47","798","172","5","0",,"2","11FF11","1711111111A3A1","5",,"0",,,,,,,,,,
"8JGV5XF","2023-09-01T12:00:00","24.51","56.61",,,"1","5","2","5","9",,"1","5","113",,"67",,,,,"10038",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T13:00:00","24.52","56.63",,,"1","5","2","5","9",,"1","5","136",,"36",,,,,"10040",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK48","2023-09-01T13:00:00","25.82","51.88",,,"1","6","2","5","0","0","1","5","295",,"87",,,,,"10030","5",,"8","391",,"361","354","1","350",,,,,,,,,,,,,"219","51","798","172","5","0",,"2","155111","11AAA11111AAA7","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T14:00:00","24.54","56.68",,,"1","5","2","5","9",,"1","5","149",,"54",,,,,"10037",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T15:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","153",,"64",,,,,"10040",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-01T15:00:00","25.60","56.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10046","5","2","8","305",,"283","275",,,,,"A",,"A","A",,,,,,,"219","56","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T16:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","129",,"44",,,,,"10039",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK48","2023-09-01T16:00:00","25.82","51.88",,,"1","6","2","5","0","0","1",,"290",,"62","1","98","0","0","10035","3","6","8","361",,"336","329","1","348","1","1","1","4","4","0",,"5","2","33","5","2","219","51","798","172","5","0",,"1","111111","11111111111111","5",,"0","30","5","1",,,,,,,
