"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"9V6416","2023-09-01T00:00:00","22.70","69.90",,,"1","6","2","5","9","0","1",,"250","3","41","1","97","0","1","10100",,,"8","280",,"260","252","7","280","8","8","8","5","7","A",,"3","1",,,,"220","29","798","172","5","1","2","1","111111","111111111111AA","5",,"1",,,,,,,,,
"V7OE5","2023-09-01T00:00:00","21.20","62.10",,,"1","5","2","5","7","4","1",,"230","4","93","1","98","3","2","10067",,,"8","270",,"265","263",,,,,"1",,"4","A",,"8","3","20","8","4","220","12","798","172","5","1","2","1","F11111","111111111A811A","5",,"2",,,,,,,,,
"V7OE5","2023-09-01T07:00:00","22.50","60.50",,,"1","6","2","5","7","4","1",,"180","4","82","1","97","3","2","10070","8","9","8","260",,"260","260","3","262","7","6","6","2","2","7",,"8","4","18","10","3","220","20","798","172","5","1","2","2","111113","11111111111111","5",,"2",,,,,,,,,
"CQCZ","2023-09-01T11:00:00","21.50","61.80",,,"1","6","2","5","3","3","1",,"230","4","87","1","97","5","0","10060","6","7","8","290","0","260","250","1","270","3","2","0","3","6","1",,"4","3","20","10","4","220","11","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,,,,,
"OZDA2","2023-09-01T17:00:00","21.20","66.20",,,"1","6","2","5","6","3","1",,"180","3","51","1","97","1","1","10094",,,"8","285",,"265","257","7","280","2",,"1","4","A","A",,"3","1","23","9","3","220","16","798","172","5","1","2","1","111111","1111111111111A","5",,"1",,,,,,,,,
"3E2529","2023-09-01T18:00:00","22.30","67.40",,,"1","6","2","5","6","3","1",,"210","4","41","1","98","1","1","10090","4","0","8","280","0","260","252","3","290",,,,,,,,,"2",,,,"220","27","798","172","5","0",,"1","111111","1111111111A3A1","5",,"1",,,,,,,,,
"OZDA2","2023-09-01T22:00:00","20.70","65.00",,,"1","6","2","5","5","3","1",,"200","3","62","1","97","3","2","10083",,,"8","285",,"275","271","7","280",,,"A",,"A","A",,"4","2","22","4","2","220","5","798","172","5","1","2","1","111111","1111111111811A","5",,"2",,,,,,,,,
"3E2529","2023-09-02T00:00:00","22.70","66.10",,,"1","6","2","5","6","3","1",,"240","4","51","1","98","2","2","10080",,,"8","260","0","250","246","3","280","5","5","4","5","A","0",,"10","1","24","10","2","220","26","798","172","5","0",,"1","111111","1111111111111A","5",,"2",,,,,,,,,
"TBWUK71","2023-09-02T04:00:00","22.03","60.95",,,"1","6","2","5","3","3","1","5",,,,"1","98","1","1","10082","2","18","8","269",,"261","258","1","270","5","5","7","2","2",,,,"2",,,,"220","20","798","172","5","0",,"2","11FF11","171111111113A1","5",,"1",,,,,,,,,
"TBWUK71","2023-09-02T05:00:00","21.78","61.17",,,"1","6","2","5","3","3","1","5",,,,"1","97","2","1","10090","1","17","8","275",,"254","245","1","270","7","7","8","3",,,,,"2",,"6","4","220","11","798","172","5","0",,"2","11FF11","17111111111371","5",,"1",,,,,,,,,
"3E2529","2023-09-02T06:00:00","23.00","64.80",,,"1","6","2","5","6","3","1",,"250","4","31","1","98","2","0","10090","4","0","8","280","0","260","252","3","290",,,,,,,,,"2",,,,"220","34","798","172","5","0",,"2","111111","1111111111A3A1","5",,"0",,,,,,,,,
"7KDL","2023-09-02T06:00:00","24.10","61.00",,,"1","6","2","5","2","3","1",,"150","3","57","1","97","3","2","10085","2","10","8","280","0","260","252","1","280","2","1","7","2","7","8",,"6","2","17","3","1","220","41","798","172","5","0",,"2","111111","11111111111111","5",,"2",,,,,,,,,
"OZDA2","2023-09-02T06:00:00","20.10","63.30",,,"1","6","2","5","6","3","1",,"210","3","57","1","97","1","1","10103",,,"8","295",,"280","275","7","280","3",,"1","3","A","A",,"3","1","22","9","3","220","3","798","172","5","1","2","2","111111","1111111111111A","5",,"1",,,,,,,,,
"TBWUK71","2023-09-02T06:00:00","21.60","61.30",,,"1","4","0","0","3","3","1","0",,,,,"97","2","2","10086","0","7","0","276","0","272","270","1","255","6","6","8","4","A","A",,"3","2",,"6","4","220","11","992","114","5","1","2","2","11FF11","17111111111171",,,"2",,,,,,,,,"4"
"TBWUK71","2023-09-02T09:00:00","20.97","61.90",,,"1","6","2","5","3","3","1","5",,,,"1","97","2","1","10073","7","11","8","281",,"261","253","1","265",,,,,,,,,"4",,,,"220","1","798","172","5","0",,"2","11FF11","1711111111A3A1","5",,"1",,,,,,,,,
"3E2529","2023-09-02T12:00:00","23.40","63.40",,,"1","6","2","5","6","3","1",,"240","4","36","1","98","2","2","10060",,,"8","310","0","290","283","3","290","6","6","4","6","6","0",,"10","1","36",,,"220","33","798","172","5","0",,"2","111111","1111111111117A","5",,"2","36",,,,,,,,
"7KDL","2023-09-02T12:00:00","23.70","62.50",,,"1","6","2","5","2","3","1",,"180","3","41","1","98","2","0","10064","6","9","8","280","0","260","252","1","270","3","2","1","4","2","2",,"3","4","19","2","5","220","32","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,,,,,
"7XCL4WP","2023-09-02T15:00:00","21.84","60.02",,,"1","5","2","5","1","5","1",,,,,,,,,"10056","2","9","8","263",,,"245",,,,,,,,,,,,,,,"220","10","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,
"7XCL4WP","2023-09-02T16:00:00","22.18","60.09",,,"1","5","2","5","8","5","1",,,,,,,,,"10062","2","12","8","261",,,"246",,,,,,,,,,,,,,,"220","20","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,
