"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","IND_FOR_PRECIP"
"2302625","2023-09-01T01:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10097",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T02:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10104",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T03:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10111",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T04:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10114",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T05:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10116",,,"8",,,,,"9","283",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T11:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10087",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T14:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10090",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T16:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10097",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-01T17:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10098",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMDQ","2023-09-01T18:00:00","20.20","70.70",,,"1","5","2","5","5","2","1",,,,"10091","1","6","8","271",,"240","228",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-01T18:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10099",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
