"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"GGJP2GK","2024-09-01T00:00:00","20.50","-107.90",,,"1","6","2","5","3","4","1",,"280","3","51","1","99","3","2","10100",,,"8","330",,"310","305","1","310","5","4","1","4","4","4",,,,,,,"239","7","798","172","5","1","2","2","131111","11111111111AAA","5",,"2",,,,,
"LAVD4","2024-09-01T02:00:00","20.90","-108.30",,,"1","6","2","5","3","3","1",,"280","4","21","1","99","2","0","10193",,,"8","310",,"300","297","3","230","1","1","1","8","4","5",,"3","1","20","8","2","239","8","798","172","5","1","2","1","411131","1111111111111A","5",,"0",,,,,
"LAZU5","2024-09-01T02:00:00","20.60","-107.80",,,"1","6","2","5","3","3","1",,"340","4","21","1","97",,,"10113","5","10","8","330",,"310","304","1","280","4","3","5","5","7","5",,"5","2",,,,"239","7","798","172","5","1","2","1","131111","111AA1111111A1","5",,,,,,,
"LAVD4","2024-09-01T06:00:00","20.40","-107.50",,,"1","6","2","5","2","3","1",,"260","4","103","1","97","3","1","10203",,,"8","280",,"270","267","3","260","6","5","4","6","7","5",,"4","3","27","6","4","239","7","798","172","5","1","2","1","113151","1111111111111A","5",,"1",,,,,
"OXSQ2","2024-09-01T17:00:00","20.20","-107.00",,,"1","4","0","0","3","4","1","0","240","3","21",,"99","2","1","10209",,,"0","280","0","250","237","1","310","7","2","4","6","6","3",,"1","0",,,,"239","7","992","114","5","1","2","2","111151","111111111111AA",,"1","1",,,,,"4"
"ZHTC8WZ","2024-09-01T20:00:00","20.00","-108.30",,,"1","6","2","5","7","4","1",,"270","4","21","1","98",,,"10101",,,"8","290","0","290","290","7","310","5","5","7","6","1","8",,"3","1","19","10","2","239","8","798","172","5","0",,"2","111113","111AA11111111A","5",,,,,,,
"C6EI4","2024-09-03T00:00:00","21.30","-109.10",,,"1","6","2","5","7","2","1",,"350","4","51","1","98","3","0","10060","6","20","8","310",,"270","254","7","300","3",,"A","A","A","A",,"6","1","35","10","3","239","19","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,
"5TBKUFZ","2024-09-03T05:00:00","21.20","-108.70",,,"1","6","2","5","3","4","1",,"250","4","26","1","98","13","0","10107","7","10","8","270",,,"250","3","280","1","1","1","3","0","0",,"5","1",,"10","2","239","18","798","172","5","0",,"1","111111","1111111A111171","5",,"0",,,,,
"C6EI4","2024-09-03T05:00:00","21.70","-109.80",,,"1","6","2","5","7","2","1",,"40","4","46","1","98",,"2","10100","0","10","8","290",,"270","262","7","310","6","6","6","2","7","6",,"6","2",,,,"239","19","798","172","5","1","2","1","111111","111A11111111A1","5",,"2",,,,,
"3EVZ8","2024-09-04T06:00:00","21.40","-109.40",,,"1","6","2","5","3","4","1",,"230","4","72","1","97","13","0","10090",,,"8","280",,"270","266","1","280","4","4","5","5","4","5",,"13","2","5","12","1","239","19","798","172","5","1","2","1","111111","1111111111113A","5",,"0",,,,,
"WWAA","2024-09-04T21:00:00","22.20","-110.00",,,"1","4","0","0","3","4","1",,,,,,,,,"10096","8","14","0","346","0","296","281",,,,,,"A",,,,,,,,,"238","20","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-04T22:00:00","22.00","-109.70",,,"1","4","0","0","3","4","1",,,,,,,,,"10089","8","19","0","345","0","298","284",,,,,,"A",,,,,,,,,"239","29","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-04T23:00:00","21.90","-109.50",,,"1","4","0","0","3","4","1",,,,,,,,,"10084","6","19","0","355","0","304","290",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T00:00:00","21.80","-109.30",,,"1","4","0","0","3","4","1",,,,,,,,,"10084","5","12","0","354","0","301","286",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T01:00:00","21.70","-109.00",,,"1","4","0","0","3","4","1",,,,,,,,,"10089","5","0","0","335","0","293","280",,,,,,"A",,,,,,,,,"239","19","992","114","5","0",,"2","F3FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T02:00:00","21.60","-108.80",,,"1","4","0","0","3","4","1",,,,,,,,,"10094","3","11","0","299","0","273","265",,,,,,"A",,,,,,,,,"239","18","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"5LKJ9","2024-09-05T03:00:00","20.40","-107.20",,,"1","6","2","5","7","4","1",,"30","3","31","1","98","1","1","10123","4","0","8","300",,"290","287","7","320","2",,"A","A","A","A",,,,,,,"239","7","798","172","5","1","2","1","111111","11111111111AA1","5",,"1",,,,,
"WWAA","2024-09-05T03:00:00","21.50","-108.50",,,"1","4","0","0","3","4","1",,,,,,,,,"10095","0","11","0","290","0","268","260",,,,,,"A",,,,,,,,,"239","18","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T04:00:00","21.30","-108.30",,,"1","4","0","0","3","4","1",,,,,,,,,"10104","3","16","0","286","0","266","259",,,,,,"A",,,,,,,,,"239","18","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T05:00:00","21.20","-108.10",,,"1","4","0","0","3","3","1",,,,,,,,,"10107","3","12","0","285","0","261","253",,,,,,"A",,,,,,,,,"239","18","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T06:00:00","20.90","-108.00",,,"1","4","0","0","3","3","1",,,,,,,,,"10110","1","16","0","285","0","267","261",,,,,,"A",,,,,,,,,"239","8","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T07:00:00","20.70","-107.90",,,"1","4","0","0","3","3","1",,,,,,,,,"10107","0","2","0","286","0","267","260",,,,,,"A",,,,,,,,,"239","7","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"WWAA","2024-09-05T08:00:00","20.50","-107.80",,,"1","4","0","0","3","4","1",,,,,,,,,"10098","8","9","0","287","0","268","261",,,,,,"A",,,,,,,,,"239","7","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
