"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"2101600","2024-09-01T00:00:00","29.08","-159.69",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"234","99","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"2101693","2024-09-01T00:00:00","27.57","-150.27",,,"1","4","2","5",,,"11",,,,,,,,,"10229",,,"8",,,,,"9","258",,,,,,,,,,,,,"234","70","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4601669","2024-09-01T00:00:00","24.78","-154.27",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","266",,,,,,,,,,,,,"234","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4602535","2024-09-01T00:00:00","23.59","-152.04",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"234","32","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"5100000","2024-09-01T00:00:00","23.50","-153.80",,,"1","4","2","0","0","0","11","0","110","1","60",,,,,"10178",,,"0","260",,,"235","1","263",,,,"A",,,,"6","3",,,,"234","33","993","114","6","1","2","2","111111","11AAA11A1181AA",,,"6",,,,"4"
"5100202","2024-09-01T00:00:00","21.40","-157.70",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","270",,,,"A",,,,"8","3","10","11","1","234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100205","2024-09-01T00:00:00","21.00","-156.40",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","267",,,,"A",,,,"8","3","6","11","1","234","16","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100207","2024-09-01T00:00:00","21.50","-157.80",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","267",,,,"A",,,,"8","3","3","11","1","234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100208","2024-09-01T00:00:00","22.30","-159.60",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","264",,,,"A",,,,"8","3","3","11","1","234","29","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100210","2024-09-01T00:00:00","21.50","-157.80",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","262",,,,"A",,,,"8","3","4","11","1","234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100211","2024-09-01T00:00:00","21.30","-158.00",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","275",,,,"A",,,,"10","1","16","11","1","234","18","993","114","6","1","2","2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5100212","2024-09-01T00:00:00","21.30","-158.10",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0","275",,,,"1","276",,,,"A",,,,"10","1","21","11","2","234","18","993","114","6","0",,"2","11FFFF","1AAAAA1AA1871A",,,"6",,,,"4"
"5100213","2024-09-01T00:00:00","20.70","-157.00",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,"1","280",,,,"A",,,,"10","1","16","11","1","234","7","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,"4"
"5102777","2024-09-01T00:00:00","27.55","-159.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,,"234","79","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
