"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","THICKNESS_OF_I","IND_FOR_PRECIP"
"2101823","2024-09-01T00:00:00","28.88","-163.12",,,"1","4","2","5",,,"11",,,,,,,,,"10199",,,"8",,,,,"9","269",,,,,,,,,,,,"233","83","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601711","2024-09-01T00:00:00","29.38","-165.79",,,"1","4","2","5",,,"11",,,,,,,,,"10201",,,"8",,,,,"9","271",,,,,,,,,,,,"233","95","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601763","2024-09-01T00:00:00","27.22","-162.29",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,"233","72","798","172","7","0",,"2","1FFF7F","1AAAA9AAA1AAAA","4",,,,,
"4602596","2024-09-01T00:00:00","26.31","-165.83",,,"1","4","2","5",,,"11",,,,,,,,,"10185",,,"8",,,,,"9","275",,,,,,,,,,,,"233","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602626","2024-09-01T00:00:00","23.75","-161.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","278",,,,,,,,,,,,"233","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602722","2024-09-01T00:00:00","25.15","-164.38",,,"1","4","2","5",,,"11",,,,,,,,,"10170",,,"8",,,,,"9","273",,,,,,,,,,,,"233","54","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602740","2024-09-01T00:00:00","25.52","-163.08",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"233","53","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2024-09-01T00:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","30","1","50",,,,,"10160",,,"0","266",,,"243","1","273",,,,"A",,,"4","1","13","9","4","233","42","993","114","6","1","2","2","111111","11AAA11A11811A",,,"6",,,"4"
"5100101","2024-09-01T00:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","22",,"50",,,,,"10161",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2024-09-01T00:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","293",,,,,,,,,,,,"233","61","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,
