"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","IND_FOR_PRECIP"
"1301575","2024-09-01T00:00:00","28.25","-39.25",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"246","89","798","172","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA","4",,,,
"1301735","2024-09-01T00:00:00","23.37","-39.68",,,"1","4","2","5",,,"11",,,,,,,,,"10176",,,"8",,,,,"9","278",,,,,,,,,,,,"246","39","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1301798","2024-09-01T00:00:00","28.77","-39.35",,,"1","4","2","5",,,"11",,,,,,,,,"10215",,,"8",,,,,"9","280",,,,,,,,,,,,"246","89","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1301820","2024-09-01T00:00:00","28.71","-31.62",,,"1","4","2","5",,,"11",,,,,,,,,"10209",,,"8",,,,,"9","265",,,,,,,,,,,,"246","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4100139","2024-09-01T00:00:00","20.02","-37.86",,,"1","4","2","5",,,"11","5","51",,"73",,,,,"10170",,,"8",,,,,"9","274",,,,,,,,,,,,"246","7","798","172","6","0",,"1","1F111F","11AAA1AAA1AAAA",,,,,
"4101721","2024-09-01T00:00:00","28.09","-36.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"246","86","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4101863","2024-09-01T00:00:00","21.85","-35.87",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","269",,,,,,,,,,,,"246","15","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"4402656","2024-09-01T00:00:00","26.57","-33.72",,,"1","3","2","5",,,"11",,,,,,,,,"10199",,,,,,,,,,,,,,,,,,,,,"246","63","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,
"4402676","2024-09-01T00:00:00","26.96","-38.85",,,"1","4","2","5",,,"11",,,,,,,,,"10203",,,"8",,,,,"9","276",,,,,,,,,,,,"246","68","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"6203639","2024-09-01T00:00:00","25.65","-39.13",,,"1","4","2","5",,,"11",,,,,,,,,"10197",,,"8",,,,,"9","276",,,,,,,,,,,,"246","59","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"6203846","2024-09-01T00:00:00","25.78","-38.22",,,"1","4","2","5",,,"11",,,,,,,,,"10196",,,"8",,,,,"9","274",,,,,,,,,,,,"246","58","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"6203894","2024-09-01T00:00:00","21.75","-32.83",,,"1","4","2","5",,,"11",,,,,,,,,"10171",,,"8",,,,,"9","266",,,,,,,,,,,,"246","12","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"6501699","2024-09-01T00:00:00","29.56","-33.31",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,"246","93","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"6801791","2024-09-01T00:00:00","29.56","-31.62",,,"1","4","2","5",,,"11",,,,,,,,,"10220",,,"8",,,,,"9","265",,,,,,,,,,,,"246","91","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1301575","2024-09-01T01:00:00","28.24","-39.24",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"246","89","798","172","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA","4",,,,
"1301735","2024-09-01T01:00:00","23.36","-39.68",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","278",,,,,,,,,,,,"246","39","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1301798","2024-09-01T01:00:00","28.76","-39.35",,,"1","4","2","5",,,"11",,,,,,,,,"10212",,,"8",,,,,"9","280",,,,,,,,,,,,"246","89","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1301820","2024-09-01T01:00:00","28.72","-31.61",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,,"9","265",,,,,,,,,,,,"246","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,
"1801759","2024-09-01T01:00:00","27.36","-30.91",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"246","70","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
"4100139","2024-09-01T01:00:00","20.02","-37.86",,,"1","4","2","5",,,"11","5","54",,"74",,,,,"10167",,,"8",,,,,"9","274",,,,,,,,,,,,"246","7","798","172","6","0",,"1","1F111F","11AAA1AAA1AAAA",,,,,
"4101721","2024-09-01T01:00:00","28.09","-36.25",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"246","86","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,
