"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"1301725","2024-09-01T00:00:00","26.55","-48.18",,,"1","4","2","5",,,"11",,,,,,,,,"10199",,,"8",,,,,"9","288",,,,,,,,,,,,,"245","68","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301731","2024-09-01T00:00:00","20.90","-49.75",,,"1","4","2","5",,,"11",,,,,,,,,"10170",,,"8",,,,,"9","291",,,,,,,,,,,,,"245","9","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4101753","2024-09-01T00:00:00","28.93","-44.18",,,"1","4","2","5",,,"11",,,,,,,,,"10216",,,"8",,,,,"9","282",,,,,,,,,,,,,"245","84","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4101860","2024-09-01T00:00:00","21.13","-40.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,,"245","10","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4101861","2024-09-01T00:00:00","22.57","-40.25",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","277",,,,,,,,,,,,,"245","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4201523","2024-09-01T00:00:00","25.54","-49.32",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"245","59","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4601782","2024-09-01T00:00:00","26.25","-46.02",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,,"9","285",,,,,,,,,,,,,"245","66","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203607","2024-09-01T00:00:00","24.86","-45.73",,,"1","4","2","5",,,"11",,,,,,,,,"10196",,,"8",,,,,"9","284",,,,,,,,,,,,,"245","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203634","2024-09-01T00:00:00","26.25","-44.79",,,"1","4","2","5",,,"11",,,,,,,,,"10206",,,"8",,,,,"9","284",,,,,,,,,,,,,"245","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203768","2024-09-01T00:00:00","29.00","-44.41",,,"1","4","2","5",,,"11",,,,,,,,,"10216",,,"8",,,,,"9","286",,,,,,,,,,,,,"245","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203784","2024-09-01T00:00:00","22.44","-49.59",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"245","29","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"6203842","2024-09-01T00:00:00","24.77","-49.21",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","286",,,,,,,,,,,,,"245","49","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402616","2024-09-01T00:00:00","25.68","-46.71",,,"1","4","2","5",,,"11",,,,,,,,,"10198",,,"8",,,,,"9","286",,,,,,,,,,,,,"245","56","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402618","2024-09-01T00:00:00","21.14","-48.98",,,"1","4","2","5",,,"11",,,,,,,,,"10171",,,"8",,,,,"9","288",,,,,,,,,,,,,"245","18","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402619","2024-09-01T00:00:00","21.74","-49.90",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,"9","287",,,,,,,,,,,,,"245","19","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301792","2024-09-01T00:04:00","20.90","-48.13",,,"1","4","2","5",,,"11",,,,,,,,,"10170",,,"8",,,,,"9","290",,,,,,,,,,,,,"245","8","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4402885","2024-09-01T00:04:00","25.85","-43.05",,,"1","4","2","5",,,"11",,,,,,,,,"10207",,,"8",,,,,"9","283",,,,,,,,,,,,,"245","53","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301725","2024-09-01T01:00:00","26.55","-48.17",,,"1","4","2","5",,,"11",,,,,,,,,"10202",,,"8",,,,,"9","288",,,,,,,,,,,,,"245","68","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301731","2024-09-01T01:00:00","20.90","-49.75",,,"1","4","2","5",,,"11",,,,,,,,,"10172",,,"8",,,,,"9","291",,,,,,,,,,,,,"245","9","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4101753","2024-09-01T01:00:00","28.92","-44.20",,,"1","4","2","5",,,"11",,,,,,,,,"10215",,,"8",,,,,"9","282",,,,,,,,,,,,,"245","84","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4101860","2024-09-01T01:00:00","21.13","-40.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,,"245","10","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4101861","2024-09-01T01:00:00","22.57","-40.25",,,"1","4","2","5",,,"11",,,,,,,,,"10188",,,"8",,,,,"9","277",,,,,,,,,,,,,"245","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4201523","2024-09-01T01:00:00","25.55","-49.33",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","287",,,,,,,,,,,,,"245","59","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"4601782","2024-09-01T01:00:00","26.26","-46.03",,,"1","4","2","5",,,"11",,,,,,,,,"10208",,,"8",,,,,"9","286",,,,,,,,,,,,,"245","66","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203607","2024-09-01T01:00:00","24.86","-45.74",,,"1","4","2","5",,,"11",,,,,,,,,"10196",,,"8",,,,,"9","284",,,,,,,,,,,,,"245","45","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203634","2024-09-01T01:00:00","26.25","-44.79",,,"1","4","2","5",,,"11",,,,,,,,,"10207",,,"8",,,,,"9","284",,,,,,,,,,,,,"245","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203768","2024-09-01T01:00:00","29.00","-44.42",,,"1","4","2","5",,,"11",,,,,,,,,"10215",,,"8",,,,,"9","285",,,,,,,,,,,,,"245","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6203784","2024-09-01T01:00:00","22.45","-49.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","289",,,,,,,,,,,,,"245","29","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,
"6203842","2024-09-01T01:00:00","24.78","-49.22",,,"1","4","2","5",,,"11",,,,,,,,,"10192",,,"8",,,,,"9","287",,,,,,,,,,,,,"245","49","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402616","2024-09-01T01:00:00","25.67","-46.72",,,"1","4","2","5",,,"11",,,,,,,,,"10199",,,"8",,,,,"9","286",,,,,,,,,,,,,"245","56","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402618","2024-09-01T01:00:00","21.15","-48.98",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,"9","288",,,,,,,,,,,,,"245","18","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"6402619","2024-09-01T01:00:00","21.74","-49.90",,,"1","4","2","5",,,"11",,,,,,,,,"10176",,,"8",,,,,"9","287",,,,,,,,,,,,,"245","19","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301792","2024-09-01T01:04:00","20.90","-48.13",,,"1","4","2","5",,,"11",,,,,,,,,"10170",,,"8",,,,,"9","290",,,,,,,,,,,,,"245","8","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4402885","2024-09-01T01:04:00","25.83","-43.50",,,"1","4","2","5",,,"11",,,,,,,,,"10204",,,"8",,,,,"9","282",,,,,,,,,,,,,"245","53","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301725","2024-09-01T02:00:00","26.56","-48.17",,,"1","4","2","5",,,"11",,,,,,,,,"10201",,,"8",,,,,"9","288",,,,,,,,,,,,,"245","68","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"1301731","2024-09-01T02:00:00","20.90","-49.74",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,"9","291",,,,,,,,,,,,,"245","9","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"4101753","2024-09-01T02:00:00","28.92","-44.21",,,"1","4","2","5",,,"11",,,,,,,,,"10214",,,"8",,,,,"9","281",,,,,,,,,,,,,"245","84","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
