"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"3EBL5","2024-09-01T00:00:00","27.70","-79.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10165","5","1","8","257",,"257","257",,,,,"A",,"A","A",,,,,,,"242","79","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1",,"5",,,,,,,,,,,
"3ETA8","2024-09-01T00:00:00","23.30","-79.00",,,"1","5","2","5","7","4","1",,,,,,,,,"10123","3","6","8","272",,"272","272",,,,,"A",,"A","A",,,,,,,"242","39","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1",,"5",,,,,,,,,,,
"3FPQ9","2024-09-01T00:00:00","26.20","-79.20",,,"1","5","2","5","1","4","1",,,,,,,,,"10139",,,"8","270",,"262","260",,,,,"A",,"A","A",,,,,,,"242","69","798","172","5","1","2","1","F1FF11","1AAAA1111A8AAA",,"5",,,,,,,,,,,
"3FPS9","2024-09-01T00:00:00","26.20","-78.40",,,"1","5","2","5","3","1","1",,,,,,,,,"10144","0","1","8","269",,"255","249",,,,,"A",,"A","A",,,,,,,"242","68","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,
"4100010","2024-09-01T00:00:00","28.88","-78.48",,,"1","5","2","5",,,"11",,"130",,"55",,,,,"10149",,,"8","278",,,"225","9","296",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,
"4100047","2024-09-01T00:00:00","27.48","-71.45",,,"1","5","2","5",,,"11","5","111",,"23",,,,,"10168",,,"8","293",,,"254","9","300",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,
"4101726","2024-09-01T00:00:00","26.53","-76.96",,,"1","3","2","5",,,"11",,,,,,,,,"10152",,,,,,,,,,,,,,,,,,,,,,"242","66","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"4402660","2024-09-01T00:00:00","26.88","-74.56",,,"1","4","2","5",,,"11",,,,,,,,,"10159",,,"8",,,,,"9","296",,,,,,,,,,,,,"242","64","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
"4402665","2024-09-01T00:00:00","26.58","-78.79",,,"1","3","2","5",,,"11",,,,,,,,,"10142",,,,,,,,,,,,,,,,,,,,,,"242","68","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,
"4402670","2024-09-01T00:00:00","20.97","-79.19",,,"1","4","2","5",,,"11",,,,,,,,,"10125",,,"8",,,,,"9","322",,,,,,,,,,,,,"242","9","798","172","7","0",,"1","5FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,
